time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,PercentageinZ2,THb,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,223.0,75.0,97.0,41.93,8.838,24.0,28.0,70.728,37.03,0.001368301,76.148,19.67,173.7,33.87,31.5,0.0,625:10:00
1.0,223.0,74.0,97.0,51.54,8.837,24.0,29.0,69.761,37.03,0.0015963512,69.78099999999999,19.75,174.5,34.17,31.5,0.0,612
2.0,223.0,73.0,97.0,58.05,8.835,24.0,29.0,69.88666666666667,37.03,0.0018244013,68.31555555555556,19.83,175.4,34.48,31.5,0.0,624:03:00
3.0,222.0,72.0,97.0,67.51,8.837,24.0,29.0,69.40416666666667,37.03,0.0020524515,68.6475,19.91,176.2,34.79,31.5,0.0,612:58:00
4.0,223.0,71.0,98.0,77.44,8.839,24.0,30.0,70.421,37.03,0.0022805016,70.21000000000001,20.01,177.3,35.21,31.5,0.0,602
5.0,224.0,71.0,98.0,86.72,8.837,24.0,30.0,70.75666666666666,37.03,0.0025085518,69.86555555555555,20.13,178.6,35.66,31.5,0.0,617:11:00
6.0,224.0,72.0,98.0,96.76,8.838,24.0,30.0,71.02454545454545,37.03,0.002736602,69.22272727272728,20.24,179.8,36.11,31.5,0.0,619:09:00
7.0,225.0,73.0,99.0,105.58,8.837,24.0,29.0,72.48888888888888,37.03,0.0029646521,70.55888888888889,20.37,181.1,36.6,31.5,0.0,610
8.0,225.0,74.0,99.0,111.88,8.835,24.0,29.0,72.25181818181818,37.03,0.0031927023,70.50181818181818,20.49,182.4,37.09,31.5,0.0,613:00:00
9.0,225.0,73.0,99.0,121.32,8.837,24.0,29.0,72.041,37.03,0.0034207525,72.28,20.59,183.4,37.46,31.5,0.0,595
10.0,223.0,73.0,99.0,130.41,8.837,24.0,29.0,71.828,37.03,0.0036488026,67.49199999999999,20.68,184.4,37.81,31.5,0.0,601:46:00
11.0,223.0,72.0,99.0,139.55,8.838,24.0,30.0,71.465,37.04,0.0038768528,66.334,20.77,185.3,38.16,31.45,0.0,589:40:00
12.0,223.0,72.0,100.0,146.87,8.835,24.0,30.0,72.07000000000001,37.04,0.004104903,68.221,20.87,186.5,38.58,31.5,0.0,578:29:00
13.0,223.0,71.0,100.0,156.53,8.837,24.0,30.0,71.69,37.04,0.004332953,69.928,20.99,187.7,39.02,31.5,0.0,565
14.0,224.0,71.0,102.0,165.6,8.837,24.0,30.0,71.022,37.04,0.0045610033,66.46000000000001,21.11,188.9,39.47,31.5,0.0,572:23:00
15.0,225.0,71.0,103.0,175.37,8.838,24.0,30.0,71.33200000000001,37.04,0.0047890535,66.62100000000001,21.37,190.1,39.91,31.5,0.0,572:23:00
16.0,225.0,72.0,105.0,184.2,8.837,24.0,30.0,71.33,37.04,0.0050171036,68.178,21.63,191.3,40.35,31.45,0.0,572:23:00
17.0,223.0,72.0,105.0,192.51,8.837,24.0,30.0,70.96222222222222,37.04,0.005245154,69.41333333333334,21.84,192.3,40.72,31.5,0.0,572:16:00
18.0,223.0,71.0,106.0,200.8,8.837,24.0,30.0,70.38181818181819,37.04,0.005473204,70.49636363636364,21.97,193.0,41.0,31.5,0.0,564:14:00
19.0,223.0,70.0,107.0,209.33,8.838,24.0,30.0,70.19777777777777,37.04,0.005701254,69.64777777777778,22.09,193.8,41.28,31.45,0.0,554
