time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature,PercentageinZ2,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv,THb,smo2
0.0,225.0,73.0,94.0,4.35,8.838,21.0,29.0,36.8,0.00020811654,14.93,192.0,33.76,32.5,0.0,616:11:00,61.403636363636366,68.38272727272728
1.0,225.0,73.0,97.0,9.28,8.837,21.0,29.0,36.8,0.00031217482,15.16,192.8,34.01,32.5,0.0,614,60.93555555555555,68.67666666666668
2.0,224.0,74.0,99.0,19.24,8.838,21.0,29.0,36.8,0.0004162331,15.51,193.9,34.38,32.5,0.0,625:14:00,54.989,68.861
3.0,224.0,75.0,99.0,25.58,8.834,21.0,29.0,36.8,0.0005202914,15.86,195.1,34.75,32.5,0.0,630:20:00,55.626363636363635,68.52181818181818
4.0,223.0,74.0,99.0,33.1,8.837,21.0,29.0,36.81,0.00062434963,16.16,196.0,35.06,32.5,0.0,616,55.14666666666667,68.17555555555555
5.0,223.0,73.0,98.0,43.39,8.839,21.0,29.0,36.81,0.00072840793,16.41,196.9,35.32,32.5,0.0,624:19:00,56.311,67.83500000000001
6.0,223.0,72.0,98.0,52.77,8.837,21.0,30.0,36.81,0.0008324662,16.66,197.7,35.59,32.5,0.0,620,57.24272727272727,67.44
7.0,225.0,72.0,98.0,62.71,8.838,21.0,30.0,36.81,0.0009365245,16.92,198.5,35.86,32.5,0.0,624:03:00,58.28666666666667,67.39777777777778
8.0,224.0,72.0,97.0,69.24,8.834,21.0,30.0,36.81,0.0010405828,17.32,199.9,36.28,32.5,0.0,612:03:00,58.727,67.84400000000001
9.0,223.0,72.0,97.0,78.64,8.839,21.0,30.0,36.81,0.001144641,17.72,201.2,36.7,32.5,0.0,600,58.86272727272728,68.5409090909091
10.0,222.0,71.0,97.0,89.62,8.838,21.0,30.0,36.81,0.0012486993,18.04,202.2,37.03,32.5,0.0,606:57:00,59.55888888888889,69.29777777777777
11.0,223.0,70.0,97.0,96.03,8.834,21.0,30.0,36.81,0.0013527576,18.34,203.2,37.36,32.5,0.0,601:47:00,59.351,69.967
12.0,225.0,70.0,99.0,104.52,8.837,21.0,31.0,36.82,0.0014568159,18.66,204.2,37.68,32.5,0.0,606:39:00,59.25600000000001,70.49300000000001
13.0,225.0,70.0,99.0,114.82,8.839,21.0,31.0,36.82,0.001560874,19.0,205.4,38.05,32.5,0.0,583,58.794000000000004,70.85499999999999
14.0,225.0,71.0,100.0,125.01,8.838,21.0,30.0,36.82,0.0016649324,19.35,206.5,38.41,32.5,0.0,587:38:00,58.65599999999999,71.0
15.0,224.0,71.0,100.0,133.04,8.836,21.0,30.0,36.82,0.0017689907,19.54,207.2,38.61,32.5,0.0,578:30:00,58.17,70.99
16.0,224.0,72.0,101.0,138.68,8.834,21.0,30.0,36.82,0.001873049,19.65,207.5,38.73,32.45,0.0,578:25:00,58.21666666666667,70.92444444444445
17.0,225.0,74.0,102.0,149.86,8.838,21.0,29.0,36.82,0.0019771073,19.76,207.9,38.84,32.5,0.0,563,57.604,71.00399999999999
18.0,226.0,75.0,103.0,158.09,8.837,21.0,29.0,36.82,0.0020811656,19.87,208.2,38.96,32.5,0.0,568:12:00,57.60545454545454,71.17
19.0,225.0,76.0,104.0,166.61,8.837,21.0,28.0,36.82,0.0021852236,19.98,208.6,39.07,32.5,0.0,553:01:00,57.086666666666666,71.04333333333334
20.0,224.0,75.0,105.0,176.75,8.838,21.0,29.0,36.82,0.002289282,20.08,208.9,39.18,32.5,0.0,554:10:00,57.686,70.745
21.0,222.0,74.0,105.0,185.25,8.837,21.0,29.0,36.82,0.0023933402,20.19,209.3,39.3,32.5,0.0,555:02:00,57.48181818181818,70.50545454545455
22.0,222.0,72.0,107.0,195.11,8.838,21.0,29.0,36.83,0.0024973985,20.3,209.7,39.41,32.5,0.0,540,56.06111111111111,70.21666666666667
23.0,224.0,70.0,109.0,200.78,8.834,21.0,31.0,36.83,0.0026014568,20.56,210.6,39.72,32.5,0.0,550:01:00,54.934000000000005,69.76700000000001
24.0,225.0,70.0,110.0,211.87,8.838,21.0,31.0,36.83,0.0027055151,20.85,211.7,40.08,32.45,0.0,1077,54.06454545454546,69.43909090909091
25.0,224.0,70.0,110.0,219.37,8.837,21.0,31.0,36.83,0.0028095734,21.26,213.2,40.54,32.45,0.0,545:57:00,53.29,69.23777777777778
26.0,224.0,70.0,110.0,229.73,8.839,21.0,31.0,36.83,0.0029136317,21.97,215.4,41.26,32.45,0.0,544:52:00,53.624,69.136
27.0,226.0,71.0,111.0,237.99,8.837,21.0,30.0,36.83,0.0030176898,22.22,216.2,41.5,32.5,0.0,537:53:00,52.98454545454546,68.71909090909091
28.0,226.0,72.0,111.0,246.32,8.837,21.0,30.0,36.83,0.003121748,22.47,216.9,41.73,32.45,0.0,540:51:00,53.49333333333333,68.42888888888889
29.0,225.0,73.0,111.0,255.73,8.838,21.0,29.0,36.83,0.0032258064,22.72,217.7,41.97,32.45,0.0,536:52:00,54.359,68.186
30.0,224.0,74.0,112.0,264.95,8.837,21.0,29.0,36.83,0.0033298647,23.0,218.5,42.25,32.45,0.0,539:47:00,53.85363636363636,67.82454545454544
31.0,223.0,74.0,112.0,273.23,8.837,21.0,29.0,36.84,0.003433923,23.39,219.8,42.64,32.45,0.0,535:47:00,53.17333333333333,67.29888888888888
32.0,223.0,74.0,112.0,279.44,8.834,21.0,29.0,36.84,0.0035379813,23.78,221.0,43.02,32.45,0.0,535:46:00,52.949,66.724
33.0,224.0,73.0,113.0,289.79,8.839,21.0,29.0,36.84,0.0036420396,24.16,222.6,43.56,32.45,0.0,524,53.33272727272727,65.78636363636363
34.0,225.0,73.0,113.0,298.02,8.837,21.0,29.0,36.84,0.003746098,24.44,224.1,44.03,32.45,0.0,534:44:00,54.18333333333333,64.82777777777778
35.0,225.0,74.0,113.0,306.35,8.837,21.0,29.0,36.84,0.003850156,24.51,225.0,44.31,32.45,0.0,529:42:00,53.509,63.955999999999996
36.0,224.0,75.0,113.0,316.7,8.839,21.0,29.0,36.84,0.0039542145,24.59,225.9,44.6,32.45,0.0,531:42:00,52.98272727272728,62.88454545454545
37.0,224.0,75.0,114.0,324.23,8.837,21.0,29.0,36.84,0.0040582726,24.64,226.9,44.91,32.45,0.0,527:41:00,51.67,61.75666666666666
