time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,PercentageinZ2,THb,TymeBreathRate,tidal_volume,TymeVentilation,HeatStrainIndex,skin_temperature,hrv,respiration
0,225,69,92,0.0,8.839,,31,64.33454545454545,37.1,1.3439055E-4,73.93909090909091,23.28,158.3,29.25,0.0,,,
1,225,70,93,4.38,8.838,,31,63.876999999999995,37.1,2.687811E-4,78.809,23.2,159.3,29.89,0.0,30.9,644:39:24,
2,226,70,94,8.97,8.836,,31,62.97333333333333,37.1,4.031716E-4,78.31777777777778,23.12,160.2,30.52,0.0,30.95,620,
3,226,71,95,15.57,8.834,,30,62.01909090909091,37.1,5.375622E-4,79.99181818181818,23.05,161.0,31.07,0.0,30.95,624:12:00,
4,224,72,96,25.02,8.839,,30,61.47888888888888,37.1,6.719527E-4,79.42222222222222,22.98,161.8,31.61,0.0,30.95,611,
5,223,71,97,35.89,8.838,21,30,61.39,37.1,8.063432E-4,79.546,22.91,162.6,32.17,0.0,30.9,625:07:00,27.16
6,223,70,98,42.3,8.834,21,30,61.487,37.1,9.4073376E-4,79.12899999999999,22.84,163.5,32.78,0.0,30.95,616:05:00,27.16
7,224,70,98,50.81,8.837,21,31,61.96363636363637,37.1,0.0010751244,79.07272727272726,22.76,164.4,33.39,0.0,30.95,616:09:00,27.16
8,223,69,99,61.1,8.839,21,31,62.54,37.1,0.0012095148,78.01222222222222,22.65,165.7,34.22,0.0,30.95,601,27.16
9,223,69,99,70.48,8.839,21,31,62.98363636363636,37.11,0.0013439053,76.55818181818182,22.55,166.9,35.06,0.0,30.95,606:52:00,27.16
10,224,68,99,77.78,8.834,21,31,63.312,37.11,0.0014782959,77.8,22.47,167.8,35.67,0.0,30.9,606:55:00,24.8
11,225,69,100,87.89,8.838,21,31,63.611111111111114,37.11,0.0016126864,78.28222222222222,22.4,168.7,36.27,0.0,30.95,597,24.8
12,226,71,101,96.41,8.837,21,30,63.91818181818182,37.11,0.001747077,78.42545454545454,22.33,169.5,36.8,0.0,30.95,601:51:00,24.8
13,225,72,101,106.25,8.838,21,30,64.18222222222222,37.11,0.0018814675,78.54444444444444,22.27,170.2,37.3,0.0,30.95,600:43:00,24.8
14,223,71,101,112.97,8.834,21,30,64.44454545454545,37.11,0.0020158582,79.41363636363636,22.2,170.9,37.8,0.0,30.95,583,24.8
15,223,71,102,123.08,8.838,21,30,64.711,37.11,0.0021502487,79.84400000000001,22.15,171.5,38.19,0.0,30.95,598:30:00,24.41
16,224,71,102,131.59,8.837,21,30,64.998,37.11,0.002284639,80.513,22.11,172.0,38.54,0.0,30.95,583:29:00,24.41
17,226,73,104,141.71,8.838,21,30,65.20666666666666,37.11,0.0024190296,81.08222222222223,22.06,172.5,38.9,0.0,30.95,578:25:00,24.41
18,225,74,105,150.07,8.837,21,29,65.11818181818181,37.11,0.0025534201,81.99545454545455,22.02,173.1,39.25,0.0,30.95,564,24.41
19,224,74,105,159.48,8.839,21,29,64.69333333333333,37.11,0.0026878107,81.56555555555556,22.13,174.0,39.85,0.0,30.95,569:18:00,24.41
20,224,73,106,165.71,8.834,21,29,64.134,37.11,0.0028222012,80.536,22.3,175.0,40.55,0.0,30.95,564:12:00,25.72
21,223,72,107,175.07,8.837,21,30,63.19818181818182,37.11,0.0029565918,77.23545454545454,22.43,175.6,40.99,0.0,31.0,558:06:00,25.72
22,223,71,108,185.42,8.839,21,30,61.783,37.11,0.0030909823,79.098,22.55,176.1,41.28,0.0,31.0,553:01:00,25.72
23,223,71,109,195.29,8.838,21,30,59.92888888888889,37.11,0.0032253729,79.58111111111111,22.66,176.5,41.57,0.0,31.0,548:58:00,25.72
24,224,71,110,201.73,8.834,21,30,57.773,37.11,0.0033597634,79.718,22.78,176.9,41.85,0.0,31.0,540:56:00,26.2
25,224,70,111,210.26,8.837,21,31,55.291818181818186,37.11,0.003494154,78.14999999999999,22.89,177.3,42.14,0.0,31.0,592:02:00,26.2
26,224,70,111,220.61,8.839,21,31,53.15222222222222,37.11,0.0036285445,77.89,23.09,178.3,42.84,0.0,31.0,537,26.2
27,224,70,111,230.41,8.838,21,31,51.0,37.11,0.003762935,79.46181818181817,23.35,179.9,43.91,0.0,31.0,544:56:00,26.2
28,224,70,111,236.14,8.834,21,31,48.95222222222222,37.11,0.0038973256,80.26222222222222,23.57,181.2,44.74,0.0,31.0,545:57:00,26.2
29,224,70,111,247.23,8.838,21,31,47.464,37.11,0.0040317164,81.024,23.73,182.3,45.52,0.0,30.95,545:55:00,26.2
30,223,70,112,255.32,8.836,21,30,46.41818181818182,37.11,0.0041661067,82.79272727272728,23.8,183.4,46.23,0.0,31.0,544:55:00,26.52
31,224,70,112,262.01,8.834,21,31,45.785555555555554,37.11,0.0043004975,81.84777777777778,23.88,184.3,46.85,0.0,30.95,541:57:00,26.52
32,224,70,112,272.25,8.839,21,31,45.445,37.11,0.004434888,81.397,23.96,184.9,47.31,0.0,31.0,,26.52
33,224,70,112,281.58,8.839,21,31,45.28090909090909,37.11,0.004569278,81.4590909090909,24.04,185.6,47.77,0.0,31.0,541:59:52,26.52
34,223,69,112,287.9,8.834,21,31,45.42666666666667,37.11,0.004703669,82.80000000000001,24.13,186.3,48.26,0.0,31.0,543:52:00,26.52
35,223,68,112,299.27,8.839,21,31,45.772,37.11,0.004838059,83.388,24.27,187.2,48.86,0.0,30.95,537:47:00,27.52
36,225,69,112,309.51,8.839,21,31,46.346363636363634,37.11,0.00497245,84.01818181818182,24.4,188.1,49.47,0.0,31.0,536:44:00,27.52
37,225,70,113,318.88,8.839,21,31,46.92777777777778,37.11,0.0051068403,83.69777777777777,24.54,189.8,49.97,0.0,31.0,530:43:00,27.52
38,223,70,114,325.93,8.834,21,30,47.523,37.11,0.005241231,83.65299999999999,24.68,191.7,50.44,0.0,31.0,531:42:00,27.52
39,223,69,114,334.41,8.837,21,31,48.17,37.11,0.0053756214,82.45818181818181,24.81,193.7,50.91,0.0,31.0,529:37:00,27.52
40,224,69,115,344.3,8.838,21,31,48.715555555555554,37.11,0.005510012,82.82,25.0,194.7,51.38,0.0,31.0,523:38:00,26.22
41,225,69,115,350.97,8.834,21,31,49.048,37.11,0.0056444025,83.72999999999999,25.24,195.1,51.84,0.0,31.0,526:37:00,26.22
42,224,69,116,361.31,8.839,21,31,49.15181818181818,37.11,0.0057787932,84.87,25.56,195.7,52.4,0.0,31.0,526:38:00,26.22
43,224,69,116,371.15,8.838,21,31,49.260000000000005,37.11,0.0059131836,83.64777777777778,26.0,196.6,53.08,0.0,31.0,525:38:00,26.22
44,225,70,116,376.85,8.834,21,31,49.306,37.11,0.0060475743,84.099,26.31,198.2,53.89,0.0,31.0,518,26.22
45,224,70,116,388.11,8.839,21,31,49.16636363636364,37.11,0.0061819647,83.07909090909091,26.58,199.9,54.74,0.0,31.0,526:35:00,24.96
46,222,69,116,397.54,8.839,21,31,48.971,37.11,0.0063163554,83.583,26.88,202.2,55.51,0.0,31.0,523:39:00,24.96
47,223,68,116,404.84,8.834,21,31,48.89666666666667,37.11,0.0064507457,84.72111111111111,27.24,205.7,56.1,0.0,31.0,526:35:00,24.96
48,223,68,116,415.19,8.839,21,31,48.97909090909091,37.11,0.0065851365,85.40272727272728,27.59,209.2,56.69,0.0,31.0,526:37:00,24.96
49,223,68,116,425.06,8.838,21,31,49.21888888888889,37.11,0.006719527,85.22999999999999,27.94,209.1,56.68,0.0,31.0,521:05:00,24.96
50,224,68,116,431.51,8.834,21,31,49.531,37.11,0.0068539176,85.762,28.3,209.0,56.71,0.0,31.0,540:41:00,26.88
51,225,69,116,440.03,8.837,21,31,49.85909090909092,37.12,0.006988308,85.64818181818181,28.79,209.4,57.19,0.0,31.0,525:37:00,26.88
52,225,70,116,450.26,8.839,21,31,50.23555555555556,37.12,0.0071226987,84.84333333333333,29.25,209.2,57.55,0.0,31.0,521:33:00,26.88
53,225,70,116,459.63,8.839,21,31,50.637,37.12,0.007257089,84.077,29.67,208.0,57.68,0.0,31.0,526:38:00,26.88
54,224,70,116,465.85,8.834,21,31,50.97,37.12,0.00739148,84.46545454545455,30.08,209.0,58.13,0.0,31.0,522:35:00,26.88
55,223,69,116,476.17,8.839,21,31,51.062222222222225,37.12,0.00752587,84.38333333333334,30.45,214.6,59.28,0.0,31.0,526:37:00,26.97
