time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature,PercentageinZ2,smo2,THb,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,224.0,77.0,97.0,31.83,9.161,23.0,28.0,37.07,0.0006926167,71.62100000000001,60.760000000000005,16.7,183.7,31.36,31.9,0.0,610:600
1.0,225.0,78.0,98.0,40.4,9.161,23.0,28.0,37.07,0.00083114003,72.1,60.696666666666665,16.75,184.3,31.73,31.9,0.0,603
2.0,224.0,78.0,98.0,49.01,9.161,23.0,27.0,37.07,0.0009696634,72.63545454545455,60.54545454545455,16.81,185.1,32.2,31.9,0.0,597:597
3.0,223.0,77.0,99.0,58.59,8.999,23.0,28.0,37.07,0.0011081868,73.21000000000001,61.934000000000005,16.87,185.8,32.66,31.9,0.0,1192
4.0,223.0,76.0,99.0,68.33,8.971,23.0,28.0,37.07,0.0012467101,73.55000000000001,62.69444444444444,16.89,186.2,32.86,31.9,0.0,591
5.0,223.0,75.0,99.0,76.55,8.978,23.0,28.0,37.07,0.0013852334,73.87545454545455,62.21636363636364,16.92,186.5,33.04,31.9,0.0,587:583
6.0,223.0,75.0,100.0,85.84,8.899,23.0,28.0,37.07,0.0015237568,74.212,62.996,16.94,186.8,33.23,31.9,0.0,584:588
7.0,224.0,74.0,100.0,96.23,9.162,23.0,29.0,37.07,0.0016622801,74.47111111111111,62.61222222222222,16.97,187.1,33.42,31.9,0.0,592:589
8.0,224.0,74.0,101.0,104.82,9.161,23.0,29.0,37.07,0.0018008035,74.76454545454546,59.33181818181818,16.99,187.4,33.6,31.9,0.0,586
9.0,224.0,74.0,102.0,114.39,9.162,23.0,29.0,37.07,0.0019393268,75.393,59.547,17.03,187.9,33.93,31.9,0.0,587:591
10.0,224.0,75.0,102.0,124.12,9.162,23.0,29.0,37.07,0.00207785,75.66333333333334,59.657777777777774,17.08,188.5,34.31,31.95,0.0,586:580
11.0,224.0,75.0,102.0,133.24,9.162,23.0,29.0,37.07,0.0022163736,75.31090909090909,59.20454545454545,17.13,189.1,34.69,31.9,0.0,579
12.0,223.0,75.0,102.0,142.06,9.007,23.0,28.0,37.07,0.0023548969,74.53,58.769000000000005,17.18,189.8,35.09,31.9,0.0,580:574
13.0,223.0,74.0,102.0,149.22,8.808,23.0,29.0,37.07,0.0024934202,73.78,58.21,17.23,190.4,35.49,31.9,0.0,578:569
14.0,223.0,73.0,102.0,156.99,8.953,23.0,29.0,37.07,0.0026319434,73.171,58.525,17.27,190.9,35.77,31.9,0.0,1136:563
15.0,225.0,73.0,103.0,167.39,9.162,23.0,29.0,37.07,0.0027704667,72.534,58.958000000000006,17.3,191.2,36.0,31.9,0.0,564:563
16.0,225.0,74.0,103.0,177.77,9.162,23.0,29.0,37.07,0.0029089903,71.783,58.997,17.33,191.6,36.23,31.9,0.0,561:560
17.0,224.0,75.0,105.0,187.33,9.162,23.0,29.0,37.07,0.0030475135,70.95599999999999,57.89,17.36,192.0,36.46,31.9,0.0,555:554
18.0,224.0,75.0,105.0,197.09,9.162,23.0,29.0,37.07,0.0031860368,70.136,57.814,17.42,192.5,36.76,31.9,0.0,552
19.0,224.0,74.0,105.0,205.32,9.161,23.0,29.0,37.07,0.0033245601,69.275,57.952,17.52,193.1,37.14,31.9,0.0,554:546
20.0,224.0,74.0,106.0,214.6,9.064,23.0,29.0,37.07,0.0034630836,68.3,57.914,17.62,193.7,37.53,31.9,0.0,546:542
21.0,224.0,75.0,107.0,224.99,9.031,23.0,29.0,37.07,0.003601607,67.287,58.136,17.83,194.3,37.88,31.9,0.0,544:545
22.0,225.0,75.0,107.0,233.58,9.161,23.0,29.0,37.07,0.0037401302,66.321,59.02,18.06,194.8,38.23,31.9,0.0,541:537
23.0,224.0,76.0,108.0,242.16,9.09,23.0,28.0,37.07,0.0038786535,65.189,57.903,18.28,195.4,38.56,31.9,0.0,537:535
24.0,225.0,76.0,109.0,251.28,9.073,23.0,28.0,37.07,0.004017177,64.00800000000001,58.733,18.49,195.7,38.78,31.9,0.0,532:528
