time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,219,64,85,0.0,8.837,,33,37.0
1,219,65,85,5.15,8.837,,32,37.0
2,218,65,85,12.33,8.837,,32,37.0
3,215,65,84,21.87,8.838,26,32,37.0
4,214,64,84,29.34,8.835,26,32,37.0
5,215,64,84,37.17,8.836,26,32,37.0
6,214,63,84,45.96,8.838,26,32,37.0
7,215,62,84,52.81,8.837,26,33,37.0
8,215,61,85,64.03,8.837,26,34,37.0
9,216,61,85,73.61,8.838,26,34,37.0
10,216,61,86,82.68,8.837,26,34,37.0
11,216,61,86,92.23,8.838,26,34,37.0
12,216,61,87,100.51,8.837,26,34,37.0
13,216,61,88,107.77,8.836,26,34,37.0
14,215,60,89,115.77,8.834,26,34,37.0
15,215,60,90,126.62,8.834,26,34,37.0
16,217,60,91,135.24,8.834,26,35,37.0
17,217,60,93,145.25,8.834,26,35,37.0
18,216,61,93,152.26,8.835,26,34,37.0
19,214,61,94,162.15,8.835,26,34,37.0
20,214,60,96,171.92,8.834,26,34,37.0
21,216,60,97,178.57,8.835,26,34,37.0
22,216,60,98,188.26,8.837,26,34,37.0
23,216,60,99,197.8,8.838,26,34,37.0
24,216,60,100,206.08,8.837,26,34,37.0
25,215,60,101,213.56,8.835,26,34,37.0
26,215,59,101,222.19,8.834,26,35,37.0
27,216,59,101,233.0,8.835,26,35,37.0
28,216,59,100,240.48,8.835,26,35,37.0
29,216,59,100,248.68,8.834,26,35,37.0
30,216,59,99,259.32,8.835,26,35,37.01
31,215,58,98,268.14,8.837,26,35,37.01
32,215,58,98,276.45,8.837,26,35,37.01
33,215,58,98,285.53,8.837,26,35,37.01
34,216,58,99,295.09,8.838,26,36,37.01
35,216,57,99,303.08,8.837,26,36,37.01
36,218,57,99,311.41,8.837,26,37,37.01
37,219,58,100,321.13,8.838,26,36,37.01
38,219,59,101,330.02,8.837,26,35,37.01
39,219,60,102,339.41,8.837,26,35,37.01
40,218,61,103,346.85,8.835,26,34,37.01
41,215,62,103,355.93,8.837,26,33,37.01
42,215,61,104,364.67,8.837,26,34,37.01
43,216,61,104,372.47,8.834,26,34,37.01
44,217,61,105,382.31,8.834,26,34,37.01
45,215,61,106,391.93,8.834,26,34,37.01
46,215,60,108,401.53,8.834,26,34,37.01
47,217,60,108,407.69,8.834,26,35,37.01
48,217,60,108,418.04,8.837,26,35,37.01
49,216,61,108,426.77,8.837,26,34,37.01
50,216,61,108,434.6,8.836,25,34,37.01
51,216,62,108,444.14,8.838,25,33,37.01
52,217,62,108,453.23,8.837,25,33,37.01
53,216,62,108,462.77,8.838,25,33,37.01
54,216,62,108,471.47,8.837,25,33,37.01
55,216,62,109,480.15,8.837,25,33,37.01
56,216,62,109,488.38,8.836,25,33,37.01
57,217,62,109,497.97,8.838,25,33,37.01
58,218,63,109,507.06,8.837,25,33,37.01
59,217,63,110,515.56,8.837,25,33,37.01
60,216,64,110,522.9,8.835,25,32,37.01
61,216,63,110,532.33,8.837,25,33,37.01
62,215,63,111,540.95,8.834,25,33,37.01
63,215,63,111,550.98,8.834,25,33,37.01
64,216,63,111,558.42,8.835,25,33,37.01
65,215,63,112,567.77,8.838,25,33,37.01
66,214,63,113,577.43,8.837,25,32,37.01
67,215,61,113,586.98,8.838,25,34,37.01
68,216,60,113,594.45,8.835,25,34,37.01
69,217,60,113,601.89,8.835,25,35,37.01
70,218,61,114,611.24,8.838,25,34,37.01
71,217,62,114,620.89,8.837,25,33,37.01
72,216,63,113,629.62,8.837,25,33,37.01
73,215,62,113,638.28,8.834,25,33,37.01
74,216,62,113,648.27,8.834,25,33,37.01
75,216,62,113,656.09,8.836,25,33,37.01
76,217,62,113,664.6,8.837,25,33,37.01
77,217,63,113,672.62,8.834,25,33,37.01
78,215,62,113,683.46,8.834,25,33,37.01
79,215,61,113,691.3,8.836,25,34,37.01
80,215,61,113,700.84,8.838,25,34,37.01
81,216,61,113,709.89,8.837,25,34,37.01
82,217,62,113,718.63,8.837,25,33,37.01
83,216,62,113,726.49,8.836,25,33,37.01
84,217,62,112,735.73,8.838,25,33,37.01
85,217,62,112,744.38,8.837,25,33,37.01
