time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature,PercentageinZ2
0,202,72,94,0.0,8.28,,27,37.1,1.7525411E-4
1,202,73,94,5.35,8.28,,26,37.1,3.5050823E-4
2,201,73,95,10.83,8.28,22,26,37.1,5.257623E-4
3,200,72,96,18.34,8.28,22,27,37.1,7.0101646E-4
4,200,71,96,27.3,8.28,22,27,37.1,8.762706E-4
5,200,71,96,33.62,8.28,22,27,37.1,0.0010515247
6,200,70,97,43.97,8.28,22,27,37.1,0.0012267788
7,200,68,97,52.11,8.28,22,28,37.1,0.0014020329
8,202,68,97,58.6,8.28,22,28,37.1,0.0015772871
9,202,69,97,68.83,8.28,22,28,37.1,0.0017525412
10,201,70,97,76.97,8.28,22,27,37.1,0.0019277954
11,200,70,97,83.21,8.28,22,27,37.1,0.0021030493
12,200,69,97,90.12,8.28,22,28,37.1,0.0022783035
13,200,68,97,101.82,8.28,22,28,37.1,0.0024535577
14,200,68,97,108.21,8.28,22,28,37.1,0.0026288119
15,200,67,97,118.49,8.28,22,29,37.1,0.0028040658
16,201,67,99,126.66,8.28,22,29,37.1,0.00297932
17,202,67,99,133.13,8.28,22,29,37.1,0.0031545742
18,202,67,101,143.34,8.28,22,29,37.1,0.0033298281
19,201,68,101,151.5,8.28,22,28,37.1,0.0035050823
20,200,67,103,157.93,8.28,22,29,37.1,0.0036803365
21,201,67,104,168.1,8.28,22,29,37.1,0.0038555907
22,202,67,105,174.96,8.28,22,29,37.1,0.0040308447
23,202,68,106,182.8,8.28,22,28,37.1,0.0042060986
24,201,69,108,193.01,8.28,22,28,37.11,0.004381353
25,201,69,109,201.19,8.28,22,28,37.11,0.004556607
26,201,70,110,207.53,8.28,22,27,37.11,0.0047318614
27,201,70,111,215.94,8.28,22,27,37.11,0.0049071154
28,200,69,112,226.01,8.28,22,28,37.11,0.0050823693
29,200,68,112,232.26,8.28,22,28,37.11,0.0052576237
30,201,68,113,239.18,8.28,22,28,37.11,0.0054328777
31,202,69,114,250.99,8.28,22,28,37.11,0.0056081316
32,201,69,114,259.15,8.28,22,28,37.11,0.005783386
33,201,69,115,265.6,8.28,22,28,37.11,0.00595864
34,201,69,115,275.83,8.28,22,28,37.11,0.006133894
35,201,69,115,283.99,8.28,22,28,37.11,0.0063091484
36,201,69,115,290.45,8.28,22,28,37.11,0.0064844023
37,201,69,115,300.68,8.28,22,28,37.11,0.0066596563
38,200,68,115,308.83,8.28,22,28,37.11,0.0068349107
39,200,68,114,315.17,8.28,22,28,37.11,0.0070101647
40,202,68,114,323.59,8.28,22,28,37.11,0.007185419
41,202,69,115,333.7,8.28,22,28,37.11,0.007360673
42,201,69,115,340.6,8.28,22,28,37.11,0.007535927
43,201,69,113,348.31,8.28,22,28,37.11,0.0077111814
44,201,69,113,356.91,8.28,22,28,37.11,0.007886435
45,201,69,113,366.79,8.28,22,28,37.11,0.008061689
46,201,69,113,373.27,8.28,22,28,37.11,0.008236944
47,201,69,113,383.49,8.28,22,28,37.11,0.008412197
48,201,69,113,391.64,8.28,22,28,37.11,0.008587452
49,201,69,113,397.89,8.28,22,28,37.11,0.008762706
50,201,69,114,404.76,8.28,22,28,37.11,0.0089379605
51,201,69,114,416.55,8.28,22,28,37.11,0.009113214
52,201,69,113,424.07,8.28,22,28,37.11,0.009288468
53,201,69,113,431.12,8.28,22,28,37.11,0.009463723
54,202,69,113,439.68,8.28,22,28,37.11,0.009638976
55,201,69,113,449.59,8.28,22,28,37.11,0.009814231
56,200,69,113,456.05,8.28,22,28,37.11,0.009989485
57,201,69,113,466.29,8.28,22,28,37.11,0.010164739
58,201,69,113,474.43,8.28,22,28,37.11,0.010339993
59,201,69,114,480.79,8.28,22,28,37.11,0.0105152475
60,200,68,114,489.19,8.28,22,28,37.11,0.010690501
61,201,68,114,499.21,8.28,22,28,37.11,0.010865755
62,201,68,114,504.34,8.28,22,28,37.11,0.01104101
63,201,68,115,513.01,8.28,22,28,37.11,0.011216263
64,201,68,115,524.12,8.28,22,28,37.11,0.011391518
65,201,67,115,530.46,8.28,22,29,37.11,0.011566772
66,202,67,116,538.77,8.28,22,29,37.11,0.011742026
67,202,68,116,547.36,8.28,22,28,37.11,0.01191728
68,202,69,116,557.17,8.28,22,28,37.11,0.012092534
69,200,69,117,562.33,8.28,22,28,37.11,0.012267788
70,200,68,117,573.94,8.28,22,28,37.11,0.012443042
71,201,68,118,582.08,8.28,22,28,37.11,0.012618297
72,201,68,117,588.54,8.28,22,28,37.11,0.01279355
73,201,68,117,598.68,8.28,22,28,37.11,0.012968805
74,201,68,117,605.52,8.28,22,28,37.11,0.013144059
75,201,68,117,613.4,8.28,22,28,37.11,0.013319313
76,200,67,117,623.62,8.28,22,29,37.11,0.013494567
77,201,67,117,631.76,8.28,22,29,37.11,0.013669821
78,203,67,118,638.24,8.28,22,29,37.11,0.013845075
79,202,68,118,648.36,8.28,22,28,37.11,0.014020329
80,201,69,119,655.26,8.28,22,28,37.11,0.014195584
81,200,68,118,663.08,8.28,22,28,37.11,0.014370838
82,200,68,119,673.3,8.28,22,28,37.11,0.014546092
83,201,68,119,681.44,8.28,22,28,37.11,0.014721346
84,200,68,117,687.92,8.28,22,28,37.11,0.0148966005
85,200,68,117,697.98,8.28,21,28,37.11,0.015071854
86,201,67,116,704.48,8.28,21,29,37.11,0.015247108
87,201,67,116,714.7,8.28,21,29,37.11,0.015422363
88,201,67,116,722.84,8.28,21,29,37.11,0.015597616
89,201,67,115,729.28,8.28,21,29,37.11,0.01577287
90,200,67,115,739.51,8.28,21,29,37.11,0.015948124
91,201,66,114,747.65,8.303,21,29,37.11,0.016123379
92,203,66,114,754.07,8.628,21,29,37.11,0.016298633
93,202,67,114,764.21,8.28,21,29,37.11,0.016473887
94,201,67,115,770.68,8.28,21,29,37.11,0.016649142
95,200,67,115,780.9,8.28,21,29,37.11,0.016824394
96,201,67,114,789.07,8.28,21,29,37.11,0.016999649
97,202,67,114,795.53,8.28,21,29,37.11,0.017174903
98,202,67,114,805.75,8.28,21,29,37.11,0.017350158
99,201,67,114,813.9,8.28,21,29,37.11,0.017525412
100,200,67,114,820.37,8.28,21,29,37.11,0.017700667
101,200,67,113,830.46,8.28,21,29,37.11,0.017875921
102,201,67,114,836.93,8.28,21,29,37.11,0.018051174
103,201,67,112,847.15,8.28,21,29,37.11,0.018226428
104,201,66,112,855.3,8.28,21,29,37.11,0.018401682
105,201,66,111,861.66,8.28,21,29,37.11,0.018576937
106,201,66,111,870.3,8.28,21,29,37.11,0.018752191
107,201,66,110,878.34,8.28,21,29,37.11,0.018927446
108,200,66,110,888.55,8.28,21,29,37.11,0.019102698
109,201,66,111,896.7,8.28,21,29,37.11,0.019277953
110,203,66,111,903.06,8.286,21,29,37.11,0.019453207
111,203,67,111,911.62,8.374,21,29,37.11,0.019628461
112,202,68,111,921.8,8.295,21,28,37.11,0.019803716
113,201,68,110,929.95,8.28,21,28,37.11,0.01997897
114,201,68,110,938.36,8.28,21,28,37.11,0.020154223
115,201,68,110,948.45,8.28,21,28,37.11,0.020329477
116,201,68,110,954.79,8.28,21,28,37.11,0.020504732
117,200,68,110,962.94,8.28,21,28,37.11,0.020679986
118,200,68,110,969.43,8.28,21,28,37.11,0.02085524
119,200,68,111,979.57,8.28,21,28,37.11,0.021030495
120,200,67,111,986.46,8.28,21,29,37.11,0.021205748
121,200,66,111,996.19,8.28,21,29,37.11,0.021381002
122,200,65,111,1004.34,8.28,21,29,37.11,0.021556256
123,200,65,111,1010.83,8.28,21,29,37.12,0.02173151
124,202,65,110,1020.91,8.28,21,30,37.12,0.021906765
125,202,66,110,1027.37,8.28,21,29,37.12,0.02208202
126,201,66,109,1037.72,8.28,21,29,37.12,0.022257272
127,201,66,110,1047.81,8.28,21,29,37.12,0.022432527
128,201,65,108,1054.15,8.28,21,30,37.12,0.022607781
129,201,66,108,1062.41,8.28,21,29,37.12,0.022783035
130,200,66,108,1070.66,8.28,21,29,37.12,0.02295829
131,201,65,108,1078.2,8.28,21,30,37.12,0.023133544
132,202,65,108,1085.31,8.28,21,30,37.12,0.023308799
133,202,65,109,1095.72,8.28,21,30,37.12,0.023484051
134,201,66,110,1105.78,8.28,21,29,37.12,0.023659306
135,201,66,111,1112.11,8.28,21,29,37.12,0.02383456
136,200,66,112,1120.27,8.28,21,29,37.12,0.024009814
137,200,65,113,1126.74,8.28,21,29,37.12,0.024185069
138,201,65,112,1136.84,8.28,21,30,37.12,0.024360323
139,201,65,110,1143.3,8.28,21,30,37.12,0.024535576
140,201,65,109,1153.54,8.28,21,30,37.12,0.02471083
141,202,66,108,1161.82,8.28,21,29,37.12,0.024886085
142,202,66,107,1170.08,8.28,21,29,37.12,0.02506134
143,201,67,106,1178.24,8.28,21,29,37.12,0.025236594
144,200,66,107,1184.7,8.28,21,29,37.12,0.025411848
145,199,65,108,1194.74,8.28,21,29,37.12,0.0255871
146,199,64,108,1201.27,8.28,21,30,37.12,0.025762355
147,200,63,109,1211.35,8.28,21,30,37.12,0.02593761
148,201,63,109,1217.82,8.287,21,30,37.12,0.026112864
149,203,64,108,1228.04,8.389,21,30,37.12,0.026288118
150,203,66,108,1236.21,8.405,21,29,37.12,0.026463373
151,202,67,108,1242.68,8.28,21,29,37.12,0.026638625
152,201,68,109,1252.89,8.28,21,28,37.12,0.02681388
153,201,68,108,1261.01,8.28,21,28,37.12,0.026989134
154,201,68,107,1266.62,8.28,21,28,37.12,0.027164388
155,200,68,109,1277.6,8.28,21,28,37.12,0.027339643
156,199,67,109,1284.06,8.28,21,28,37.12,0.027514897
157,200,66,109,1294.32,8.28,21,29,37.12,0.02769015
158,201,66,109,1302.89,8.28,21,29,37.12,0.027865404
159,201,66,109,1310.06,8.28,21,29,37.12,0.028040659
160,201,66,110,1318.99,8.28,21,29,37.12,0.028215913
161,201,66,110,1325.49,8.28,21,29,37.12,0.028391168
162,201,66,111,1335.71,8.28,21,29,37.12,0.028566422
163,202,66,111,1343.98,8.28,21,29,37.12,0.028741676
164,201,67,110,1352.26,8.281,21,29,37.12,0.028916929
165,200,67,111,1360.68,8.288,21,29,37.12,0.029092183
166,201,67,111,1370.76,8.28,21,29,37.12,0.029267438
167,201,67,109,1377.1,8.28,21,29,37.12,0.029442692
168,201,67,108,1385.25,8.28,21,29,37.12,0.029617947
169,201,67,108,1391.72,8.28,21,29,37.12,0.029793201
170,201,67,109,1402.07,8.28,21,29,37.12,0.029968454
171,201,67,109,1412.15,8.28,21,29,37.12,0.030143708
172,201,67,110,1418.47,8.28,21,29,37.12,0.030318962
173,202,67,111,1426.86,8.28,21,29,37.12,0.030494217
174,201,67,112,1436.99,8.28,21,29,37.12,0.030669471
175,200,68,111,1443.33,8.28,21,28,37.12,0.030844726
176,201,67,110,1451.47,8.28,21,29,37.12,0.031019978
177,201,67,110,1457.97,8.28,21,29,37.12,0.031195233
178,201,67,109,1468.19,8.28,21,29,37.12,0.031370487
179,201,67,109,1476.3,8.28,21,29,37.12,0.03154574
180,201,67,108,1482.82,8.28,21,29,37.12,0.031720996
