time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,heat_strain_index,HeatStrainIndex,PercentageinZ2
0,130,71,86,5.82,5.822,24,17,,37.12,32.9,,0.0,0.0,0.0
1,333,71,88,11.72,5.888,24,45,670,37.12,32.9,,0.0,0.0,0.0
2,333,70,89,17.6,5.888,24,45,662:667,37.12,32.9,,0.0,0.0,0.0
3,146,71,90,23.49,5.888,24,20,666,37.12,32.9,,0.0,0.0,0.0
4,134,71,90,29.37,5.888,24,18,666:662,37.12,32.85,18.9,0.0,0.0,0.0
5,132,71,90,35.26,5.888,24,18,662:666,37.12,32.85,18.9,0.0,0.0,0.0
6,132,71,90,41.15,5.888,24,18,662,37.12,32.9,18.9,0.0,0.0,0.0
7,138,71,91,47.04,5.888,24,19,661:666,37.12,32.85,18.9,0.0,0.0,0.0
8,157,71,90,56.39,9.349,24,21,666,37.12,32.85,18.9,0.0,0.0,0.0
9,157,71,90,65.73,9.349,23,21,657:661,37.12,32.85,21.26,0.0,0.0,0.0
10,217,71,91,73.53,7.791,23,29,662,37.12,32.9,21.26,0.0,0.0,3.664346E-4
11,217,69,91,82.35,8.827,23,30,657:652,37.12,32.85,21.26,0.0,0.0,7.328692E-4
12,217,65,91,91.19,8.827,23,32,652,37.12,32.85,21.26,0.0,0.0,0.0010993038
13,227,65,92,100.01,8.827,23,33,653,37.12,32.85,21.26,0.0,0.0,0.0014657384
14,218,63,92,108.83,8.827,23,33,653:652,37.12,32.9,22.05,0.0,0.0,0.001832173
15,187,63,92,117.66,8.827,23,28,648:643,37.12,32.85,22.05,0.0,0.0,0.001832173
16,187,63,93,125.94,8.276,23,28,638,37.12,32.85,22.05,0.0,0.0,0.001832173
17,188,63,94,134.22,8.276,23,28,635:626,37.12,32.85,22.05,0.0,0.0,0.001832173
18,188,63,95,142.49,8.276,23,28,620,37.12,32.85,22.05,0.0,0.0,0.001832173
19,182,63,96,150.78,8.276,23,28,619:615,37.12,32.85,21.0,0.0,0.0,0.001832173
20,182,64,97,159.05,8.276,23,27,612,37.12,32.85,21.0,0.0,0.0,0.001832173
21,182,65,98,166.83,7.791,23,27,611:609:606,37.12,32.85,21.0,0.0,0.0,0.001832173
22,175,65,98,174.63,7.791,23,26,606,37.12,32.85,21.0,0.0,0.0,0.001832173
23,175,63,99,182.42,7.791,23,27,603:601,37.12,32.85,21.0,0.0,0.0,0.001832173
24,196,63,99,190.69,8.276,23,30,600,37.12,32.85,21.08,0.0,0.0,0.001832173
25,196,63,100,198.97,8.276,23,30,596:603,37.12,32.85,21.08,0.0,0.0,0.001832173
26,180,63,101,207.24,8.276,23,27,583:592,37.12,32.85,21.08,0.0,0.0,0.001832173
27,179,67,102,215.52,8.276,23,26,588:586,37.12,32.85,21.08,0.0,0.0,0.001832173
28,178,66,102,223.8,8.276,23,26,587,37.12,32.85,21.08,0.0,0.0,0.001832173
29,180,66,102,232.08,8.276,23,26,588:589,37.12,32.85,21.14,0.0,0.0,0.001832173
30,180,66,102,240.35,8.276,23,0,587:584,37.12,32.85,21.14,0.0,0.0,0.001832173
31,180,65,102,248.63,8.276,23,0,583,37.12,32.85,21.14,0.0,0.0,0.001832173
32,180,66,103,256.9,8.276,23,0,1166,37.12,32.85,21.14,0.0,0.0,0.001832173
33,187,66,103,265.18,8.276,23,27,578:574,37.12,32.85,21.14,0.0,0.0,0.001832173
34,166,66,104,272.97,7.791,23,24,577,37.12,32.85,21.18,0.0,0.0,0.001832173
35,175,66,104,280.76,7.791,23,25,580:583,37.12,32.85,21.18,0.0,0.0,0.001832173
36,184,65,104,289.04,8.276,23,27,578:577,37.12,32.85,21.18,0.0,0.0,0.001832173
37,184,66,104,297.32,8.276,23,27,578:578,37.12,32.85,21.18,0.0,0.0,0.001832173
38,183,66,104,305.59,8.276,23,26,579:574,37.12,32.85,21.18,0.0,0.0,0.001832173
39,181,66,104,313.61,8.024,23,26,574,37.12,32.85,21.6,0.0,0.0,0.001832173
40,181,67,104,321.89,8.276,23,26,574:575,37.12,32.85,21.6,0.0,0.0,0.001832173
41,179,67,105,330.17,8.276,23,26,569:568,37.12,32.85,21.6,0.0,0.0,0.001832173
42,179,67,105,338.44,8.276,23,26,564,37.12,32.85,21.6,0.0,0.0,0.001832173
43,174,67,106,346.72,8.276,23,25,564:564,37.12,32.85,21.6,0.0,0.0,0.001832173
44,171,66,106,354.51,7.791,23,25,569:570,37.12,32.85,21.49,0.0,0.0,0.001832173
45,171,66,105,362.53,8.024,23,25,573:569,37.12,32.85,21.49,0.0,0.0,0.001832173
46,174,66,105,370.56,8.024,23,25,573,37.12,32.85,21.49,0.0,0.0,0.001832173
47,181,66,105,378.58,8.024,23,26,572:568,37.12,32.85,21.49,0.0,0.0,0.001832173
48,174,64,105,386.37,7.791,23,26,564:568,37.12,32.85,21.49,0.0,0.0,0.001832173
49,189,64,106,394.65,8.276,23,28,568:564,37.12,32.85,21.41,0.0,0.0,0.001832173
50,186,65,106,402.93,8.276,23,27,560,37.12,32.85,21.41,0.0,0.0,0.001832173
51,186,66,107,411.2,8.276,23,27,556:558,37.12,32.85,21.41,0.0,0.0,0.001832173
52,187,67,107,419.48,8.276,23,27,558:555,37.12,32.85,21.41,0.0,0.0,0.001832173
53,165,67,108,427.27,7.791,23,24,555:554,37.12,32.85,21.41,0.0,0.0,0.001832173
54,165,66,108,435.07,7.791,23,24,551:550,37.12,32.85,22.15,0.0,0.0,0.001832173
55,183,66,109,442.85,7.791,23,26,546:545,37.12,32.85,22.15,0.0,0.0,0.001832173
56,205,67,110,450.64,7.791,23,29,550:546,37.12,32.85,22.15,0.0,0.0,0.0021986077
57,194,69,110,459.2,8.547,23,27,544,37.12,32.85,22.15,0.0,0.0,0.0021986077
