time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,hrv,core_temperature,tidal_volume,heat_strain_index,PercentageinZ2,TymeBreathRate,TymeVentilation
0,215,62,87,0.0,8.834,,33,67.1,,37.06,135.8,0.0,2.2820629E-4,,49.68
1,215,62,87,6.73,8.834,,33,67.0,683,37.06,141.6,0.0,4.5641258E-4,,50.23
2,216,62,87,13.48,8.834,,33,69.1,688,37.06,149.5,0.0,6.846189E-4,42.08,50.98
3,217,62,87,21.26,8.835,23,33,70.6,686:7:0,37.06,156.1,0.0,9.1282517E-4,41.04,51.61
4,217,63,87,31.1,8.838,23,33,71.2,673:54:0,37.06,162.1,0.0,0.0011410315,39.62,52.18
5,216,64,88,39.91,8.837,23,32,71.4,648,37.06,167.1,0.0,0.0013692378,38.43,52.65
6,216,64,89,49.2,8.837,23,32,71.4,662:48:0,37.06,171.7,0.0,0.0015974441,37.36,53.09
7,217,64,90,56.47,8.835,23,32,71.5,648,37.06,175.5,0.0,0.0018256503,36.45,53.44
8,218,64,91,65.76,8.837,23,33,70.1,657:48:0,37.06,179.2,0.0,0.0020538566,35.63,53.8
9,218,65,92,73.04,8.835,23,32,67.6,640,37.06,183.0,0.0,0.002282063,34.96,54.15
10,217,65,92,83.39,8.839,23,32,65.4,650:44:0,37.06,186.7,0.0,0.0025102692,34.28,54.51
11,217,66,92,92.68,8.837,23,31,62.7,639,37.06,190.3,0.0,0.0027384756,33.61,54.85
12,217,67,93,99.51,8.835,23,31,59.7,650:40:0,37.06,193.1,0.0,0.002966682,32.93,55.11
13,216,67,93,108.08,8.838,23,31,56.7,637,37.06,195.9,0.0,0.0031948881,32.3,55.38
14,216,68,93,116.5,8.835,23,30,53.0,643:32:0,37.06,198.7,0.0,0.0034230945,31.79,55.65
15,216,67,93,126.86,8.839,23,31,50.3,643:25:0,37.06,202.3,0.0,0.0036513007,31.29,55.99
16,215,68,94,136.14,8.837,23,30,48.2,639:25:0,37.06,206.2,0.0,0.003879507,30.78,56.36
17,215,68,95,143.41,8.835,23,30,46.6,615,37.06,210.4,0.0,0.0041077132,30.29,56.76
18,215,67,95,153.75,8.839,23,31,45.0,630:12:0,37.06,215.6,0.0,0.00433592,29.81,57.26
19,216,67,95,163.58,8.838,23,31,45.0,612,37.06,221.0,0.0,0.004564126,29.27,57.76
20,216,66,96,171.87,8.837,23,31,43.8,615:7:0,37.06,226.6,0.0,0.004792332,28.57,58.29
21,216,66,96,180.14,8.837,23,31,44.4,605,37.06,230.0,0.0,0.0050205383,27.93,58.62
22,216,66,97,188.96,8.837,23,31,42.9,611:1:0,37.06,232.4,0.0,0.005248745,27.36,58.84
23,216,66,98,199.06,8.839,23,31,44.3,606:53:0,37.06,234.8,0.0,0.005476951,27.0,59.07
24,216,66,99,208.05,8.838,23,31,43.8,601:46:0,37.06,237.1,0.0,0.0057051573,26.74,59.29
25,216,66,99,215.86,8.835,23,31,46.4,589,37.06,240.4,0.0,0.005933364,26.47,59.6
26,216,66,100,225.16,8.837,23,31,46.5,598:38:0,37.06,244.2,0.0,0.00616157,26.21,59.96
27,217,67,101,232.43,8.835,23,31,46.4,580,37.06,248.0,0.0,0.0063897762,25.86,60.33
28,217,67,102,242.78,8.839,23,31,45.8,587:29:0,37.06,251.8,0.0,0.006617983,25.46,60.68
29,216,67,102,252.06,8.837,23,31,46.1,583:34:0,37.06,255.5,0.0,0.006846189,25.05,61.04
30,215,67,103,259.34,8.835,23,31,45.8,583:29:0,37.06,258.5,0.0,0.007074395,24.63,61.32
31,216,66,104,268.48,8.837,23,31,45.6,574:23:0,37.06,260.7,0.0,0.0073026014,24.2,61.53
32,217,66,104,275.04,8.834,23,31,45.6,574:23:0,37.06,262.9,0.0,0.007530808,23.89,61.73
33,216,67,105,285.72,8.838,23,31,45.7,559,37.06,265.0,0.0,0.007759014,23.71,61.94
34,215,66,105,294.28,8.837,23,31,45.8,567:15:0,37.06,267.2,0.0,0.007987221,23.52,62.15
35,215,66,106,304.03,8.839,23,31,45.7,559:10:0,37.06,271.2,0.0,0.0082154265,23.34,62.89
36,215,65,107,314.17,8.837,23,32,46.7,551:2:0,37.06,275.3,0.0,0.008443633,23.15,63.62
37,216,65,107,321.44,8.835,23,32,47.0,542:2:0,37.06,279.5,0.0,0.00867184,22.95,64.09
38,216,65,108,330.73,8.837,23,32,45.8,547:6:0,37.06,283.3,0.0,0.008900045,22.76,64.25
39,217,65,109,338.0,8.835,23,32,43.3,538,37.06,284.4,0.0,0.009128252,22.61,64.17
40,217,65,111,347.62,8.838,23,32,41.9,543:57:0,37.06,285.5,0.0,0.009356459,22.51,64.08
41,216,66,111,355.78,8.837,23,31,41.3,546:58:0,37.06,286.6,0.0,0.009584664,22.47,64.0
42,216,66,111,366.45,8.838,23,31,42.2,539:51:0,37.06,287.7,0.0,0.009812871,22.44,63.91
43,216,66,111,374.73,8.837,23,31,42.6,535:46:0,37.06,289.3,0.0,0.010041077,22.4,63.63
