time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,skin_temperature,respiration,tidal_volume,heat_strain_index,PercentageinZ2,TymeBreathRate,TymeVentilation
0,0,0,88,,,24,0,67.9,37.02,,,,0.0,0.0,,
1,225,64,89,0.0,8.839,24,34,68.2,37.02,,,,0.0,1.2784454E-4,,
2,224,64,91,7.05,8.837,24,33,68.2,37.02,32.5,,,0.0,2.5568908E-4,,
3,224,64,92,12.93,8.834,24,33,68.7,37.02,32.5,,146.9,0.0,3.8353362E-4,27.23,26.83
4,224,64,93,22.82,8.838,24,33,68.8,37.02,32.5,,148.9,0.0,5.1137817E-4,27.02,27.3
5,224,64,94,31.67,8.837,24,33,68.2,37.02,32.45,18.9,150.8,0.0,6.392227E-4,26.8,27.76
6,224,64,95,41.65,8.838,24,33,68.1,37.02,32.45,18.9,152.7,0.0,7.6706725E-4,26.59,28.22
7,224,65,95,48.59,8.834,24,33,66.2,37.02,32.45,18.9,155.4,0.0,8.9491176E-4,26.29,28.87
8,224,65,94,58.19,8.838,24,33,64.9,37.02,32.45,18.9,158.1,0.0,0.0010227563,25.98,29.53
9,224,65,94,66.85,8.837,24,33,63.5,37.02,32.45,18.9,160.5,0.0,0.0011506008,25.71,30.12
10,224,64,92,76.84,8.838,24,33,62.2,37.02,32.45,18.9,162.5,0.0,0.0012784454,25.49,30.58
11,225,65,92,83.78,8.834,24,33,59.2,37.02,32.45,18.31,164.4,0.0,0.00140629,25.27,31.05
12,224,66,93,92.63,8.837,24,32,56.1,37.02,32.45,18.31,166.3,0.0,0.0015341345,25.06,31.52
13,223,65,93,101.89,8.837,24,33,51.5,37.02,32.45,18.31,169.0,0.0,0.001661979,24.76,32.16
14,224,65,93,112.03,8.838,24,33,49.9,37.02,32.4,18.31,171.8,0.0,0.0017898235,24.44,32.85
15,225,65,95,118.97,8.834,24,33,45.1,37.02,32.4,19.29,174.7,0.0,0.0019176682,24.12,33.53
16,226,66,96,128.59,8.838,24,33,45.2,37.02,32.4,19.29,177.4,0.0,0.0020455127,23.82,34.19
17,225,66,97,138.95,8.839,24,33,41.9,37.02,32.45,19.29,180.1,0.0,0.0021733572,23.51,34.85
18,224,67,98,145.88,8.834,24,32,41.0,37.02,32.4,19.29,183.7,0.0,0.0023012017,23.11,35.7
19,224,68,99,155.51,8.838,24,31,40.8,37.02,32.45,19.29,187.4,0.0,0.0024290462,22.69,36.6
20,224,68,100,163.01,8.837,24,31,40.2,37.02,32.45,19.29,189.4,0.0,0.0025568907,22.47,37.08
21,224,67,101,172.06,8.837,24,32,40.0,37.02,32.45,18.37,191.2,0.0,0.0026847355,22.26,37.53
22,225,67,102,181.64,8.838,24,32,39.6,37.02,32.4,18.37,193.1,0.0,0.00281258,22.06,37.97
23,224,68,103,190.89,8.837,24,31,40.2,37.02,32.4,18.37,195.1,0.0,0.0029404245,21.84,38.45
24,223,68,104,201.05,8.838,24,31,39.1,37.02,32.45,18.37,197.9,0.0,0.003068269,21.59,39.15
25,223,67,106,207.98,8.834,24,32,40.4,37.02,32.4,18.55,200.8,0.0,0.0031961135,21.34,39.84
26,224,66,106,217.6,8.838,24,32,41.0,37.02,32.4,18.55,204.0,0.0,0.003323958,21.09,40.61
27,224,66,106,227.96,8.839,24,32,42.7,37.02,32.4,18.55,207.3,0.0,0.0034518025,20.84,41.41
28,225,67,104,234.88,8.834,24,32,43.0,37.02,32.4,18.55,209.4,0.0,0.003579647,20.66,41.92
29,226,67,104,244.51,8.838,24,32,42.7,37.02,32.4,18.55,210.8,0.0,0.0037074918,20.52,42.26
30,225,68,105,250.99,8.835,24,32,44.3,37.02,32.4,18.55,212.2,0.0,0.0038353363,20.38,42.59
31,224,68,106,258.31,8.836,24,31,44.1,37.02,32.4,19.45,213.6,0.0,0.003963181,20.24,42.93
32,224,68,106,270.2,8.839,24,31,43.2,37.02,32.45,19.45,215.0,0.0,0.0040910253,20.1,43.27
33,223,68,107,280.07,8.837,24,31,43.4,37.02,32.4,19.45,217.0,0.0,0.00421887,19.95,43.74
34,223,67,107,290.04,8.838,24,32,43.3,37.02,32.4,19.45,219.3,0.0,0.0043467144,19.79,44.31
35,224,67,107,296.97,8.834,24,32,44.2,37.02,32.4,19.45,221.7,0.0,0.004474559,19.63,44.87
36,225,66,107,306.6,8.838,24,33,44.1,37.02,32.4,20.45,223.7,0.0,0.0046024034,19.53,45.37
37,223,66,108,313.09,8.835,24,32,44.4,37.02,32.4,20.45,225.7,0.0,0.004730248,19.47,45.84
38,223,66,108,322.99,8.838,24,32,43.5,37.02,32.4,20.45,227.6,0.0,0.0048580924,19.4,46.3
39,224,66,109,332.75,8.839,24,32,44.7,,32.4,20.45,229.5,0.0,0.004985937,19.34,46.76
40,224,67,108,342.01,8.837,24,32,44.8,,32.4,20.45,232.3,0.0,0.0051137814,19.23,47.43
41,224,66,107,352.17,8.838,24,32,45.0,,32.4,20.45,235.0,0.0,0.0052416264,19.12,48.1
42,224,65,107,359.1,8.834,24,33,44.2,,32.4,20.72,237.3,0.0,0.005369471,19.0,48.66
43,225,67,107,368.73,8.838,24,32,45.0,,32.4,20.72,239.2,0.0,0.0054973154,18.88,49.1
44,225,68,107,375.66,8.834,24,32,44.3,,32.4,20.72,241.0,0.0,0.00562516,18.75,49.54
45,224,68,108,385.29,8.838,24,31,44.1,,32.4,20.72,242.8,0.0,0.0057530045,18.63,49.98
46,223,67,108,395.62,8.839,24,32,44.6,,32.4,20.72,246.1,0.0,0.005880849,18.53,50.62
47,224,67,109,402.57,8.834,24,32,45.4,,32.4,21.68,250.1,0.0,0.0060086935,18.44,51.36
48,224,67,110,411.42,8.837,24,32,45.5,,32.4,21.68,254.0,0.0,0.006136538,18.36,52.09
49,223,67,111,420.01,8.837,24,32,45.8,,32.4,21.68,255.3,0.0,0.0062643825,18.32,52.33
50,224,67,112,430.63,8.838,24,32,46.0,,32.4,21.68,256.5,0.0,0.006392227,18.29,52.55
51,224,67,112,437.29,8.835,24,32,46.6,,32.4,21.68,257.6,0.0,0.0065200715,18.25,52.76
52,224,66,112,447.19,8.838,24,32,45.7,,32.4,21.68,259.4,0.0,0.006647916,18.26,52.98
53,225,67,113,457.73,8.839,24,32,44.9,,32.4,21.54,261.9,0.0,0.0067757606,18.31,53.22
54,225,68,114,464.67,8.834,24,32,44.7,,32.4,21.54,264.3,0.0,0.006903605,18.37,53.46
55,223,69,112,474.3,8.838,24,31,43.9,,32.4,21.54,266.8,0.0,0.0070314496,18.42,53.69
56,223,68,113,484.65,8.839,24,31,44.4,,32.4,21.54,269.3,0.0,0.007159294,18.47,53.93
57,224,67,114,491.11,8.835,24,32,44.5,,32.4,21.05,271.4,0.0,0.0072871386,18.66,54.3
58,224,67,114,500.17,8.837,24,32,45.8,,32.4,21.05,273.4,0.0,0.0074149836,18.84,54.67
59,225,68,113,508.02,8.835,24,32,45.8,,32.4,21.05,275.5,0.0,0.007542828,19.03,55.04
60,225,68,113,516.99,8.837,24,32,46.7,,32.4,21.05,277.7,0.0,0.0076706726,19.2,55.5
61,225,69,114,527.92,8.839,24,31,46.2,,32.4,21.05,280.1,0.0,0.007798517,19.37,56.09
62,225,70,114,535.05,8.834,24,31,46.1,,32.4,21.12,282.4,0.0,0.007926362,19.53,56.69
63,224,71,114,544.68,8.838,24,30,46.7,,32.4,21.12,284.8,0.0,0.008054206,19.69,57.28
64,224,70,115,553.32,8.837,24,31,46.3,,32.4,21.12,287.4,0.0,0.008182051,19.88,57.77
65,224,70,115,563.31,8.838,24,31,45.8,,32.35,21.12,290.4,0.0,0.008309895,20.09,58.15
66,224,70,115,569.77,8.835,24,31,46.5,,32.35,21.12,293.3,0.0,0.00843774,20.3,58.52
67,223,70,115,579.67,8.838,24,30,45.2,,32.4,21.12,295.9,0.0,0.008565584,20.5,58.89
68,223,69,115,590.23,8.839,24,31,44.0,,32.35,21.12,297.9,0.0,0.008693429,20.67,59.23
69,223,69,114,597.15,8.834,24,31,43.5,,32.35,23.14,299.9,0.0,0.008821273,20.85,59.57
70,224,69,115,606.79,8.838,24,31,43.4,,32.35,23.14,300.0,0.0,0.008949118,20.96,59.7
71,224,69,115,617.13,8.839,24,31,43.1,,32.35,23.14,299.8,0.0,0.009076962,21.05,59.77
72,224,69,116,624.06,8.834,24,31,44.0,,32.35,23.14,299.5,0.0,0.009204807,21.14,59.85
73,223,68,116,633.7,8.838,24,31,43.9,,32.35,25.26,304.1,0.0,0.009332651,21.27,60.66
74,223,68,116,640.63,8.834,24,31,45.0,,32.35,25.26,310.2,0.0,0.009460496,21.39,61.71
75,223,68,117,649.47,8.837,24,31,45.2,,32.35,25.26,316.3,0.0,0.00958834,21.42,62.83
76,224,67,117,659.55,8.839,24,32,45.8,,32.35,25.26,320.9,0.0,0.009716185,21.44,63.62
77,225,67,117,667.41,8.835,24,32,46.4,,32.35,25.26,322.8,0.0,0.009844029,21.46,63.85
78,224,67,118,677.16,8.838,24,32,47.2,,32.35,25.26,324.3,0.0,0.009971874,21.48,64.08
79,223,68,117,685.81,8.837,24,31,47.2,,32.35,25.26,325.5,0.0,0.010099718,21.5,64.31
80,224,68,117,694.09,8.837,24,31,47.8,,32.35,25.5,326.6,0.0,0.010227563,21.52,64.54
81,225,68,117,703.3,8.838,24,32,49.1,,32.35,25.5,327.7,0.0,0.010355407,21.54,64.78
82,225,69,117,710.89,8.835,24,31,49.2,,32.35,25.5,328.2,0.0,0.010483253,21.58,65.06
83,223,69,117,720.63,8.838,24,31,48.7,,32.35,25.5,328.7,0.0,0.010611097,21.61,65.34
84,223,68,117,730.21,8.839,24,31,48.1,,32.35,25.5,329.2,0.0,0.010738942,21.65,65.63
85,223,68,116,739.45,8.837,24,31,47.3,,32.35,28.6,329.5,0.0,0.010866786,21.68,65.93
86,224,68,116,747.28,8.837,24,31,47.3,,32.35,28.6,329.9,0.0,0.010994631,21.7,66.23
87,225,68,115,755.36,8.837,24,32,47.5,,32.35,28.6,329.1,0.0,0.011122475,21.75,66.41
88,224,67,115,765.14,8.838,24,32,47.4,,32.35,28.6,326.9,0.0,0.01125032,21.82,66.44
89,224,67,115,773.99,8.837,24,32,47.6,,32.35,28.6,324.7,0.0,0.011378164,21.9,66.47
90,223,68,115,782.94,8.837,24,31,49.5,,32.35,28.6,326.7,0.0,0.011506009,21.96,66.89
91,224,67,114,792.31,8.838,24,32,50.4,,32.3,28.6,328.9,0.0,0.011633853,22.01,67.33
92,225,67,114,799.37,8.835,24,32,51.2,,32.35,28.6,331.1,0.0,0.011761698,22.07,67.78
93,225,68,115,808.6,8.837,24,32,51.6,,32.35,28.6,331.8,0.0,0.011889542,22.09,68.01
94,224,68,116,819.8,8.839,24,31,51.2,,32.3,28.6,332.2,0.0,0.012017387,22.11,68.21
95,223,68,114,826.45,8.835,24,31,51.2,37.03,32.3,28.6,332.7,0.0,0.0121452315,22.12,68.42
96,224,68,113,835.52,8.837,24,31,50.6,37.03,32.35,28.6,333.0,0.0,0.012273076,22.11,68.61
97,224,68,113,843.37,8.835,24,31,49.8,37.03,32.3,28.6,332.8,0.0,0.0124009205,22.04,68.79
98,223,67,113,853.12,8.838,24,32,49.2,37.03,32.3,28.6,332.5,0.0,0.012528765,21.97,68.96
99,224,67,113,863.42,8.839,24,32,49.2,37.03,32.3,28.6,332.3,0.0,0.0126566095,21.9,69.14
