time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,PercentageinZ2
0,223,67,89,0.0,8.839,,32,74.8,36.96,1.3121638E-4
1,224,67,89,5.39,8.834,,32,75.4,36.96,2.6243276E-4
2,225,67,89,15.01,8.838,,32,75.4,36.96,3.9364913E-4
3,226,68,90,25.37,8.839,22,32,74.1,36.96,5.248655E-4
4,225,69,90,31.7,8.835,22,31,73.6,36.96,6.560819E-4
5,224,69,90,41.75,8.838,22,31,74.8,36.96,7.8729825E-4
6,224,69,90,48.75,8.834,22,31,73.5,36.96,9.185146E-4
7,224,68,90,57.66,8.837,22,31,72.7,36.96,0.001049731
8,224,68,92,68.67,8.839,22,31,72.3,36.96,0.0011809474
9,223,68,93,75.66,8.834,22,31,72.4,36.96,0.0013121638
10,224,68,93,85.4,8.838,22,31,72.5,36.96,0.0014433801
11,224,68,94,95.75,8.839,22,31,71.7,36.96,0.0015745965
12,224,68,94,102.57,8.834,22,31,70.7,36.96,0.0017058129
13,224,68,95,112.31,8.838,22,31,69.9,36.96,0.0018370292
14,224,69,95,122.66,8.839,22,31,68.7,36.96,0.0019682457
15,224,69,95,129.48,8.834,22,31,70.0,36.96,0.002099462
16,224,69,96,138.42,8.837,22,31,69.0,36.96,0.0022306785
17,225,69,96,149.4,8.839,22,31,67.4,36.96,0.0023618948
18,225,70,97,156.39,8.834,22,31,67.9,36.96,0.0024931112
19,224,70,98,164.37,8.836,22,31,66.8,36.96,0.0026243275
20,223,71,99,173.59,8.838,22,30,67.3,36.96,0.002755544
21,224,70,100,181.12,8.834,22,31,66.8,36.96,0.0028867603
22,223,70,100,190.96,8.838,22,30,66.3,36.96,0.0030179766
23,223,69,101,201.32,8.839,22,31,65.2,36.96,0.003149193
24,224,68,101,208.14,8.834,22,31,64.6,36.96,0.0032804094
25,225,69,102,217.08,8.837,22,31,63.2,36.96,0.0034116257
26,225,70,103,228.06,8.839,22,31,64.4,36.97,0.003542842
27,225,71,104,236.18,8.837,22,30,63.1,36.97,0.0036740585
28,225,71,104,243.23,8.834,22,30,61.4,36.97,0.0038052748
29,225,72,104,253.08,8.838,22,30,60.7,36.97,0.0039364914
30,225,73,105,261.66,8.837,22,29,61.2,36.97,0.004067708
31,224,73,105,271.7,8.838,22,29,60.9,36.97,0.004198924
32,223,72,105,278.52,8.834,22,30,61.2,36.97,0.0043301405
33,222,70,105,288.26,8.838,22,30,62.0,36.97,0.004461357
34,223,69,106,297.81,8.839,22,31,60.7,36.97,0.0045925733
35,224,70,106,307.03,8.837,22,31,60.4,36.97,0.0047237896
36,226,71,106,313.68,8.834,22,30,59.8,36.97,0.004855006
37,226,73,106,323.44,8.838,22,30,60.9,36.97,0.0049862224
38,225,73,106,331.36,8.837,22,29,60.7,36.97,0.0051174387
39,225,73,107,341.86,8.838,22,29,58.2,36.97,0.005248655
40,224,74,107,350.67,8.837,22,29,58.5,36.97,0.0053798715
41,223,73,108,360.71,8.838,22,29,60.3,36.97,0.005511088
42,223,72,109,367.05,8.835,22,30,58.9,36.97,0.005642304
43,223,71,109,376.24,8.837,22,30,59.9,36.97,0.0057735206
44,223,70,110,386.59,8.839,22,30,61.8,36.97,0.005904737
45,224,71,110,396.08,8.837,22,30,61.3,36.97,0.0060359533
46,224,71,111,402.73,8.834,22,30,63.0,36.97,0.0061671697
47,224,72,111,411.67,8.837,22,30,61.9,36.97,0.006298386
48,224,72,112,422.6,8.839,22,30,61.4,36.97,0.0064296024
49,223,71,112,429.63,8.834,22,30,62.6,36.97,0.0065608188
50,223,71,113,439.38,8.838,22,30,62.1,36.97,0.006692035
51,224,71,112,447.96,8.837,22,30,61.1,36.97,0.0068232515
52,225,71,112,458.0,8.838,22,30,62.6,36.97,0.006954468
53,224,71,112,464.83,8.834,22,30,59.5,36.97,0.007085684
54,224,71,112,474.57,8.838,22,30,60.3,36.97,0.0072169006
55,224,71,111,481.98,8.837,22,30,59.9,36.97,0.007348117
56,223,71,111,492.82,8.838,22,30,60.9,36.97,0.0074793333
57,223,71,112,499.54,8.835,22,30,58.2,36.97,0.0076105497
58,223,71,111,509.59,8.838,22,30,59.1,36.97,0.007741766
59,225,71,111,518.34,8.837,22,30,59.5,36.97,0.007872983
60,225,71,112,528.39,8.838,22,30,59.4,36.97,0.008004199
61,224,71,112,534.73,8.835,22,30,59.0,36.97,0.008135416
62,224,71,112,544.78,8.838,22,30,56.9,36.97,0.0082666315
63,224,71,112,555.3,8.839,22,30,58.4,36.97,0.008397848
