time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,hrv,core_temperature,skin_temperature,respiration,tidal_volume,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,225,75,98,0.0,8.837,,29,72.942726,,,,,219.5,0.0,1.18427284E-4,12.98,34.79
1,224,75,98,5.41,8.838,,29,73.24333,593:43:0,37.14,32.5,,219.9,0.0,2.3685457E-4,13.08,34.98
2,224,75,98,11.07,8.838,23,29,73.51111,587,37.14,32.5,,220.3,0.0,3.5528187E-4,13.18,35.18
3,225,75,99,19.35,8.837,23,29,73.63167,599:0:51,37.15,32.5,,220.7,0.0,4.7370914E-4,13.27,35.37
4,226,76,101,27.8,8.837,23,28,73.84333,587,37.15,32.5,,221.2,0.0,5.921364E-4,13.37,35.56
5,223,77,102,37.99,8.838,23,28,74.31111,593:47:0,37.15,32.5,21.26,221.6,0.0,7.1056373E-4,13.47,35.75
6,223,76,102,46.45,8.837,23,28,75.24,617,37.15,32.5,21.26,222.0,0.0,8.28991E-4,13.56,35.94
7,223,75,102,56.44,8.838,23,28,76.327774,593:43:0,37.15,32.5,21.26,222.5,0.0,9.474183E-4,13.69,36.18
8,224,75,102,62.8,8.834,23,29,77.365,580,37.15,32.5,21.26,223.1,0.0,0.0010658456,13.82,36.44
9,224,74,102,71.29,8.837,23,29,78.53636,589:39:0,37.15,32.5,21.26,223.6,0.0,0.0011842728,13.95,36.69
10,223,74,102,81.43,8.838,23,29,79.66333,587:37:0,37.15,32.5,21.26,224.2,0.0,0.0013027001,14.08,36.95
11,223,74,102,89.62,8.837,23,29,80.361,583:34:0,37.15,32.5,21.26,224.7,0.0,0.0014211275,14.21,37.2
12,224,74,103,96.52,8.837,23,29,80.699,578:34:0,37.15,32.5,21.26,225.6,0.0,0.0015395547,14.4,37.59
13,225,75,103,108.38,8.838,23,29,81.157,574,37.15,32.5,21.26,226.5,0.0,0.001657982,14.62,38.03
14,224,74,104,116.84,8.837,23,29,81.476,578:34:23,37.15,32.5,20.47,227.5,0.0,0.0017764093,14.85,38.47
15,224,74,104,126.82,8.838,23,29,81.51546,560,37.15,32.5,20.47,228.5,0.0,0.0018948365,15.08,38.93
16,224,75,104,133.22,8.834,23,29,81.49111,614:38:0,37.15,32.5,20.47,229.5,0.0,0.0020132638,15.32,39.4
17,224,75,104,141.5,8.837,23,29,81.517,569:18:0,37.15,32.5,20.47,230.5,0.0,0.0021316912,15.56,39.87
18,224,75,105,149.96,8.837,23,29,81.593636,564:15:0,37.15,32.5,20.47,231.3,0.0,0.0022501184,15.73,40.21
19,224,75,106,160.0,8.838,23,29,81.62334,550,37.15,32.5,20.47,232.0,0.0,0.0023685456,15.9,40.55
20,224,75,106,166.9,8.837,23,29,81.50222,555:5:0,37.15,32.5,21.52,232.7,0.0,0.002486973,16.07,40.88
21,224,75,106,178.76,8.838,23,29,81.409164,550:0:0,37.15,32.5,21.52,233.4,0.0,0.0026054003,16.24,41.21
22,224,75,107,187.2,8.837,23,29,81.39555,544:52:0,37.15,32.5,21.52,234.0,0.0,0.0027238275,16.37,41.47
