time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,skin_temperature,respiration,tidal_volume,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,224,71,86,0.0,8.839,,30,70.068184,37.13,,,164.9,0.0,1.2599218E-4,18.83,32.55
1,224,71,87,4.62,8.838,25,30,69.548,37.13,,,167.1,0.0,2.5198437E-4,18.96,33.24
2,224,71,88,10.66,8.837,25,30,68.82222,37.13,,,169.0,0.0,3.7797657E-4,19.07,33.8
3,225,72,88,21.18,8.838,25,30,68.41091,37.13,,,170.5,0.0,5.0396874E-4,19.15,34.26
4,225,73,88,28.82,8.836,25,29,68.57445,37.13,,,172.0,0.0,6.2996097E-4,19.24,34.72
5,224,74,88,36.3,8.835,25,29,68.969,37.13,,20.08,173.8,0.0,7.5595314E-4,19.34,35.25
6,223,74,89,46.0,8.838,25,29,69.63545,37.13,,20.08,175.6,0.0,8.819453E-4,19.44,35.8
7,224,74,89,54.27,8.837,25,29,70.33,37.13,,20.08,176.8,0.0,0.0010079375,19.51,36.16
8,224,74,90,62.92,8.837,25,29,70.753,37.13,,20.08,177.7,0.0,0.0011339297,19.57,36.44
9,224,74,90,72.1,8.838,25,29,71.35091,37.13,,20.08,178.6,0.0,0.0012599219,19.62,36.72
10,224,74,91,80.81,8.837,25,29,72.02,37.13,,19.49,179.5,0.0,0.001385914,19.67,37.0
11,224,74,93,90.91,8.838,25,29,72.611,37.13,,19.49,180.8,0.0,0.0015119063,19.74,37.38
12,224,74,95,100.42,8.837,25,29,73.14889,37.13,,19.49,182.6,0.0,0.0016378985,19.85,37.95
13,224,74,96,109.55,8.837,25,29,73.57636,37.13,,19.49,184.5,0.0,0.0017638906,19.96,38.53
14,223,74,96,116.16,8.834,25,29,73.9475,37.13,,19.49,186.5,0.0,0.0018898828,20.07,39.14
15,223,73,97,124.53,8.837,25,29,74.03083,37.13,,19.29,188.5,0.0,0.002015875,20.18,39.72
16,224,73,97,134.79,8.838,25,29,73.644,37.13,,19.29,190.2,0.0,0.0021418673,20.28,40.24
17,224,73,96,142.67,8.837,25,29,73.145,37.13,,19.29,191.9,0.0,0.0022678594,20.38,40.76
18,224,73,96,151.96,8.838,25,29,72.789,37.13,,19.29,192.8,0.0,0.0023938515,20.67,41.06
19,224,72,96,159.64,8.834,25,30,72.567,37.13,,19.29,193.8,0.0,0.0025198439,20.98,41.33
20,224,72,97,167.99,8.837,25,30,72.365,37.13,,19.55,194.7,0.0,0.002645836,21.3,41.61
21,224,72,98,178.27,8.838,25,30,72.19666,37.13,,19.55,195.6,0.0,0.002771828,21.61,41.89
22,224,72,99,186.62,8.837,25,30,72.085556,37.13,,19.55,196.9,0.0,0.0028978204,22.06,42.3
23,225,72,100,197.13,8.838,25,30,72.14364,37.13,,19.55,198.6,0.0,0.0030238125,22.61,42.82
24,225,73,102,204.32,8.836,25,29,72.19,37.13,,19.55,200.1,0.0,0.0031498047,23.07,43.27
25,224,74,102,209.16,8.834,25,29,72.066,37.13,,19.73,200.9,0.0,0.003275797,23.17,43.51
26,223,73,102,220.99,8.838,25,29,71.87444,37.13,,19.73,201.7,0.0,0.003401789,23.27,43.74
27,223,72,103,229.1,8.837,25,30,71.54364,37.13,,19.73,202.5,0.0,0.0035277812,23.37,43.98
28,223,72,103,241.24,8.839,25,30,70.96222,37.13,,19.73,203.2,0.0,0.0036537736,23.47,44.21
29,223,72,104,250.14,8.837,25,30,70.174545,37.13,,19.73,204.2,0.0,0.0037797657,23.56,44.51
30,223,71,104,257.01,8.835,25,30,69.30556,37.13,,19.45,207.1,0.0,0.0039057578,23.57,45.38
31,223,70,104,267.52,8.838,25,30,68.35545,37.13,,19.45,209.6,0.0,0.00403175,23.56,46.17
32,223,70,104,275.16,8.836,24,30,67.70111,37.13,,19.45,212.1,0.0,0.004157742,23.55,46.92
33,224,70,105,282.35,8.835,24,31,67.31273,37.13,,19.45,214.7,0.0,0.0042837346,23.55,47.71
34,225,70,106,291.36,8.838,24,31,67.06778,37.13,,19.45,217.1,0.0,0.0044097267,23.66,48.45
35,225,71,106,299.3,8.837,24,30,66.823,37.13,,19.26,219.5,0.0,0.004535719,23.85,49.16
36,225,72,106,310.58,8.839,24,30,66.21,37.13,,19.26,222.2,0.0,0.004661711,24.1,49.94
37,224,73,106,320.33,8.838,24,29,65.44222,37.13,,19.26,225.0,0.0,0.004787703,24.35,50.73
38,223,72,106,327.86,8.836,24,30,64.644,37.13,,19.26,227.2,0.0,0.004913695,24.58,51.3
39,222,71,107,336.45,8.835,24,30,63.66182,37.13,,19.26,228.8,0.0,0.0050396877,24.78,51.58
40,223,70,108,346.52,8.839,24,30,62.682,37.13,,19.14,230.4,0.0,0.00516568,24.98,51.87
41,224,70,109,355.26,8.838,24,31,61.853333,37.13,,19.14,231.8,0.0,0.005291672,25.18,52.14
42,224,70,110,362.58,8.835,24,31,61.062,37.13,,19.14,232.1,0.0,0.005417664,25.35,52.26
43,224,70,110,372.66,8.838,24,31,60.47333,37.13,,19.14,232.4,0.0,0.005543656,25.53,52.38
44,224,70,111,380.06,8.837,24,31,60.078335,37.13,,19.85,232.7,0.0,0.0056696483,25.71,52.5
45,224,70,111,390.59,8.837,24,31,60.17889,37.13,,19.85,232.5,0.0,0.005795641,25.9,52.68
46,224,70,111,398.57,8.835,24,31,60.487,37.13,,19.85,232.1,0.0,0.005921633,26.1,52.89
47,224,70,111,407.85,8.838,24,31,60.678,37.13,,19.85,231.7,0.0,0.006047625,26.3,53.09
48,225,71,110,415.42,8.837,24,30,60.779,37.13,,19.85,231.6,0.0,0.006173617,26.56,53.17
49,224,71,110,426.27,8.837,24,30,60.92,37.13,,19.85,231.5,0.0,0.0062996093,26.84,53.23
50,222,72,110,433.47,8.835,24,29,61.02091,37.13,,22.68,232.4,0.0,0.0064256014,27.03,53.43
51,222,71,110,443.07,8.839,24,30,61.212223,37.13,,22.68,233.6,0.0,0.006551594,27.19,53.66
52,223,70,110,452.99,8.838,24,30,61.275,37.13,,22.68,235.5,0.0,0.006677586,27.3,54.17
53,225,69,110,460.83,8.836,24,31,61.111,37.13,,22.68,238.1,0.0,0.006803578,27.34,54.92
54,225,70,110,468.15,8.835,24,31,60.765453,37.13,,22.68,239.6,0.0,0.0069295703,27.13,55.57
55,224,71,110,478.99,8.839,24,30,60.3475,37.13,,22.99,240.5,0.0,0.0070555625,26.8,56.16
56,223,71,110,487.89,8.837,24,30,59.80818,37.13,,22.99,240.3,0.0,0.0071815546,26.5,56.32
57,223,70,110,495.86,8.835,24,30,59.107,37.13,,22.99,240.1,0.0,0.007307547,26.19,56.48
58,224,69,110,505.57,8.838,24,31,58.306,37.13,,22.99,239.9,0.0,0.0074335393,25.88,56.64
59,225,69,110,514.49,8.837,24,31,57.368183,37.13,,22.99,242.3,0.0,0.0075595314,25.45,57.13
60,226,71,111,523.56,8.837,24,30,56.817142,37.13,,23.99,245.2,0.0,0.0076855235,24.99,57.69
61,225,72,111,530.5,8.835,24,30,56.313847,37.13,,23.99,246.9,0.0,0.0078115156,24.79,58.51
62,223,72,112,539.15,8.838,24,30,55.701,37.13,,23.99,248.2,0.0,0.007937508,24.69,59.43
63,223,72,112,548.89,8.837,24,30,55.457,37.13,,23.99,249.4,0.0,0.0080635,24.64,60.21
64,224,72,112,558.95,8.838,24,30,55.502,37.13,,23.99,250.7,0.0,0.008189492,24.69,60.65
65,224,72,114,566.53,8.837,24,30,55.694,37.13,,26.23,251.9,0.0,0.008315484,24.74,61.1
66,224,73,113,577.39,8.837,24,29,55.758,37.13,,26.23,253.4,0.0,0.008441477,24.78,61.64
67,225,73,113,584.24,8.835,24,29,55.809,37.13,,26.23,257.4,0.0,0.008567469,24.83,63.0
68,225,73,113,592.86,8.837,24,29,55.942,37.13,,26.23,261.3,0.0,0.008693461,24.86,64.14
69,225,74,113,601.74,8.838,24,29,56.13,37.13,,26.23,265.2,0.0,0.008819453,24.87,64.93
70,224,74,113,608.7,8.837,24,29,56.500908,37.13,,25.36,269.1,0.0,0.0089454455,24.87,65.71
71,224,73,113,619.78,8.837,24,29,56.837776,37.13,,25.36,273.2,0.0,0.009071438,24.87,66.49
72,224,73,113,628.95,8.838,24,29,57.10091,37.13,,25.36,278.9,0.0,0.00919743,24.82,67.21
73,224,74,114,636.94,8.836,24,29,57.286667,37.13,,25.36,284.3,0.0,0.009323422,24.75,67.93
74,222,73,113,644.6,8.835,24,29,57.515453,37.13,,25.17,287.1,0.0,0.009449414,24.63,68.47
75,222,72,113,654.38,8.839,24,29,57.593334,37.13,,25.17,290.0,0.0,0.009575406,24.51,69.01
76,223,71,113,664.94,8.838,24,30,57.616665,37.13,,25.17,290.7,0.0,0.009701398,24.4,69.37
77,225,71,114,673.89,8.837,24,30,57.514545,37.13,,25.17,290.8,0.0,0.00982739,24.28,69.68
