time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,skin_temperature,tidal_volume,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,0,,88,,,,,69.1,,31.45,,0.0,0.0,,
1,224,68,88,0.0,8.839,,31,68.325455,37.0,31.45,,0.0,2.3299162E-4,,
2,224,68,89,9.43,8.839,,31,67.2925,37.0,31.45,145.5,0.0,4.6598323E-4,27.82,35.53
3,224,68,89,15.96,8.834,,31,66.655,37.0,31.45,148.0,0.0,6.989748E-4,27.72,36.16
4,225,68,91,25.88,8.838,,32,66.668,37.0,31.45,150.3,0.0,9.3196647E-4,27.62,36.75
5,225,69,91,36.26,8.839,21,31,66.935555,37.0,31.5,152.4,0.0,0.0011649581,27.53,37.27
6,225,70,92,42.87,8.834,21,31,67.128,37.0,31.5,154.5,0.0,0.0013979496,27.45,37.8
7,225,70,92,50.25,8.836,21,31,67.355,37.0,31.45,156.6,0.0,0.0016309413,27.36,38.35
8,224,70,93,60.99,8.838,21,31,68.094,37.0,31.5,159.0,0.0,0.0018639329,27.26,38.94
9,224,70,93,71.45,8.839,21,31,69.42,37.0,31.45,161.5,0.0,0.0020969245,27.16,39.57
10,224,70,93,78.05,8.834,21,31,70.977,37.0,31.5,163.4,0.0,0.0023299162,27.08,40.07
11,224,69,92,88.01,8.838,21,31,72.456665,37.0,31.45,165.4,0.0,0.0025629078,27.0,40.57
12,223,69,92,96.49,8.837,21,31,73.86091,37.0,31.45,166.6,0.0,0.0027958993,26.95,40.88
13,223,68,93,104.77,8.837,21,31,75.064,37.0,31.45,167.8,0.0,0.003028891,26.9,41.18
14,224,68,93,113.05,8.837,21,31,75.66111,37.0,31.45,169.0,0.0,0.0032618826,26.85,41.48
15,224,68,94,123.2,8.838,21,31,76.33546,37.0,31.5,170.4,0.0,0.003494874,26.8,41.82
16,224,68,95,131.68,8.837,21,31,76.973,37.0,31.5,171.8,0.0,0.0037278659,26.74,42.19
17,224,68,95,139.96,8.837,21,31,77.134445,37.0,31.45,173.3,0.0,0.0039608576,26.68,42.56
18,224,69,96,150.11,8.838,21,31,76.85364,37.0,31.5,174.5,0.0,0.004193849,26.69,42.87
19,224,69,97,156.72,8.834,21,31,76.166,37.0,31.5,175.7,0.0,0.0044268407,26.72,43.18
20,224,69,97,166.68,8.838,21,31,75.51889,37.0,31.5,176.9,0.0,0.0046598325,26.76,43.48
21,224,69,98,177.03,8.839,21,31,74.97546,37.0,31.5,178.2,0.0,0.0048928238,26.74,43.82
22,224,69,98,183.63,8.834,21,31,74.50667,37.0,31.5,179.7,0.0,0.0051258155,26.68,44.2
