time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,skin_temperature,tidal_volume,HeatStrainIndex,PercentageinZ2,THb,TymeBreathRate,TymeVentilation
0,0,0,86,,,26,0,68.24,37.01,31.7,255.1,0.0,0.0,65.20818,14.64,37.29
1,224,72,88,0.0,8.839,26,30,67.56,37.01,31.7,256.2,0.0,1.3661203E-4,62.68,14.74,37.96
2,224,72,88,8.21,8.837,26,30,66.802,37.01,31.75,257.1,0.0,2.7322405E-4,62.551,14.82,38.5
3,224,73,89,13.89,8.834,26,29,66.075455,37.01,31.75,257.6,0.0,4.0983607E-4,60.66,14.86,38.8
4,224,73,89,24.75,8.839,26,29,65.664444,37.01,31.75,258.1,0.0,5.464481E-4,60.922222,14.91,39.1
5,224,72,89,33.06,8.837,26,30,65.551,37.01,31.75,258.6,0.0,6.830601E-4,62.418,14.95,39.39
6,224,72,88,43.26,8.839,26,30,65.825,37.01,31.7,259.1,0.0,8.1967213E-4,62.946,14.99,39.69
7,224,73,88,51.69,8.837,26,29,66.27,37.01,31.75,259.8,0.0,9.562842E-4,62.421,15.06,40.13
8,225,73,89,62.03,8.839,26,29,66.54,37.01,31.75,260.5,0.0,0.0010928962,62.201,15.12,40.58
9,224,73,90,68.26,8.834,26,29,66.819,37.01,31.75,261.3,0.0,0.0012295082,62.375,15.19,41.05
10,224,73,90,76.52,8.837,26,29,67.209,37.01,31.75,262.4,0.0,0.0013661202,62.466,15.29,41.71
11,223,72,91,86.86,8.839,26,30,67.548,37.01,31.75,263.3,0.0,0.0015027323,62.764,15.37,42.3
12,223,72,91,95.15,8.837,26,30,67.666,37.01,31.75,263.8,0.0,0.0016393443,62.426,15.42,42.6
13,224,72,94,105.49,8.839,26,30,67.671,37.01,31.75,264.3,0.0,0.0017759562,61.855,15.46,42.89
14,224,72,95,111.17,8.834,26,30,67.603,37.01,31.75,264.8,0.0,0.0019125683,62.093,15.5,43.18
15,223,71,95,122.04,8.839,26,30,67.448,37.01,31.75,265.3,0.0,0.0020491802,61.442,15.55,43.48
16,224,71,95,128.43,8.837,26,30,67.206,37.01,31.75,265.6,0.0,0.0021857924,61.31,15.58,43.69
17,224,71,95,140.66,8.839,26,30,66.957,37.01,31.75,265.9,0.0,0.0023224044,60.322,15.61,43.9
18,224,71,95,145.5,8.835,26,30,66.782,37.01,31.75,266.3,0.0,0.0024590164,60.225,15.64,44.1
19,224,71,95,157.2,8.839,26,30,66.612,37.0,31.75,266.6,0.0,0.0025956284,59.301,15.67,44.3
20,225,71,96,165.48,8.837,26,30,66.177,37.0,31.75,266.9,0.0,0.0027322404,59.871,15.7,44.5
21,225,72,96,174.93,8.838,26,30,65.758,37.0,31.75,267.3,0.0,0.0028688523,60.644,15.73,44.7
22,225,72,98,184.16,8.837,26,30,65.49,37.0,31.75,267.7,0.0,0.0030054646,61.265,15.77,45.0
23,225,73,98,192.44,8.837,26,29,65.173,37.0,31.8,268.4,0.0,0.0031420765,61.138,15.82,45.38
24,223,74,99,202.79,8.839,26,29,64.693,37.0,31.75,269.0,0.0,0.0032786885,60.668,15.88,45.76
25,223,74,100,209.03,8.834,26,29,64.208,37.0,31.75,269.7,0.0,0.0034153005,61.073,15.94,46.18
26,222,73,102,219.18,8.838,26,29,63.82,37.0,31.8,270.7,0.0,0.0035519125,61.471,16.04,46.83
27,223,71,103,227.64,8.837,26,30,63.445,37.0,31.8,271.7,0.0,0.0036885245,61.857,16.14,47.43
28,226,71,104,237.98,8.839,26,30,62.923,37.0,31.8,272.4,0.0,0.0038251367,61.906,16.3,47.86
29,227,72,106,246.27,8.837,26,30,62.522,37.0,31.75,273.1,0.0,0.0039617484,62.067,16.45,48.29
30,224,74,107,254.49,8.837,26,29,62.163,37.0,31.8,273.8,0.0,0.0040983604,59.957,16.61,48.7
31,222,74,107,262.83,8.837,26,29,61.92,37.0,31.8,274.4,0.0,0.004234973,59.691,16.79,49.08
32,221,73,107,270.36,8.837,26,29,61.637,37.0,31.8,275.0,0.0,0.004371585,60.211,16.97,49.45
33,222,71,108,280.41,8.838,26,30,61.47,37.0,31.8,275.6,0.0,0.004508197,59.999,17.15,49.83
34,225,71,108,289.74,8.837,26,30,61.39,37.01,31.8,276.2,0.0,0.004644809,59.325,17.35,50.18
35,225,71,108,295.97,8.834,26,30,61.116,37.01,31.8,276.8,0.0,0.004781421,59.055,17.55,50.53
36,224,72,109,306.19,8.839,26,30,60.797,37.01,31.8,277.4,0.0,0.004918033,59.292,17.75,50.88
37,224,72,109,316.64,8.839,26,30,60.544,37.01,31.8,278.0,0.0,0.005054645,59.725,17.94,51.24
38,223,72,109,324.92,8.837,26,30,60.075,37.01,31.8,278.7,0.0,0.0051912568,59.728,18.09,51.69
39,224,72,109,335.27,8.839,26,30,59.349,37.01,31.8,279.4,0.0,0.0053278687,59.566,18.24,52.14
40,224,72,109,341.51,8.834,26,30,58.553,37.01,31.8,280.2,0.0,0.0054644807,59.536,18.36,52.59
41,224,72,110,349.77,8.837,26,30,57.825,37.01,31.85,280.9,0.0,0.0056010927,59.568,18.42,53.02
42,224,72,110,360.11,8.839,26,30,57.33,37.01,31.8,281.6,0.0,0.0057377047,58.155,18.49,53.45
43,224,72,110,370.46,8.839,26,30,57.219,37.01,31.85,282.4,0.0,0.005874317,58.63,18.55,53.93
44,224,72,111,378.75,8.837,26,30,57.351,37.01,31.8,283.3,0.0,0.006010929,58.705,18.61,54.49
45,224,72,111,384.98,8.834,26,30,57.545,37.01,31.8,284.4,0.0,0.006147541,58.745,18.67,55.1
46,224,71,112,395.24,8.839,26,30,57.743,37.01,31.8,288.9,0.0,0.006284153,59.2,18.73,56.29
47,224,71,113,403.59,8.837,26,30,57.82,37.01,31.8,293.3,0.0,0.006420765,59.813,18.79,57.49
48,225,71,113,413.93,8.839,26,30,57.752,37.01,31.85,297.2,0.0,0.006557377,59.766,18.87,58.36
49,225,72,113,421.47,8.837,26,30,57.567,37.01,31.8,300.6,0.0,0.006693989,60.191,18.96,59.0
50,224,73,113,430.5,8.837,26,29,57.474,37.01,31.8,304.1,0.0,0.006830601,60.747,19.05,59.64
51,224,73,113,438.04,8.837,26,29,57.494446,37.01,31.8,307.0,0.0,0.006967213,60.853333,19.15,60.23
52,225,73,114,446.23,8.837,26,29,57.67091,37.01,31.85,306.0,0.0,0.007103825,60.897274,19.3,60.45
53,224,74,114,457.38,8.839,26,29,57.927,37.01,31.85,305.0,0.0,0.007240437,61.361,19.45,60.67
54,223,73,113,465.69,8.837,26,29,58.15,37.01,31.85,304.4,0.0,0.007377049,61.104,19.63,60.93
55,223,72,113,476.03,8.839,26,30,58.04,37.01,31.85,303.8,0.0,0.0075136614,59.553635,19.81,61.21
56,223,72,114,481.7,8.834,26,30,57.744446,37.01,31.85,304.3,0.0,0.0076502734,60.24889,19.95,61.54
57,224,71,114,492.59,8.831,26,30,57.589,37.01,31.85,307.0,0.0,0.0077868854,58.946,20.02,61.98
58,224,71,113,500.89,8.837,26,30,57.31,37.01,31.85,309.7,0.0,0.007923497,60.0,20.09,62.42
59,225,71,114,511.17,8.831,26,30,57.146,37.01,31.85,312.4,0.0,0.008060109,60.29,20.16,62.85
