time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,hrv,core_temperature,skin_temperature,tidal_volume,HeatStrainIndex,PercentageinZ2,THb,TymeBreathRate,TymeVentilation
0,224,71,81,0.0,8.839,,30,65.65818,,36.99,32.5,235.6,0.0,1.9837334E-4,61.982727,14.67,37.37
1,225,71,81,4.35,8.838,,30,65.271,690,36.99,32.5,235.5,0.0,3.9674668E-4,62.07,14.92,37.68
2,225,71,85,9.28,8.837,,30,64.60111,688:681,36.99,32.5,235.4,0.0,5.9512E-4,60.441113,15.06,37.84
3,225,71,86,19.45,8.838,22,30,63.86,676,36.99,32.45,235.3,0.0,7.9349335E-4,60.609093,15.17,37.98
4,224,72,86,27.71,8.837,22,30,63.587,677:679,36.99,32.45,235.3,0.0,9.918667E-4,60.496,15.29,38.12
5,223,71,87,36.0,8.837,22,30,63.655556,688,36.99,32.45,235.2,0.0,0.00119024,61.763332,15.41,38.26
6,223,71,88,44.38,8.837,22,30,63.998,694:691,37.0,32.5,235.1,0.0,0.0013886134,61.485,15.6,38.49
7,224,70,88,53.81,8.839,22,31,64.60909,691,37.0,32.45,235.0,0.0,0.0015869867,59.713634,15.8,38.74
8,224,70,88,61.04,8.834,22,31,65.23333,694:688,37.0,32.45,234.9,0.0,0.00178536,60.307777,15.95,38.92
9,223,70,87,71.38,8.839,22,30,65.96364,688,37.0,32.5,234.8,0.0,0.0019837334,60.555454,16.05,39.03
10,223,69,87,81.33,8.838,22,31,66.668,658:666,37.0,32.5,234.8,0.0,0.0021821067,60.124,16.14,39.15
11,224,69,87,87.84,8.834,22,31,67.27889,658,37.0,32.5,234.7,0.0,0.00238048,60.27111,16.24,39.27
12,224,69,87,97.27,8.839,22,31,67.829,656,37.0,32.45,234.7,0.0,0.0025788534,59.994,16.34,39.38
13,224,69,89,105.55,8.837,22,31,68.219,657:653,37.0,32.5,234.6,0.0,0.0027772267,60.244,16.5,39.58
14,224,69,90,113.08,8.837,22,31,68.426,648:646,37.0,32.5,234.5,0.0,0.0029756,60.464,16.7,39.82
