time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,left_right_balance,left_pedal_smoothness,right_pedal_smoothness,left_torque_effectiveness,right_torque_effectiveness,core_temperature
0,0,,99,,,,,,,,,,,,,
1,184,60,99,0.0,111.0,52.19882,20.863514,5.299,,29,51,,,,,37.24
2,251,64,100,3.66,111.0,52.198814,20.86346,5.501,,37,50,25.0,18.0,83.5,67.0,37.24
3,278,68,102,8.84,111.0,52.19881,20.863384,5.804,22,39,48,27.0,25.5,86.5,79.5,37.24
4,273,72,104,15.45,111.0,52.198807,20.863287,6.158,22,36,50,23.5,28.5,75.5,83.5,37.24
5,252,76,106,21.72,110.8,52.1988,20.863197,6.428,22,32,64,20.5,28.5,64.0,82.0,37.24
6,223,79,108,28.36,110.8,52.19879,20.8631,6.684,22,27,69,24.0,30.5,65.5,81.5,37.24
7,228,82,109,35.45,110.8,52.198788,20.862997,6.978,22,27,51,22.0,38.5,75.5,97.0,37.24
8,232,85,110,42.62,110.8,52.19878,20.862894,7.191,22,26,56,21.5,30.0,77.5,85.5,37.24
9,229,87,110,50.04,110.8,52.198776,20.862785,7.347,22,25,60,20.5,25.5,75.0,80.5,37.24
10,223,89,110,57.74,110.6,52.198776,20.862673,7.536,22,24,62,20.0,24.0,74.0,80.0,37.24
11,203,85,110,65.3,110.6,52.198772,20.862562,7.645,22,23,64,21.0,22.5,77.5,77.5,37.24
12,200,81,111,73.05,110.6,52.198765,20.86245,7.727,22,24,65,22.0,21.0,81.0,75.5,37.24
13,209,81,110,81.04,110.6,52.19876,20.862333,7.922,22,25,67,23.0,19.5,84.5,73.0,37.24
14,218,83,110,89.13,110.6,52.198753,20.862215,8.025,22,25,64,20.5,25.0,76.0,84.5,37.24
15,203,85,110,97.45,110.6,52.19875,20.862093,8.214,22,23,60,18.0,29.0,66.0,91.5,37.24
16,187,87,110,105.98,110.6,52.198746,20.861967,8.429,22,21,57,17.0,24.5,64.0,77.5,37.24
17,186,87,111,114.34,110.4,52.198742,20.861847,8.519,22,20,55,16.5,19.5,62.0,63.0,37.24
18,185,87,111,123.02,110.4,52.19874,20.86172,8.57,22,20,52,18.5,19.0,67.5,61.5,37.24
19,175,81,110,131.87,110.2,52.19873,20.86159,8.591,22,21,54,21.5,19.0,74.0,62.0,37.24
20,178,80,110,140.52,110.2,52.198723,20.861465,8.622,22,21,59,29.5,17.0,82.5,66.0,37.24
21,192,81,110,149.28,110.0,52.19872,20.861338,8.735,22,23,54,23.0,30.5,78.0,87.5,37.24
22,205,82,111,158.31,110.0,52.19871,20.861204,8.828,22,24,52,19.5,32.0,73.0,89.5,37.24
23,208,82,111,167.17,109.8,52.198708,20.861076,8.879,22,24,55,18.5,25.5,69.5,79.0,37.24
24,212,82,111,176.17,109.8,52.19871,20.860945,8.869,22,25,56,17.5,20.0,65.0,70.0,37.24
25,179,83,111,185.03,109.8,52.198715,20.860815,8.817,22,21,53,16.0,21.5,60.0,72.0,37.24
26,173,82,111,193.7,109.8,52.198727,20.86069,8.736,22,20,53,18.0,21.0,65.0,69.5,37.24
27,178,82,112,202.51,109.8,52.198742,20.860563,8.694,22,21,49,20.0,20.5,71.5,67.0,37.24
28,188,81,112,211.35,109.8,52.198757,20.860437,8.662,22,22,48,20.5,20.5,74.5,66.5,37.25
29,204,80,112,219.88,109.8,52.198772,20.860315,8.611,22,24,48,19.5,21.0,73.0,69.5,37.25
30,205,80,113,228.42,109.8,52.198788,20.860191,8.529,22,24,49,19.5,21.5,73.0,72.0,37.25
