time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,PercentageinZ2,THb,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,223.0,75.0,95.0,28.81,8.836,19.0,28.0,66.678,37.03,0.0005551238,65.502,13.89,193.2,41.44,30.9,0.0,635:29:00
1.0,223.0,75.0,96.0,38.37,8.838,19.0,28.0,66.603,37.03,0.00066614855,64.85900000000001,14.29,194.0,41.69,30.9,0.0,632
2.0,224.0,74.0,96.0,47.44,8.837,19.0,29.0,64.55,37.03,0.0007771733,63.838,14.68,194.8,41.94,30.9,0.0,654:46:00
3.0,225.0,73.0,96.0,57.0,8.838,19.0,29.0,66.369,37.03,0.0008881981,63.778999999999996,15.06,195.5,42.17,30.9,0.0,643
4.0,224.0,74.0,96.0,65.42,8.837,19.0,29.0,67.568,37.03,0.0009992229,64.39200000000001,15.4,196.2,42.39,30.9,0.0,637
5.0,223.0,73.0,95.0,73.88,8.837,19.0,29.0,67.88,37.03,0.0011102476,63.916,15.75,196.9,42.6,30.9,0.0,644:37:00
6.0,222.0,73.0,94.0,81.85,8.835,19.0,29.0,66.071,37.03,0.0012212724,61.973,16.09,197.6,42.82,30.9,0.0,644:34:00
7.0,224.0,72.0,94.0,90.93,8.837,19.0,30.0,66.64,37.03,0.0013322971,62.624,16.47,198.4,43.06,30.9,0.0,629
8.0,224.0,71.0,94.0,100.59,8.839,19.0,30.0,67.591,37.03,0.0014433218,63.059000000000005,16.89,199.2,43.32,30.9,0.0,635:23:00
9.0,224.0,71.0,94.0,109.04,8.837,19.0,30.0,68.559,37.03,0.0015543466,63.153,17.31,200.1,43.58,30.9,0.0,574:44:00
10.0,225.0,71.0,95.0,117.03,8.835,19.0,30.0,69.64099999999999,37.03,0.0016653714,64.62899999999999,17.8,201.1,43.89,30.9,0.0,626:06:00
11.0,224.0,72.0,95.0,126.11,8.837,19.0,30.0,69.662,37.03,0.0017763962,65.04299999999999,18.58,202.6,44.37,30.9,0.0,603
12.0,224.0,71.0,96.0,136.43,8.839,19.0,30.0,68.94200000000001,37.03,0.0018874209,63.952999999999996,19.18,203.8,44.75,30.9,0.0,606:56:00
13.0,224.0,71.0,96.0,145.97,8.838,19.0,30.0,69.101,37.03,0.0019984457,63.803,19.57,204.6,45.0,30.9,0.0,601:49:00
14.0,225.0,72.0,96.0,154.27,8.837,20.0,30.0,68.173,37.03,0.0021094703,63.521,19.97,205.4,45.25,30.9,0.0,584
15.0,225.0,73.0,99.0,162.05,8.837,20.0,29.0,68.789,37.03,0.0022204951,62.523,20.37,206.2,45.5,30.9,0.0,595:42:00
16.0,224.0,73.0,100.0,169.37,8.837,20.0,29.0,68.426,37.03,0.00233152,59.910000000000004,21.02,207.5,45.9,30.9,0.0,587:39:00
17.0,223.0,72.0,101.0,179.23,8.837,20.0,30.0,67.894,37.03,0.0024425448,60.33200000000001,21.67,208.8,46.31,30.9,0.0,578
18.0,223.0,72.0,102.0,189.49,8.838,20.0,30.0,68.798,37.03,0.0025535694,60.83200000000001,22.01,209.7,46.59,30.9,0.0,584:35:00
19.0,224.0,72.0,103.0,196.97,8.836,20.0,30.0,67.727,37.03,0.0026645942,60.535000000000004,22.31,210.6,46.85,30.9,0.0,583:30:00
20.0,223.0,71.0,103.0,204.77,8.836,20.0,30.0,66.745,37.03,0.002775619,60.825,22.62,211.4,47.12,30.9,0.0,582:29:00
21.0,223.0,71.0,104.0,215.12,8.839,19.0,30.0,66.788,37.03,0.0028866436,60.541999999999994,22.97,212.6,47.49,30.85,0.0,579
22.0,225.0,72.0,104.0,224.67,8.838,19.0,30.0,66.902,37.03,0.0029976685,61.158,23.34,214.0,47.92,30.9,0.0,582:21:00
23.0,226.0,73.0,105.0,232.64,8.837,19.0,30.0,67.149,37.03,0.0031086933,60.16799999999999,23.65,215.4,48.36,30.85,0.0,584:39:00
24.0,225.0,74.0,105.0,241.24,8.837,19.0,29.0,66.484,37.03,0.0032197179,61.097,23.92,216.8,48.79,30.85,0.0,575
25.0,224.0,74.0,105.0,251.56,8.838,19.0,29.0,65.505,37.03,0.0033307427,61.463,24.28,218.5,49.34,30.85,0.0,586:38:00
26.0,224.0,74.0,105.0,260.66,8.837,19.0,29.0,64.784,37.03,0.0034417675,61.616,24.67,220.4,49.91,30.85,0.0,583:32:00
27.0,224.0,75.0,104.0,269.42,8.837,19.0,29.0,64.52799999999999,37.03,0.0035527924,59.95399999999999,25.07,221.9,50.4,30.85,0.0,583:29:00
28.0,224.0,75.0,104.0,276.43,8.835,19.0,29.0,63.17999999999999,37.03,0.003663817,58.416,25.42,223.3,50.82,30.85,0.0,577:28:00
29.0,223.0,74.0,104.0,285.5,8.837,19.0,29.0,62.519000000000005,37.03,0.0037748418,59.090999999999994,25.71,224.5,51.18,30.85,0.0,564
30.0,223.0,74.0,104.0,295.06,8.838,19.0,29.0,62.077,37.03,0.0038858666,57.388,25.99,225.5,51.52,30.85,0.0,570:23:00
31.0,224.0,73.0,105.0,304.13,8.837,19.0,29.0,61.543000000000006,37.03,0.0039968914,56.875,26.14,226.3,51.75,30.85,0.0,573:20:00
32.0,224.0,73.0,105.0,313.68,8.838,19.0,29.0,61.289,37.03,0.0041079163,56.188,26.29,227.0,51.98,30.8,0.0,567:15:00
33.0,224.0,73.0,106.0,322.76,8.837,19.0,29.0,60.214999999999996,37.03,0.0042189406,56.376999999999995,26.44,227.8,52.21,30.8,0.0,565:15:00
34.0,224.0,73.0,106.0,331.52,8.837,19.0,29.0,59.84400000000001,37.03,0.0043299654,58.161,26.61,229.1,52.51,30.8,0.0,555
35.0,224.0,74.0,107.0,338.53,8.835,19.0,29.0,58.616,37.03,0.0044409903,59.073,26.79,231.2,52.89,30.8,0.0,559:10:00
