time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,PercentageinZ2,THb,hrv,HeatStrainIndex,respiration,skin_temperature,TymeBreathRate,tidal_volume,TymeVentilation
0,225,69,87,0.0,8.834,,31,70.217,,1.3623979E-4,66.137,,0.0,,30.6,11.82,150.3,23.55
1,225,70,88,06.01,8.836,,31,70.24272727272728,,2.7247958E-4,64.50727272727273,677:11:00,0.0,,30.6,12.94,151.7,24.63
2,225,70,89,13.23,8.839,,31,69.822,,4.0871935E-4,64.546,675,0.0,,30.6,13.27,152.1,24.94
3,224,71,89,22.99,8.838,21,30,69.13300000000001,,5.4495916E-4,65.00800000000001,676,0.0,,30.6,13.6,152.5,25.26
4,224,71,89,30.69,8.836,21,30,68.723,,6.811989E-4,65.524,678:11:00,0.0,,30.6,13.93,152.9,25.58
5,223,71,89,38.08,8.835,21,30,68.68666666666667,,8.174387E-4,65.91555555555556,667,0.0,18.9,30.6,14.29,153.4,25.92
6,224,71,89,48.44,8.839,21,30,69.07,,9.5367845E-4,66.34181818181818,670:53:00,0.0,18.9,30.6,14.75,154.0,26.36
7,224,70,89,58.78,8.839,21,31,69.739,,0.0010899183,65.775,647,0.0,18.9,30.6,15.22,154.6,26.81
8,223,70,89,67.98,8.837,21,30,70.30000000000001,,0.001226158,65.77888888888889,661:51:00,0.0,18.9,30.6,15.69,155.2,27.26
9,224,70,90,74.54,8.834,21,31,70.88909090909091,,0.0013623978,65.70727272727272,656:35:00,0.0,18.9,30.6,16.23,155.8,27.77
10,225,69,91,82.58,8.837,21,31,71.655,,0.0014986376,65.886,640:23:00,0.0,18.9,30.6,16.76,156.5,28.28
11,224,69,92,92.31,8.838,21,31,72.39888888888888,,0.0016348774,65.7188888888889,541,0.0,18.9,30.6,17.26,157.1,28.76
12,223,69,92,100.14,8.835,21,31,73.045,,0.0017711172,65.697,699:38:00,0.0,18.9,30.6,17.74,157.7,29.22
13,223,69,93,110.52,8.839,21,31,73.15,,0.0019073569,65.168,647,0.0,18.9,30.65,18.21,158.3,29.68
14,224,68,94,119.7,8.837,21,31,73.026,,0.0020435967,62.549,667:53:00,0.0,21.26,30.65,18.53,158.7,29.98
15,225,68,94,127.09,8.835,21,32,72.634,,0.0021798366,62.031000000000006,648,0.0,21.26,30.65,18.76,159.0,30.2
16,224,69,94,137.45,8.839,21,31,72.1809090909091,,0.0023160763,62.84909090909091,652:34:00,0.0,21.26,30.6,18.99,159.3,30.42
17,224,69,94,146.63,8.837,21,31,71.93333333333334,,0.002452316,61.78,625,0.0,21.26,30.6,19.23,159.6,30.65
18,222,69,94,154.0,8.835,21,31,71.68636363636364,,0.002588556,61.459090909090904,633:15:00,0.0,21.26,30.65,19.46,159.9,30.87
19,222,68,92,164.35,8.839,21,31,71.447,,0.0027247956,60.970000000000006,619:11:00,0.0,23.23,30.65,19.69,160.2,31.09
20,223,67,94,173.54,8.837,21,32,71.21777777777778,,0.0028610355,61.70333333333334,606,0.0,23.23,30.65,20.19,160.8,31.57
21,225,66,95,180.92,8.835,21,33,71.279,,0.0029972752,61.489,615:01:00,0.0,23.23,30.65,20.79,161.5,32.14
