time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature,PercentageinZ2,smo2,THb,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,223.0,72.0,92.0,4.36,9.161,21.0,30.0,37.07,0.00049103855,65.38700000000001,67.898,16.27,260.9,52.85,31.85,0.0,621
1.0,224.0,72.0,94.0,8.84,9.161,21.0,30.0,37.07,0.0007365578,65.72999999999999,65.68199999999999,16.46,259.8,52.71,31.85,0.0,623:625
2.0,225.0,72.0,96.0,17.78,9.163,21.0,30.0,37.07,0.0009820771,66.03299999999999,67.475,16.65,258.8,52.56,31.85,0.0,624:620
3.0,224.0,72.0,96.0,28.12,9.161,21.0,30.0,37.07,0.0012275963,66.28699999999999,65.021,17.01,256.7,52.28,31.85,0.0,615:623
4.0,223.0,71.0,96.0,35.93,9.161,21.0,30.0,37.07,0.0014731156,66.78,64.39,17.32,254.9,52.04,31.85,0.0,629
5.0,222.0,69.0,96.0,45.38,9.161,21.0,31.0,37.07,0.0017186349,67.3290909090909,65.27272727272727,17.44,254.2,51.95,31.85,0.0,626:617
6.0,223.0,69.0,96.0,55.98,9.163,21.0,31.0,37.07,0.0019641542,67.75888888888889,64.9411111111111,17.56,253.5,51.86,31.85,0.0,625
7.0,224.0,69.0,97.0,62.55,9.158,21.0,31.0,37.07,0.0022096734,68.124,65.55799999999999,17.68,252.8,51.77,31.85,0.0,620:559
8.0,225.0,69.0,96.0,73.21,9.163,21.0,31.0,37.07,0.0024551926,68.55181818181819,65.39545454545454,17.8,252.2,51.68,31.85,0.0,660:614
9.0,225.0,69.0,96.0,83.87,9.163,21.0,31.0,37.07,0.002700712,68.83888888888889,63.513333333333335,17.92,251.5,51.58,31.85,0.0,606
10.0,223.0,69.0,96.0,90.43,9.158,21.0,31.0,37.07,0.0029462313,69.045,64.694,18.1,250.5,51.45,31.85,0.0,606:612
11.0,223.0,68.0,96.0,101.17,9.163,21.0,31.0,37.07,0.0031917505,69.06181818181817,64.56818181818181,18.28,249.4,51.31,31.85,0.0,606
12.0,224.0,69.0,96.0,111.76,9.163,21.0,31.0,37.07,0.0034372697,68.98111111111112,64.68333333333334,18.47,248.3,51.16,31.9,0.0,603:603
13.0,224.0,69.0,98.0,117.61,9.158,21.0,31.0,37.07,0.0036827892,69.0,64.74100000000001,18.7,247.0,50.99,31.85,0.0,603:596
14.0,224.0,69.0,98.0,129.04,9.163,21.0,31.0,37.07,0.0039283084,69.08909090909091,64.45363636363636,19.0,245.3,50.76,31.85,0.0,596
15.0,225.0,69.0,99.0,138.8,9.163,21.0,31.0,37.07,0.004173828,69.14333333333333,64.5311111111111,19.28,243.7,50.54,31.85,0.0,593:591
16.0,224.0,70.0,99.0,146.15,9.158,21.0,31.0,37.07,0.004419347,69.15299999999999,63.711,19.47,242.6,50.4,31.85,0.0,586:582
17.0,223.0,70.0,100.0,153.96,9.161,21.0,30.0,37.07,0.0046648663,68.98818181818181,63.943636363636365,19.65,241.6,50.25,31.85,0.0,582
18.0,225.0,70.0,101.0,164.48,9.163,21.0,31.0,37.07,0.0049103852,68.80333333333334,63.63111111111112,19.84,240.5,50.11,31.85,0.0,574:572
19.0,225.0,70.0,102.0,176.16,9.163,21.0,31.0,37.07,0.0051559047,68.604,63.783,20.04,239.3,49.95,31.85,0.0,564:565
20.0,225.0,70.0,103.0,182.67,9.158,21.0,31.0,37.07,0.005401424,68.22363636363637,63.99090909090909,20.25,238.2,49.8,31.85,0.0,565:565
21.0,224.0,70.0,103.0,193.45,9.163,21.0,31.0,37.07,0.005646943,67.79,63.396666666666675,20.46,237.0,49.64,31.85,0.0,563:560
22.0,223.0,70.0,105.0,204.05,9.163,21.0,30.0,37.07,0.0058924626,67.424,63.1,20.7,235.4,49.42,31.85,0.0,560:560
23.0,224.0,70.0,106.0,210.56,9.158,21.0,31.0,37.07,0.006137982,67.11636363636363,61.79727272727273,20.98,233.5,49.17,31.85,0.0,560
24.0,225.0,70.0,106.0,219.2,9.161,21.0,31.0,37.07,0.006383501,66.95,61.382222222222225,21.27,231.6,48.92,31.85,0.0,556:556
25.0,225.0,71.0,107.0,229.94,9.163,21.0,30.0,37.07,0.0066290204,66.75699999999999,61.76700000000001,21.58,229.8,48.67,31.9,0.0,556:555
26.0,224.0,71.0,107.0,240.54,9.163,21.0,30.0,37.07,0.0068745394,66.37909090909092,61.86545454545455,21.75,228.5,48.5,31.9,0.0,554:552
27.0,223.0,71.0,107.0,247.07,9.158,21.0,30.0,37.07,0.007120059,65.98,60.71111111111112,21.82,227.5,48.37,31.85,0.0,551:550
28.0,223.0,70.0,108.0,256.84,9.163,21.0,30.0,37.07,0.0073655783,65.64099999999999,60.147000000000006,21.9,226.6,48.24,31.9,0.0,
29.0,224.0,70.0,108.0,266.38,9.161,21.0,31.0,37.07,0.0076110973,65.38363636363637,60.10545454545456,21.98,225.6,48.11,31.85,0.0,550:551:549
30.0,225.0,70.0,108.0,276.14,9.163,21.0,31.0,37.07,0.007856617,65.14555555555555,61.876666666666665,22.0,224.3,47.93,31.85,0.0,550:549
31.0,223.0,70.0,109.0,283.56,9.158,21.0,30.0,37.07,0.008102136,64.646,61.379999999999995,22.0,222.7,47.71,31.85,0.0,547:546
32.0,223.0,70.0,109.0,293.32,9.163,21.0,30.0,37.07,0.008347656,64.10363636363635,61.20454545454545,22.04,220.9,47.48,31.85,0.0,546
33.0,223.0,69.0,109.0,304.92,9.163,21.0,31.0,37.07,0.008593175,63.92555555555555,60.90111111111111,22.16,218.9,47.21,31.85,0.0,541:544
34.0,224.0,69.0,109.0,311.42,9.158,21.0,31.0,37.07,0.008838694,63.584,60.676,22.25,217.4,47.01,31.85,0.0,540:541
35.0,225.0,70.0,110.0,320.08,9.161,21.0,31.0,37.07,0.0090842135,63.23272727272727,59.99818181818182,22.32,216.4,46.87,31.85,0.0,541:542
36.0,226.0,71.0,110.0,330.81,9.163,21.0,30.0,37.07,0.0093297325,62.95666666666667,60.75777777777778,22.39,215.4,46.74,31.85,0.0,536:540
37.0,225.0,72.0,111.0,341.47,9.163,21.0,30.0,37.07,0.0095752515,62.58,60.319,22.46,214.4,46.6,31.85,0.0,537:535
38.0,225.0,72.0,111.0,349.99,9.161,21.0,30.0,37.07,0.0098207705,62.06909090909091,61.029090909090904,22.52,213.2,46.44,31.85,0.0,532:529
39.0,225.0,72.0,111.0,356.5,9.158,21.0,30.0,37.07,0.01006629,61.48666666666668,60.89888888888889,22.57,211.9,46.27,31.85,0.0,535:537
40.0,223.0,70.0,111.0,367.29,9.163,21.0,30.0,37.07,0.010311809,60.83200000000001,59.25600000000001,22.63,210.7,46.1,31.9,0.0,536:537
41.0,221.0,69.0,112.0,377.89,9.163,21.0,31.0,37.07,0.010557328,60.091818181818184,60.91363636363636,22.7,209.9,46.27,31.85,0.0,536
42.0,223.0,69.0,112.0,384.37,9.158,21.0,31.0,37.07,0.010802848,59.395555555555546,61.33666666666667,22.78,209.1,46.48,31.85,0.0,535:532
43.0,224.0,70.0,112.0,394.18,9.163,21.0,31.0,37.07,0.011048367,58.904,61.564,22.86,208.4,46.69,31.85,0.0,532:532
44.0,224.0,70.0,112.0,405.78,9.163,21.0,31.0,37.07,0.011293886,58.561,61.81,22.98,205.8,46.57,31.85,0.0,535:533
45.0,224.0,70.0,112.0,412.28,9.158,21.0,31.0,37.07,0.011539406,58.214,62.609,23.1,203.5,46.43,31.85,0.0,533:529
46.0,223.0,69.0,112.0,422.98,9.163,21.0,31.0,37.07,0.011784925,57.907,62.71999999999999,23.11,204.3,46.56,31.85,0.0,531:532
47.0,224.0,69.0,112.0,431.53,9.161,21.0,31.0,37.07,0.012030444,57.53636363636363,60.92272727272727,23.12,205.0,46.69,31.85,0.0,533
48.0,224.0,69.0,112.0,439.33,9.161,21.0,31.0,37.07,0.012275964,57.208888888888886,61.93111111111111,23.13,205.8,46.82,31.85,0.0,532:528:528
49.0,224.0,69.0,113.0,447.91,9.161,21.0,31.0,37.07,0.012521483,57.02900000000001,61.843,23.14,206.5,46.95,31.85,0.0,532
50.0,224.0,70.0,113.0,459.44,9.163,21.0,31.0,37.07,0.012767002,56.83727272727273,62.07818181818181,23.14,206.7,47.07,31.85,0.0,531:528
51.0,224.0,69.0,113.0,465.97,9.158,21.0,31.0,37.07,0.013012522,56.62444444444445,62.392222222222216,23.15,206.8,47.2,31.9,0.0,527:527
52.0,225.0,69.0,113.0,475.73,9.163,21.0,31.0,37.07,0.013258041,56.573,62.30499999999999,23.15,206.8,47.33,31.9,0.0,529:529
53.0,224.0,70.0,113.0,487.34,9.163,21.0,31.0,37.07,0.01350356,56.66181818181818,62.92727272727273,23.13,207.4,47.61,31.9,0.0,527:524
