time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature,PercentageinZ2,smo2,THb,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,227.0,75.0,104.0,8.15,9.163,25.0,29.0,37.15,0.00012603983,68.411,64.128,13.99,173.5,37.3,31.2,0.0,1146:572
1.0,224.0,75.0,104.0,16.6,9.162,25.0,29.0,37.15,0.00025207966,69.90545454545456,64.58181818181819,14.32,173.9,37.69,31.15,0.0,565:569
2.0,223.0,75.0,104.0,25.16,9.161,25.0,28.0,37.15,0.0003781195,71.24333333333334,63.59,14.65,174.3,38.08,31.15,0.0,569
3.0,224.0,75.0,105.0,35.22,9.162,24.0,29.0,37.15,0.0005041593,72.252,65.702,14.99,174.7,38.46,31.15,0.0,568:566
4.0,224.0,75.0,104.0,44.5,9.162,24.0,29.0,37.15,0.00063019915,72.74818181818182,67.0290909090909,15.49,175.3,39.05,31.15,0.0,569:566
5.0,223.0,74.0,105.0,51.62,9.159,24.0,29.0,37.15,0.000756239,73.06666666666666,66.3722222222222,16.03,176.0,39.68,31.15,0.0,569:570
6.0,222.0,72.0,105.0,60.99,9.161,24.0,29.0,37.15,0.0008822788,73.392,68.34799999999998,16.57,176.7,40.31,31.15,0.0,566
7.0,222.0,71.0,105.0,70.24,9.162,24.0,30.0,37.15,0.0010083186,73.75545454545454,68.36181818181818,17.18,177.5,41.03,31.15,0.0,564:556
8.0,224.0,71.0,106.0,80.3,9.162,24.0,30.0,37.16,0.0011343585,74.08333333333333,69.89,17.88,178.3,41.85,31.15,0.0,556:556
9.0,224.0,71.0,105.0,91.01,9.163,24.0,30.0,37.16,0.0012603983,74.296,70.68900000000001,18.59,179.2,42.67,31.15,0.0,560:563
10.0,223.0,71.0,105.0,98.83,9.16,24.0,30.0,37.16,0.0013864381,74.45272727272727,71.66272727272727,19.62,180.5,43.88,31.15,0.0,563:558
11.0,223.0,71.0,105.0,106.18,9.16,24.0,30.0,37.16,0.001512478,74.55888888888889,70.47222222222223,20.67,181.8,45.11,31.15,0.0,558
12.0,225.0,71.0,107.0,115.65,9.162,24.0,30.0,37.16,0.0016385177,74.535,70.77000000000001,21.6,183.0,46.19,31.15,0.0,560:552
13.0,225.0,71.0,108.0,125.17,9.162,24.0,30.0,37.16,0.0017645576,74.31,71.29272727272728,22.52,184.1,47.27,31.15,0.0,552:556
14.0,224.0,72.0,107.0,135.03,9.162,24.0,30.0,37.16,0.0018905974,73.93111111111111,71.11666666666666,23.41,185.2,48.31,31.15,0.0,541:546
15.0,223.0,72.0,107.0,143.25,9.16,24.0,30.0,37.16,0.0020166372,73.467,70.447,24.34,186.4,49.4,31.15,0.0,546:542
16.0,223.0,71.0,107.0,152.19,9.161,24.0,30.0,37.16,0.002142677,73.14181818181818,69.36545454545454,25.46,187.8,50.71,31.15,0.0,541:538
17.0,224.0,71.0,108.0,161.67,9.162,24.0,30.0,37.16,0.002268717,72.91333333333334,67.97222222222223,26.32,189.2,52.03,31.15,0.0,540
