time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,215,78,99,5.52,8.837,,26,37.14
1,215,78,100,14.05,8.838,,26,37.14
2,215,77,100,22.78,8.835,,27,37.14
3,214,75,100,30.64,8.836,24,27,37.14
4,214,73,99,40.36,8.838,25,28,37.14
5,215,73,99,49.24,8.837,25,28,37.14
6,216,73,99,58.33,8.838,25,28,37.14
7,216,73,99,67.61,8.837,25,28,37.14
8,216,73,99,77.6,8.838,25,28,37.14
9,216,73,100,85.96,8.837,25,28,37.14
10,216,73,100,92.71,8.835,25,28,37.14
11,216,74,101,100.18,8.835,25,28,37.14
12,216,74,102,109.68,8.838,25,28,37.14
13,216,73,102,120.04,8.839,25,28,37.14
14,215,72,103,129.71,8.837,25,29,37.14
15,215,72,104,136.44,8.835,25,29,37.14
16,216,72,106,144.92,8.837,25,29,37.14
17,217,72,106,154.02,8.837,25,29,37.14
18,217,73,106,163.55,8.838,25,28,37.14
19,216,73,108,173.18,8.837,25,28,37.14
20,216,72,109,183.18,8.838,25,29,37.14
21,216,72,109,190.64,8.835,25,29,37.14
22,216,73,110,198.3,8.836,25,28,37.14
23,216,73,111,208.02,8.838,25,28,37.14
24,216,73,112,216.94,8.837,25,28,37.14
25,216,73,113,226.0,8.838,25,28,37.14
26,217,74,115,235.28,8.837,25,28,37.14
27,217,75,115,243.83,8.837,25,28,37.14
28,216,75,115,253.55,8.838,25,28,37.14
29,216,75,114,261.01,8.835,25,28,37.14
30,215,74,114,268.68,8.836,25,28,37.14
31,215,74,114,278.38,8.838,25,28,37.14
32,216,75,113,287.29,8.837,25,28,37.14
33,216,75,113,295.6,8.837,25,28,37.14
34,216,75,113,305.32,8.838,25,28,37.14
35,216,75,113,314.22,8.837,25,28,37.14
36,216,75,113,323.94,8.838,24,28,37.14
37,216,75,113,332.85,8.837,24,28,37.14
38,216,75,113,341.13,8.837,24,28,37.14
39,216,75,113,350.85,8.838,24,28,37.14
40,215,74,113,358.32,8.835,24,28,37.14
41,214,73,113,367.37,8.837,24,28,37.14
42,215,72,113,375.75,8.837,24,29,37.14
43,216,72,113,384.99,8.838,24,29,37.14
44,217,73,114,394.1,8.837,24,28,37.14
45,217,73,114,402.39,8.837,24,28,37.14
46,217,73,114,411.93,8.838,24,28,37.14
47,217,74,115,420.21,8.835,24,28,37.14
48,216,74,115,428.07,8.836,24,28,37.14
