time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature,PercentageinZ2
0,0,,92,,,,,,0.0
1,201,71,92,0.0,8.28,,27,37.05,1.6578249E-4
2,201,71,92,7.71,8.28,,27,37.05,3.3156498E-4
3,200,70,92,16.86,8.28,24,27,37.05,4.973475E-4
4,199,69,92,25.13,8.28,24,28,37.05,6.6312996E-4
5,200,68,93,32.65,8.28,24,28,37.06,8.289125E-4
6,200,67,94,43.71,8.28,24,29,37.06,9.94695E-4
7,200,67,94,49.97,8.28,24,29,37.06,0.0011604774
8,201,67,94,58.18,8.28,24,29,37.06,0.0013262599
9,203,67,94,64.55,8.28,24,29,37.06,0.0014920424
10,203,68,94,74.75,8.28,25,29,37.06,0.001657825
11,201,68,95,82.95,8.28,25,28,37.06,0.0018236075
12,200,67,96,91.38,8.28,25,29,37.06,0.00198939
13,199,67,97,99.55,8.28,25,28,37.06,0.0021551724
14,201,66,97,105.91,8.28,25,29,37.06,0.0023209548
15,201,66,98,115.3,8.28,25,29,37.06,0.0024867374
16,200,65,98,126.5,8.28,25,29,37.06,0.0026525198
17,200,65,99,132.72,8.28,25,29,37.06,0.0028183025
18,202,65,100,143.06,8.28,25,30,37.06,0.002984085
19,202,65,102,149.35,8.28,25,30,37.06,0.0031498673
20,202,65,102,157.68,8.28,25,30,37.06,0.00331565
21,202,67,103,167.81,8.28,25,29,37.06,0.0034814323
22,202,68,105,173.02,8.28,25,28,37.06,0.003647215
23,201,68,106,182.47,8.28,25,28,37.06,0.0038129974
24,200,67,106,190.75,8.28,25,29,37.06,0.00397878
25,200,66,108,198.93,8.28,25,29,37.06,0.0041445624
26,200,65,109,204.56,8.28,25,29,37.06,0.004310345
27,201,65,109,215.5,8.28,25,30,37.06,0.004476127
28,202,65,109,221.82,8.28,25,30,37.06,0.0046419096
29,202,65,109,231.25,8.28,25,30,37.06,0.0048076925
30,203,66,109,240.35,8.28,25,29,37.06,0.004973475
31,202,67,109,246.72,8.28,25,29,37.06,0.0051392573
32,200,68,109,257.04,8.28,25,28,37.06,0.0053050397
33,200,67,109,267.25,8.28,25,29,37.06,0.005470822
34,201,67,109,273.55,8.28,25,29,37.06,0.005636605
35,201,67,109,281.76,8.28,25,29,37.06,0.0058023874
36,201,67,109,288.1,8.28,25,29,37.06,0.00596817
37,201,67,109,298.45,8.28,25,29,37.06,0.006133952
38,201,67,109,308.67,8.28,25,29,37.06,0.0062997346
39,200,66,107,314.95,8.28,25,29,37.06,0.0064655175
40,201,66,107,323.23,8.295,24,29,37.06,0.0066313
41,203,66,107,331.49,8.679,24,29,37.06,0.0067970823
42,203,67,107,339.84,8.41,24,29,37.07,0.0069628647
43,201,68,109,350.03,8.28,24,28,37.07,0.007128647
44,200,67,108,356.35,8.28,24,29,37.07,0.00729443
45,200,66,108,364.61,8.28,24,29,37.07,0.0074602123
46,200,66,108,372.11,8.28,24,29,37.07,0.0076259947
47,201,66,108,381.27,8.28,24,29,37.07,0.007791777
48,202,66,108,391.43,8.28,24,29,37.07,0.00795756
49,202,67,108,397.07,8.28,24,29,37.07,0.008123342
50,203,68,108,406.11,8.28,24,29,37.07,0.008289125
51,202,68,109,416.29,8.28,24,28,37.07,0.008454907
52,200,68,109,422.6,8.28,24,28,37.07,0.00862069
53,200,68,110,430.96,8.28,24,28,37.07,0.0087864725
54,201,68,110,441.13,8.28,24,28,37.07,0.008952254
55,202,68,111,447.43,8.28,24,28,37.07,0.009118037
56,201,69,111,455.76,8.28,24,28,37.07,0.009283819
57,201,69,110,465.99,8.28,24,28,37.07,0.009449602
58,201,69,110,472.27,8.28,24,28,37.07,0.009615385
59,202,69,110,480.55,8.28,24,28,37.07,0.009781167
60,202,69,110,488.86,8.28,24,28,37.07,0.00994695
61,202,69,111,497.45,8.28,24,28,37.07,0.010112732
62,201,70,111,505.4,8.28,24,27,37.07,0.010278515
63,200,70,111,513.76,8.28,24,27,37.07,0.010444297
64,201,70,112,524.0,8.28,24,27,37.07,0.010610079
65,202,70,112,532.23,8.28,24,28,37.07,0.010775862
66,201,70,112,538.51,8.28,24,27,37.07,0.010941644
67,200,70,112,546.84,8.28,24,27,37.07,0.011107427
68,201,70,112,557.14,8.28,24,27,37.07,0.01127321
69,201,70,112,565.35,8.28,24,27,37.08,0.011438992
70,201,70,112,571.64,8.28,24,27,37.08,0.011604775
71,201,70,113,579.97,8.28,24,27,37.08,0.011770557
72,201,70,112,590.17,8.28,24,27,37.08,0.01193634
73,201,70,112,596.48,8.28,24,27,37.08,0.012102122
74,201,70,112,604.73,8.28,24,27,37.08,0.012267904
75,201,70,112,612.24,8.28,24,27,37.08,0.012433687
76,201,70,112,623.31,8.28,24,27,37.08,0.012599469
77,201,71,112,629.58,8.28,24,27,37.08,0.012765252
78,201,71,113,637.88,8.28,24,27,37.08,0.012931035
79,200,70,113,646.25,8.28,24,27,37.08,0.013096817
80,201,70,112,656.44,8.28,24,27,37.08,0.0132626
81,200,69,112,662.73,8.28,24,28,37.08,0.013428382
82,199,68,112,671.07,8.28,24,28,37.08,0.0135941645
83,200,68,113,681.28,8.28,24,28,37.08,0.013759947
84,202,68,113,687.57,8.28,24,28,37.08,0.013925729
85,203,69,112,695.92,8.28,24,28,37.08,0.014091512
86,203,70,112,706.17,8.28,24,28,37.08,0.014257294
87,202,71,112,713.62,8.28,24,27,37.08,0.014423077
88,201,72,112,720.68,8.28,24,27,37.08,0.01458886
89,200,71,113,729.01,8.28,24,27,37.08,0.014754642
90,199,71,113,738.39,8.28,24,27,37.08,0.014920425
91,199,70,113,745.53,8.28,24,27,37.08,0.015086207
92,201,68,113,753.89,8.28,24,28,37.08,0.0152519895
93,202,67,114,764.08,8.28,24,29,37.08,0.015417772
94,202,68,113,770.37,8.28,24,28,37.08,0.015583554
95,202,69,112,778.65,8.28,24,28,37.08,0.015749337
96,201,69,112,787.01,8.28,24,28,37.08,0.01591512
97,201,70,112,797.2,8.28,24,27,37.08,0.016080901
98,201,69,112,803.49,8.28,24,28,37.08,0.016246684
99,200,69,112,811.85,8.28,24,28,37.08,0.016412467
100,200,69,111,822.04,8.28,24,28,37.08,0.01657825
101,200,68,111,828.33,8.28,24,28,37.08,0.016744033
102,201,68,110,836.69,8.28,24,28,37.08,0.016909814
103,202,68,110,846.96,8.28,24,28,37.08,0.017075596
104,202,69,111,855.16,8.28,24,28,37.08,0.01724138
105,201,70,109,861.45,8.28,24,27,37.08,0.017407162
106,201,70,109,869.8,8.28,24,27,37.08,0.017572945
107,200,69,109,879.98,8.28,24,28,37.08,0.017738726
108,200,69,110,885.63,8.28,24,28,37.08,0.017904509
109,201,69,110,894.65,8.28,24,28,37.08,0.018070292
110,202,69,109,904.92,8.28,24,28,37.08,0.018236075
111,202,70,109,913.12,8.28,24,28,,0.018401857
112,202,70,109,919.4,8.28,24,28,,0.018567638
113,200,70,109,927.74,8.28,24,27,,0.018733421
114,200,69,108,937.12,8.28,24,28,,0.018899204
115,201,69,108,944.25,8.28,24,28,,0.019064987
116,201,69,109,952.53,8.28,24,28,,0.01923077
117,201,70,109,960.9,8.28,24,27,,0.019396551
118,201,70,109,971.06,8.28,24,27,,0.019562334
119,200,70,109,976.69,8.28,24,27,,0.019728117
120,201,70,110,985.74,8.28,24,27,,0.0198939
121,202,70,110,996.01,8.28,24,28,,0.020059682
122,202,70,110,1004.27,8.291,23,28,,0.020225463
123,203,71,110,1012.57,8.543,23,27,,0.020391246
124,202,73,110,1020.76,8.28,23,26,,0.02055703
125,200,74,110,1027.06,8.28,23,26,,0.020722812
126,200,73,109,1035.41,8.28,23,26,,0.020888595
127,200,71,108,1045.69,8.28,23,27,,0.021054376
128,201,71,108,1053.88,8.28,23,27,,0.021220159
129,201,71,108,1060.18,8.28,23,27,,0.021385942
130,201,71,107,1068.49,8.28,23,27,,0.021551725
131,201,71,108,1078.8,8.28,23,27,,0.021717507
132,200,71,109,1087.0,8.28,23,27,,0.021883288
133,200,70,108,1093.26,8.28,23,27,,0.022049071
134,201,70,108,1100.77,8.28,23,27,,0.022214854
135,200,69,108,1111.93,8.28,23,28,,0.022380637
136,201,69,108,1120.12,8.28,23,28,,0.02254642
137,202,69,109,1126.43,8.28,23,28,,0.0227122
138,201,70,109,1134.73,8.28,23,27,,0.022877984
139,201,70,108,1144.13,8.28,23,27,,0.023043767
140,201,70,109,1153.24,8.28,23,27,,0.02320955
141,202,70,110,1159.54,8.28,23,28,,0.023375332
142,202,71,108,1167.81,8.28,23,27,,0.023541113
143,200,71,107,1177.26,8.28,23,27,,0.023706896
144,200,70,107,1186.37,8.28,23,27,,0.02387268
145,200,69,107,1192.74,8.28,23,28,,0.024038462
146,201,69,107,1203.02,8.28,23,28,,0.024204245
147,202,70,107,1211.29,8.28,23,28,,0.024370026
148,202,71,107,1219.47,8.28,23,27,,0.024535809
149,201,72,108,1225.09,8.28,23,27,,0.024701592
150,199,71,108,1234.15,8.28,23,27,,0.024867374
151,200,70,108,1244.42,8.28,23,27,,0.025033157
152,201,70,109,1252.61,8.28,23,27,,0.025198938
153,201,70,109,1258.99,8.28,23,27,,0.025364721
154,200,70,109,1269.26,8.28,23,27,,0.025530504
155,201,70,108,1277.44,8.28,23,27,,0.025696287
156,202,70,108,1283.71,8.28,23,28,,0.02586207
157,201,70,108,1291.19,8.28,23,27,,0.02602785
158,201,71,108,1302.38,8.28,23,27,,0.026193634
159,201,70,108,1310.57,8.28,23,27,,0.026359417
160,202,70,108,1316.85,8.28,23,28,,0.0265252
161,201,70,108,1325.22,8.28,23,27,,0.026690982
162,200,71,108,1335.49,8.28,23,27,,0.026856763
163,200,70,108,1343.69,8.28,23,27,,0.027022546
164,201,69,108,1350.07,8.28,23,28,,0.027188329
165,201,69,108,1360.3,8.28,23,28,,0.027354112
166,202,69,108,1367.79,8.28,23,28,,0.027519895
167,202,69,109,1374.83,8.28,23,28,,0.027685676
168,201,70,109,1383.18,8.28,23,27,,0.027851459
169,200,70,108,1393.44,8.28,23,27,,0.028017242
170,200,70,108,1401.63,8.28,23,27,,0.028183024
171,200,69,109,1407.24,8.28,23,28,,0.028348807
172,201,68,109,1418.25,8.28,23,28,,0.028514588
173,202,68,109,1426.49,8.28,23,28,,0.028680371
174,203,69,109,1432.78,8.28,23,28,,0.028846154
175,201,70,110,1441.09,8.28,23,27,,0.029011937
176,200,71,108,1450.46,8.28,23,27,,0.02917772
177,200,70,107,1459.61,8.28,23,27,,0.0293435
178,200,69,108,1466.01,8.28,23,28,,0.029509284
179,201,69,108,1476.27,8.28,23,28,,0.029675066
180,201,69,108,1484.45,8.28,23,28,,0.02984085
181,201,69,107,1490.76,8.28,23,28,,0.030006632
182,201,69,107,1499.12,8.28,23,28,,0.030172413
183,201,69,108,1509.3,8.28,23,28,,0.030338196
184,201,69,108,1515.6,8.28,23,28,,0.030503979
185,201,69,109,1523.95,8.28,23,28,,0.030669762
186,201,69,110,1534.14,8.28,23,28,,0.030835545
187,201,69,110,1540.43,8.28,23,28,,0.031001326
188,200,68,109,1548.81,8.28,23,28,,0.031167109
189,200,68,109,1558.93,8.28,23,28,,0.03133289
190,201,68,109,1564.1,8.28,23,28,,0.031498674
191,202,68,106,1573.58,8.28,23,28,,0.031664457
192,201,68,104,1582.2,8.28,23,28,,0.03183024
193,200,67,105,1590.17,8.28,23,29,,0.031996023
194,200,66,105,1599.57,8.28,23,29,,0.032161802
195,201,66,105,1608.66,8.28,23,29,,0.032327585
196,202,67,104,1614.96,8.28,23,29,,0.032493368
197,203,67,104,1623.28,8.28,23,29,,0.03265915
198,202,69,104,1632.58,8.28,23,28,,0.032824934
199,201,70,106,1639.79,8.28,23,27,,0.032990716
200,200,69,107,1648.16,8.28,23,28,,0.0331565
201,200,69,107,1658.32,8.28,23,28,,0.033322282
202,200,68,107,1664.63,8.28,23,28,,0.033488065
203,201,68,108,1672.95,8.28,23,28,,0.033653848
204,202,68,107,1683.16,8.28,23,28,,0.033819627
205,201,68,107,1689.43,8.28,23,28,,0.03398541
