time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,tidal_volume,tidal_volume_min,heat_strain_index,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,219,61,103,8.55,8.547,24,34,,37.82,,22.8,76.0,19.0,0.1,0.1,2.7389757E-4,22.8,19.0
1,217,61,104,17.09,8.547,24,34,575:572,37.82,,24.7,87.0,29.0,0.1,0.1,5.4779515E-4,24.7,29.0
2,229,61,104,25.93,8.827,24,36,570,37.82,,26.1,88.0,27.0,0.1,0.1,8.216927E-4,26.1,27.0
3,233,62,105,34.75,8.827,24,36,570:566,37.82,,26.1,90.0,26.0,0.1,0.1,0.0010955903,26.1,26.0
4,241,64,106,43.88,9.135,24,36,564:564,37.81,30.05,28.5,90.0,25.0,0.1,0.1,0.0013694878,28.5,25.0
5,233,65,107,53.03,9.135,24,34,560:558,37.81,30.1,28.5,90.0,25.0,0.1,0.1,0.0016433854,28.5,25.0
6,195,66,108,61.87,8.827,24,28,552:555,37.81,30.1,30.1,104.0,30.0,0.1,0.1,0.0016433854,30.1,30.0
7,201,65,108,70.68,8.827,24,30,551:546,37.81,30.1,30.1,112.0,34.0,0.1,0.1,0.0019172829,30.1,34.0
8,215,63,109,79.51,8.827,24,33,550:547,37.81,30.1,29.6,110.0,33.0,0.1,0.1,0.0021911806,29.6,33.0
9,220,63,109,88.32,8.827,24,33,541,37.81,30.1,29.6,110.0,33.0,0.1,0.1,0.0024650781,29.6,33.0
10,220,64,110,97.15,8.827,24,33,541:549,37.81,30.1,29.6,116.0,36.0,0.1,0.1,0.0027389757,29.6,36.0
11,221,63,111,105.98,8.827,24,33,537:535,37.81,30.1,29.6,107.0,33.0,0.1,0.1,0.0030128732,29.6,33.0
12,208,63,112,114.81,8.827,24,32,537:532,37.81,30.1,30.0,103.0,31.0,0.1,0.1,0.0032867708,30.0,31.0
13,211,62,112,123.35,8.547,24,32,529,37.81,30.1,30.0,101.0,30.0,0.1,0.1,0.0035606683,30.0,30.0
14,223,62,113,131.9,8.547,24,34,528:527,37.81,30.1,30.6,94.0,28.0,0.1,0.1,0.0038345659,30.6,28.0
15,219,62,114,140.73,8.827,24,34,526:523:523,37.81,30.1,30.6,100.0,32.0,0.1,0.1,0.0041084634,30.6,32.0
16,221,62,114,149.55,8.827,24,34,523:514,37.81,30.1,30.6,100.0,32.0,0.1,0.1,0.004382361,30.6,32.0
