time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,hrv,core_temperature,skin_temperature,respiration,tidal_volume,tidal_volume_min,heat_strain_index,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,215,69,93,8.83,8.827,26,30,47.0,,37.06,,34.9,168.0,54.0,0.0,0.0,1.2202562E-4,34.9,54.0
1,214,67,94,17.65,8.827,26,31,48.0,620:625,37.06,33.1,29.9,181.0,33.0,0.0,0.0,2.4405125E-4,29.9,33.0
2,217,67,95,26.48,8.827,26,31,48.0,612:611,37.06,33.1,29.9,181.0,33.0,0.0,0.0,3.6607689E-4,29.9,33.0
3,216,66,95,35.31,8.827,26,31,48.0,612,37.06,33.1,25.1,174.0,32.0,0.0,0.0,4.881025E-4,25.1,32.0
4,215,66,96,44.13,8.827,26,31,48.0,609:609,37.06,33.1,25.1,174.0,32.0,0.0,0.0,6.101281E-4,25.1,32.0
5,214,65,97,52.97,8.827,26,31,48.0,612:609,37.06,33.05,24.3,172.0,38.0,0.0,0.0,7.3215377E-4,24.3,38.0
6,216,65,97,61.79,8.827,26,32,48.0,607,37.06,33.05,24.3,167.0,40.0,0.0,0.0,8.541794E-4,24.3,40.0
7,216,65,97,70.61,8.827,26,32,47.0,1202,37.06,33.1,26.5,145.0,37.0,0.0,0.0,9.76205E-4,26.5,37.0
8,216,66,98,79.44,8.827,26,31,47.0,589:593,37.06,33.1,26.5,135.0,41.0,0.0,0.0,0.0010982306,26.5,41.0
9,217,65,99,88.27,8.827,26,32,47.0,588,37.06,33.05,26.5,135.0,41.0,0.0,0.0,0.0012202562,26.5,41.0
10,219,66,100,97.1,8.827,26,32,47.0,601:555,37.06,33.1,26.5,102.0,32.0,0.0,0.0,0.0013422819,26.5,32.0
11,218,67,99,105.92,8.827,25,31,47.0,640:601,37.06,33.1,26.5,102.0,32.0,0.0,0.0,0.0014643075,26.5,32.0
12,215,69,100,114.76,8.827,25,30,47.0,593,37.06,33.05,24.1,203.0,43.0,0.0,0.0,0.0015863332,24.1,43.0
13,213,70,100,123.58,8.827,25,29,47.0,597:597,37.06,33.05,24.1,203.0,43.0,0.0,0.0,0.0017083588,24.1,43.0
14,216,68,100,132.4,8.827,25,30,46.0,593:589,37.06,33.05,28.3,170.0,41.0,0.0,0.0,0.0018303844,28.3,41.0
15,217,68,100,141.24,8.827,25,30,46.0,593,37.06,33.05,28.3,170.0,41.0,0.0,0.0,0.00195241,28.3,41.0
16,217,68,101,150.06,8.827,25,30,46.0,580:586,37.06,33.05,30.1,137.0,41.0,0.0,0.0,0.0020744356,30.1,41.0
17,215,68,101,158.88,8.827,25,30,46.0,582:578,37.06,33.05,30.1,137.0,41.0,0.0,0.0,0.0021964612,30.1,41.0
18,217,69,102,167.72,8.827,25,30,46.0,574,37.06,33.05,29.3,106.0,35.0,0.0,0.0,0.0023184868,29.3,35.0
19,216,69,103,176.54,8.827,25,30,46.0,569:564,37.06,33.0,29.3,107.0,34.0,0.0,0.0,0.0024405124,29.3,34.0
20,214,68,104,185.36,8.827,25,30,45.0,563:559,37.06,33.05,29.3,107.0,34.0,0.0,0.0,0.002562538,29.3,34.0
21,215,67,104,194.19,8.827,25,31,45.0,565,37.06,33.05,29.3,107.0,34.0,0.0,0.0,0.0026845639,29.3,34.0
22,217,67,104,203.02,8.827,25,31,45.0,565:573:574,37.06,33.05,29.3,109.0,31.0,0.0,0.0,0.0028065895,29.3,31.0
23,218,69,104,211.84,8.827,25,30,45.0,574,37.06,33.05,29.3,109.0,31.0,0.0,0.0,0.002928615,29.3,31.0
24,217,69,105,220.67,8.827,25,30,44.0,565:574,37.06,33.0,31.8,423.0,134.0,0.0,0.0,0.0030506407,31.8,134.0
