time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,hrv,core_temperature,skin_temperature,respiration,tidal_volume,tidal_volume_min,heat_strain_index,HeatStrainIndex,Oxygenation,PercentageinZ2,TymeBreathRate,TymeVentilation
0,215,63,80,8.83,8.827,22,33,45.0,,36.95,,25.7,95.0,28.0,0.0,0.0,45.0,2.7708506E-4,25.7,28.0
1,215,62,80,17.65,8.827,22,33,45.0,1496,36.95,,25.7,95.0,28.0,0.0,0.0,45.0,5.541701E-4,25.7,28.0
2,217,62,80,26.48,8.827,22,33,45.0,730,36.95,,28.6,54.0,17.0,0.0,0.0,45.0,8.312552E-4,28.6,17.0
3,216,62,81,35.32,8.827,22,33,45.0,730:718,36.95,,28.6,54.0,17.0,0.0,0.0,45.0,0.0011083402,28.6,17.0
4,214,62,83,44.14,8.827,22,33,46.0,717:714,36.95,,28.6,142.0,31.0,0.0,0.0,46.0,0.0013854253,28.6,31.0
5,216,61,83,52.96,8.827,22,34,46.0,714,36.95,,28.6,142.0,31.0,0.0,0.0,46.0,0.0016625104,28.6,31.0
6,216,61,83,61.79,8.827,22,34,46.0,711,36.95,,28.6,142.0,31.0,0.0,0.0,46.0,0.0019395954,28.6,31.0
7,216,61,84,70.62,8.827,22,34,46.0,707,36.95,,26.9,164.0,38.0,0.0,0.0,46.0,0.0022166804,26.9,38.0
8,217,61,84,79.44,8.827,22,34,46.0,694:688,36.95,32.1,26.9,164.0,38.0,0.0,0.0,46.0,0.0024937657,26.9,38.0
9,217,62,85,88.27,8.827,22,33,46.0,680:690,36.95,32.15,25.8,155.0,38.0,0.0,0.0,46.0,0.0027708507,25.8,38.0
10,219,63,85,97.1,8.827,22,33,46.0,707,36.95,32.1,25.8,141.0,42.0,0.0,0.0,46.0,0.0030479357,25.8,42.0
11,216,64,85,105.92,8.827,22,32,46.0,714,36.95,32.1,25.8,141.0,42.0,0.0,0.0,46.0,0.003325021,25.8,42.0
12,214,64,85,114.75,8.827,22,32,45.0,714,36.95,32.1,31.9,142.0,50.0,0.0,0.0,45.0,0.003602106,31.9,50.0
13,216,64,85,123.58,8.827,22,32,45.0,1406:698,36.95,32.1,31.9,142.0,50.0,0.0,0.0,45.0,0.003879191,31.9,50.0
14,215,64,85,132.4,8.827,22,32,45.0,688,36.95,32.1,39.9,122.0,57.0,0.0,0.0,45.0,0.004156276,39.9,57.0
15,214,63,85,141.23,8.827,22,32,45.0,690,36.95,32.1,39.9,127.0,61.0,0.0,0.0,45.0,0.004433361,39.9,61.0
16,215,63,86,150.06,8.827,22,33,45.0,680:680,36.95,32.15,42.2,105.0,48.0,0.0,0.0,45.0,0.004710446,42.2,48.0
17,215,62,86,158.89,8.827,22,33,45.0,675,36.95,32.15,42.2,106.0,46.0,0.0,0.0,45.0,0.0049875313,42.2,46.0
18,214,61,87,167.71,8.827,22,34,45.0,663,36.95,32.15,42.2,102.0,41.0,0.0,0.0,45.0,0.005264616,42.2,41.0
19,218,61,88,176.54,8.827,22,34,45.0,667:656,36.94,32.15,42.2,77.0,26.0,0.0,0.0,45.0,0.0055417013,42.2,26.0
