time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,respiration,tidal_volume,tidal_volume_min,PercentageinZ2,TymeBreathRate,TymeVentilation
0,0,,84,,,,,65.9,,,98.08,7.768,0.0,,7.768
1,0,0,84,,,22,0,64.0,37.04,12.41,101.8,8.567,0.0,12.41,8.567
2,0,0,83,,,22,0,65.3,37.04,12.71,105.4,9.332,0.0,12.71,9.332
3,0,0,82,,,22,0,65.1,37.04,12.93,108.0,9.904,0.0,12.93,9.904
4,0,0,82,0.0,0.0,22,0,65.0,37.04,13.16,110.7,10.47,0.0,13.16,10.47
5,0,0,81,0.0,0.0,22,0,65.4,37.04,13.38,113.3,11.05,0.0,13.38,11.05
6,0,0,81,4.83,0.81,22,0,65.1,37.04,13.68,116.9,11.81,0.0,13.68,11.81
7,0,0,82,13.54,6.165,22,0,64.5,37.04,14.0,120.7,12.62,0.0,14.0,12.62
8,180,47,82,21.25,8.28,22,37,65.7,37.04,14.32,124.5,13.43,0.0,14.32,13.43
9,180,64,83,30.09,8.28,22,27,65.9,37.04,14.64,128.3,14.25,0.0,14.64,14.25
10,180,64,84,40.14,8.28,22,27,65.7,37.04,14.96,132.0,15.05,0.0,14.96,15.05
11,180,65,85,47.68,8.28,22,26,65.7,37.04,15.15,134.3,15.55,0.0,15.15,15.55
12,179,64,85,56.71,8.28,22,27,65.4,37.04,15.35,136.6,16.05,0.0,15.35,16.05
13,179,64,85,64.71,8.28,22,27,65.9,37.04,15.55,139.0,16.55,0.0,15.55,16.55
14,180,64,85,70.27,8.28,22,27,65.8,37.04,15.75,141.3,17.06,0.0,15.75,17.06
15,180,64,86,79.89,8.28,22,27,65.9,37.04,15.97,143.9,17.62,0.0,15.97,17.62
16,180,64,88,90.79,8.28,22,27,65.9,37.04,16.19,146.5,18.17,0.0,16.19,18.17
17,181,65,89,97.54,8.28,22,27,64.4,37.04,16.41,149.1,18.73,0.0,16.41,18.73
18,180,65,87,107.13,8.28,22,26,66.2,37.04,16.68,152.3,19.42,0.0,16.68,19.42
19,180,65,87,114.51,8.28,22,26,65.2,37.04,16.96,155.7,20.13,0.0,16.96,20.13
20,180,65,85,123.18,8.28,22,26,62.8,37.04,17.22,159.2,20.89,0.0,17.22,20.89
21,181,65,85,130.47,8.28,22,27,62.2,37.04,17.29,164.0,21.92,0.0,17.29,21.92
22,181,65,85,140.29,8.28,22,27,60.1,37.04,17.36,168.6,22.92,0.0,17.36,22.92
23,180,66,86,147.66,8.28,22,26,58.8,37.04,17.45,172.7,23.79,0.0,17.45,23.79
24,180,66,87,155.49,8.28,22,26,56.9,37.04,17.54,176.7,24.66,0.0,17.54,24.66
25,179,65,87,163.76,8.28,22,26,56.4,37.04,17.59,180.3,25.42,0.0,17.59,25.42
26,179,65,88,172.05,8.28,22,26,54.4,37.04,17.64,183.8,26.18,0.0,17.64,26.18
27,179,64,90,179.74,8.28,22,27,54.2,37.04,17.67,186.2,26.69,0.0,17.67,26.69
28,180,64,91,189.97,8.28,22,27,52.8,37.04,17.69,187.6,26.98,0.0,17.69,26.98
29,180,64,92,196.91,8.28,22,27,52.5,37.04,17.7,188.9,27.28,0.0,17.7,27.28
30,181,64,92,204.34,8.28,22,27,51.7,37.04,17.72,190.3,27.57,0.0,17.72,27.57
31,181,65,93,214.81,8.28,22,27,51.7,37.04,17.74,191.7,27.86,0.0,17.74,27.86
32,181,66,94,222.19,8.28,22,26,52.3,37.04,17.76,193.0,28.16,0.0,17.76,28.16
33,181,66,95,231.61,8.28,22,26,52.5,37.04,17.77,194.4,28.45,0.0,17.77,28.45
34,180,67,94,238.71,8.28,22,26,52.0,37.04,17.71,196.3,28.86,0.0,17.71,28.86
35,180,67,92,246.56,8.28,22,26,53.1,37.04,17.65,198.2,29.28,0.0,17.65,29.28
36,180,67,91,256.46,8.28,22,26,52.7,37.04,17.59,200.2,29.69,0.0,17.59,29.69
37,180,67,92,263.56,8.28,22,26,52.7,37.04,17.53,202.1,30.1,0.0,17.53,30.1
38,179,67,94,272.27,8.28,22,26,51.6,37.04,17.41,204.7,30.66,0.0,17.41,30.66
39,181,68,96,279.51,8.28,22,25,52.0,37.04,17.19,208.4,31.46,0.0,17.19,31.46
40,181,69,97,287.75,8.28,22,25,52.0,37.04,16.97,212.1,32.26,0.0,16.97,32.26
41,180,68,98,297.81,8.28,21,25,52.1,37.04,16.79,215.6,33.01,0.0,16.79,33.01
42,180,68,98,304.54,8.28,21,25,52.2,37.04,16.61,219.1,33.76,0.0,16.61,33.76
43,180,68,99,312.61,8.28,21,25,52.5,37.04,16.47,222.1,34.52,0.0,16.47,34.52
44,181,68,100,322.7,8.28,21,25,52.7,37.04,16.4,224.3,35.29,0.0,16.4,35.29
45,180,68,100,329.83,8.28,21,25,53.1,37.04,16.33,226.5,36.07,0.0,16.33,36.07
46,180,67,100,337.06,8.28,21,26,52.6,37.04,16.26,228.8,36.84,0.0,16.26,36.84
47,180,67,101,346.51,8.28,21,26,52.8,37.05,16.19,231.0,37.61,0.0,16.19,37.61
48,180,68,102,353.66,8.28,21,25,52.2,37.05,16.12,233.2,38.38,0.0,16.12,38.38
49,180,68,102,363.52,8.28,21,25,52.1,37.05,16.04,235.4,39.15,0.0,16.04,39.15
50,180,69,102,370.79,8.28,21,25,52.6,37.05,15.93,236.3,39.32,0.0,15.93,39.32
51,180,69,100,378.85,8.28,21,25,52.6,37.05,15.81,237.0,39.45,0.0,15.81,39.45
52,180,69,100,387.33,8.28,21,25,52.2,37.05,15.69,237.8,39.58,0.0,15.69,39.58
53,180,69,100,397.22,8.28,21,25,52.7,37.05,15.57,238.6,39.71,0.0,15.57,39.71
54,180,69,102,404.35,8.28,21,25,52.6,37.05,15.48,239.1,39.84,0.0,15.48,39.84
55,179,68,102,413.78,8.28,21,25,52.8,37.05,15.39,239.6,39.98,0.0,15.39,39.98
56,180,68,103,420.47,8.28,21,25,53.3,37.05,15.3,240.1,40.12,0.0,15.3,40.12
57,180,67,104,427.89,8.28,21,26,54.2,37.05,15.21,240.5,40.25,0.0,15.21,40.25
58,180,67,104,438.37,8.28,21,26,53.8,37.05,15.11,241.0,40.39,0.0,15.11,40.39
59,180,68,104,445.75,8.28,21,25,54.6,37.05,14.98,243.0,40.68,0.0,14.98,40.68
60,180,68,102,452.98,8.28,21,25,54.9,37.05,14.78,247.0,41.17,0.0,14.78,41.17
61,179,68,101,459.61,8.28,21,25,54.8,37.05,14.58,251.0,41.67,0.0,14.58,41.67
62,179,67,100,469.41,8.28,21,26,54.5,37.05,14.45,253.7,42.04,0.0,14.45,42.04
63,179,66,100,480.0,8.28,21,26,54.4,37.05,14.37,255.5,42.31,0.0,14.37,42.31
64,180,66,100,487.15,8.28,21,26,55.3,37.05,14.29,257.2,42.58,0.0,14.29,42.58
65,180,66,100,493.9,8.28,21,26,54.8,37.05,14.22,259.0,42.85,0.0,14.22,42.85
66,181,67,100,503.44,8.28,21,26,54.9,37.05,14.14,260.7,43.11,0.0,14.14,43.11
67,180,68,101,511.36,8.28,21,25,55.2,37.05,14.06,262.5,43.38,0.0,14.06,43.38
68,180,67,101,521.17,8.28,21,26,55.8,37.05,13.99,264.0,43.61,0.0,13.99,43.61
69,179,67,101,528.1,8.28,21,26,55.9,37.05,13.94,265.1,43.79,0.0,13.94,43.79
70,179,67,99,535.55,8.28,21,26,56.0,37.05,13.89,266.2,43.98,0.0,13.89,43.98
71,180,67,98,545.23,8.28,21,26,55.0,37.05,13.84,267.3,44.16,0.0,13.84,44.16
72,181,68,97,552.77,8.28,21,25,55.5,37.05,13.78,268.4,44.34,0.0,13.78,44.34
73,180,68,99,561.02,8.28,21,25,53.7,37.05,13.75,269.4,44.53,0.0,13.75,44.53
74,180,67,100,569.76,8.28,21,26,54.7,37.05,13.78,269.8,44.74,0.0,13.78,44.74
75,179,67,100,577.39,8.28,21,26,54.7,37.05,13.82,270.2,44.95,0.0,13.82,44.95
76,179,66,100,586.62,8.28,21,26,55.0,37.05,13.86,270.6,45.16,0.0,13.86,45.16
77,180,66,99,594.64,8.28,21,26,55.5,37.05,13.91,271.0,45.4,0.0,13.91,45.4
78,180,67,100,602.61,8.28,21,26,56.0,37.05,14.0,271.5,45.73,0.0,14.0,45.73
79,180,67,99,612.5,8.28,21,26,56.6,37.05,14.1,271.9,46.07,0.0,14.1,46.07
80,180,67,97,619.63,8.28,21,26,56.2,37.05,14.19,272.4,46.41,0.0,14.19,46.41
81,181,68,97,629.07,8.28,21,25,55.3,37.05,14.29,272.8,46.74,0.0,14.29,46.74
82,180,68,97,636.19,8.28,21,25,54.8,37.05,14.41,273.3,47.1,0.0,14.41,47.1
83,180,68,98,644.03,8.28,21,25,54.6,37.05,14.71,274.4,47.55,0.0,14.71,47.55
