time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,tidal_volume,tidal_volume_min,PercentageinZ2,TymeBreathRate,TymeVentilation
0,216,70,107,0.0,8.839,,29,78.5,38.02,96.73,30.79,1.7537706E-4,41.06,30.79
1,216,69,108,5.5,8.837,,30,77.8,38.02,100.8,32.19,3.5075413E-4,40.6,32.19
2,216,69,109,12.37,8.837,,30,76.5,38.02,105.3,33.74,5.261312E-4,40.08,33.74
3,216,69,109,20.64,8.837,18,30,75.5,38.02,109.9,35.31,7.0150825E-4,39.56,35.31
4,215,69,110,29.94,8.838,18,30,74.4,38.02,114.3,36.82,8.768853E-4,39.07,36.82
5,215,68,111,38.26,8.836,18,30,72.8,38.02,118.3,38.19,0.0010522624,38.61,38.19
6,216,67,111,46.51,8.836,18,31,71.4,38.01,122.1,39.49,0.0012276394,38.18,39.49
7,217,68,111,56.86,8.839,18,30,69.4,38.01,125.0,40.51,0.0014030165,37.85,40.51
8,217,68,111,65.16,8.836,18,30,68.0,38.01,127.8,41.48,0.0015783935,37.52,41.48
9,216,68,111,72.96,8.836,18,30,65.2,38.01,131.7,42.82,0.0017537706,37.08,42.82
10,215,68,112,83.19,8.839,18,30,63.9,38.01,137.0,44.63,0.0019291476,36.48,44.63
11,216,67,112,93.1,8.838,18,31,61.2,38.01,141.2,46.08,0.0021045248,36.0,46.08
12,217,68,112,100.08,8.835,18,30,58.7,38.01,145.7,47.6,0.0022799019,35.41,47.6
13,217,70,112,108.03,8.836,18,30,56.3,38.01,150.3,49.2,0.0024552788,34.7,49.2
14,217,70,112,118.96,8.839,18,30,54.5,38.01,154.6,50.68,0.002630656,34.17,50.68
15,217,71,113,128.29,8.838,18,29,54.2,38.01,158.8,52.11,0.002806033,33.71,52.11
16,217,72,113,137.58,8.838,18,29,53.7,38.01,162.7,53.46,0.0029814101,33.36,53.46
17,216,72,113,145.89,8.836,18,29,53.1,38.01,165.4,54.38,0.003156787,33.14,54.38
18,215,72,113,152.75,8.835,18,29,53.2,38.01,167.2,54.99,0.0033321641,33.02,54.99
19,216,71,114,161.83,8.838,18,29,52.1,38.01,168.9,55.6,0.0035075413,32.89,55.6
20,216,71,114,172.79,8.839,18,29,50.5,38.01,170.7,56.21,0.0036829184,32.76,56.21
21,216,71,115,181.09,8.836,18,29,50.7,38.01,174.6,57.55,0.0038582953,32.41,57.55
22,216,70,116,188.33,8.835,18,29,51.2,38.01,179.7,59.31,0.0040336726,31.99,59.31
23,217,71,117,197.63,8.838,18,29,49.3,38.01,185.0,61.13,0.0042090495,31.65,61.13
24,216,71,117,206.94,8.838,18,29,49.3,38.01,189.4,62.65,0.0043844264,31.38,62.65
25,215,70,118,215.22,8.837,18,29,48.3,38.01,192.8,63.62,0.0045598038,31.13,63.62
26,215,69,118,223.15,8.837,18,30,47.6,38.01,194.3,63.66,0.0047351806,30.92,63.66
27,215,69,118,231.79,8.837,18,30,48.6,38.01,195.8,63.74,0.0049105575,30.7,63.74
28,216,69,118,242.6,8.839,18,30,49.6,38.01,197.7,64.56,0.005085935,30.42,64.56
29,216,69,119,251.47,8.836,18,30,50.0,38.01,199.4,65.3,0.005261312,30.14,65.3
30,216,69,119,259.73,8.836,18,30,49.5,38.01,199.7,65.56,0.0054366887,29.76,65.56
31,216,69,119,269.06,8.838,18,30,48.4,38.01,200.7,66.05,0.005612066,29.52,66.05
32,217,70,120,278.36,8.838,18,30,48.8,38.0,202.4,66.73,0.005787443,29.36,66.73
33,217,71,121,286.64,8.836,18,29,49.2,38.0,204.0,67.4,0.0059628203,29.21,67.4
34,216,71,121,293.49,8.835,18,29,49.2,38.0,207.8,67.81,0.006138197,29.02,67.81
35,215,70,121,302.61,8.838,18,29,48.6,38.0,211.6,68.22,0.006313574,28.83,68.22
36,216,70,122,313.55,8.839,18,29,48.7,37.99,213.2,68.38,0.0064889514,28.81,68.38
37,216,70,123,322.86,8.838,18,29,48.4,37.99,213.8,68.44,0.0066643283,28.86,68.44
38,217,70,123,330.12,8.835,18,30,49.3,37.99,216.4,69.39,0.006839705,29.28,69.39
39,217,71,123,338.4,8.836,18,29,49.5,37.99,219.9,70.68,0.0070150825,29.88,70.68
40,216,72,124,347.71,8.838,18,29,49.8,37.99,223.3,71.31,0.0071904594,30.32,71.31
41,215,72,124,357.01,8.838,18,29,49.1,37.99,226.5,71.9,0.0073658368,30.74,71.9
42,215,71,124,365.33,8.836,18,29,47.9,37.98,227.4,71.93,0.0075412137,30.97,71.93
43,215,70,124,373.59,8.836,18,29,47.6,37.98,228.3,71.95,0.0077165905,31.21,71.95
44,216,70,125,383.94,8.839,19,29,48.2,37.98,229.2,71.98,0.007891968,31.44,71.98
45,216,69,125,393.26,8.838,19,30,49.0,37.98,230.4,72.13,0.008067345,31.74,72.13
46,216,69,125,400.51,8.835,19,30,50.1,37.98,232.4,72.55,0.008242722,32.18,72.55
47,216,69,125,408.31,8.836,19,30,50.5,37.98,233.5,72.95,0.008418099,32.57,72.95
48,216,69,126,418.54,8.839,19,30,50.3,37.98,233.5,73.27,0.008593476,32.88,73.27
49,217,70,126,428.45,8.838,19,30,50.5,37.98,232.3,73.31,0.008768853,33.06,73.31
50,217,71,126,437.3,8.838,19,29,50.8,37.98,232.6,73.76,0.00894423,33.28,73.76
51,216,71,126,445.71,8.836,19,29,50.7,37.98,236.7,75.25,0.0091196075,33.58,75.25
52,215,71,126,454.31,8.836,19,29,50.0,37.98,240.1,76.29,0.009294984,33.9,76.29
53,215,70,126,463.63,8.838,19,29,48.9,37.98,241.5,76.27,0.009470361,34.02,76.27
54,216,70,127,472.92,8.838,19,29,48.6,37.98,242.7,76.11,0.009645739,34.11,76.11
55,216,70,127,481.23,8.836,19,29,49.1,37.98,244.2,76.38,0.009821115,34.12,76.38
56,217,71,127,488.49,8.835,19,29,48.9,37.98,245.7,76.84,0.009996492,34.09,76.84
57,217,72,128,497.79,8.838,19,29,48.9,37.98,246.6,77.28,0.01017187,33.92,77.28
58,216,72,128,506.74,8.838,19,29,47.9,37.98,247.4,77.57,0.010347246,33.72,77.57
59,215,72,128,515.84,8.838,19,29,48.2,37.98,248.9,77.29,0.010522624,33.64,77.29
60,216,72,129,525.75,8.838,19,29,47.0,37.98,249.4,77.05,0.010698001,33.65,77.05
61,216,72,129,533.0,8.835,19,29,47.8,37.98,249.9,76.97,0.010873377,33.68,76.97
62,215,71,128,541.26,8.836,19,29,49.2,37.98,250.4,77.17,0.011048755,33.67,77.17
63,216,72,129,550.56,8.838,19,29,49.2,37.98,251.0,77.37,0.011224132,33.66,77.37
64,217,72,129,559.86,8.838,19,29,49.3,37.98,251.5,77.57,0.011399509,33.65,77.57
65,216,72,130,569.2,8.838,19,29,48.3,37.97,252.3,77.84,0.011574886,33.63,77.84
66,216,72,130,578.5,8.838,19,29,48.6,37.97,253.8,78.38,0.011750263,33.6,78.38
67,216,72,130,586.82,8.836,19,29,48.0,37.97,254.0,78.54,0.0119256405,33.39,78.54
68,216,71,131,595.09,8.836,19,29,47.1,37.97,253.6,78.51,0.012101017,33.09,78.51
69,215,71,131,604.42,8.838,19,29,47.5,37.97,254.3,78.98,0.012276394,32.81,78.98
70,215,71,130,613.72,8.838,19,29,48.7,37.97,255.2,79.54,0.012451772,32.54,79.54
71,216,70,130,622.01,8.836,19,29,50.5,37.97,256.5,80.25,0.012627148,32.27,80.25
72,216,70,130,630.28,8.836,19,29,52.2,37.97,259.1,81.55,0.012802525,32.02,81.55
73,216,70,130,639.6,8.838,19,29,52.9,37.97,261.7,82.84,0.012977903,31.77,82.84
74,216,70,130,648.88,8.838,19,29,51.9,37.97,267.6,83.69,0.013153279,31.4,83.69
75,217,71,130,657.19,8.836,19,29,50.9,37.97,274.2,84.11,0.013328657,30.94,84.11
76,216,71,130,665.47,8.836,19,29,51.0,37.97,273.0,83.02,0.013504034,30.43,83.02
77,215,70,129,674.79,8.838,19,29,49.2,37.97,271.8,82.24,0.01367941,30.01,82.24
78,215,70,129,684.1,8.838,19,29,50.3,37.97,270.6,81.69,0.013854788,29.66,81.69
79,216,69,129,692.4,8.836,19,30,50.7,37.97,269.2,80.45,0.014030165,29.34,80.45
80,216,69,128,700.17,8.836,19,30,50.1,37.97,267.7,78.65,0.014205541,29.06,78.65
81,216,69,128,710.36,8.839,19,30,50.8,37.97,267.0,77.57,0.014380919,28.88,77.57
82,216,69,128,720.31,8.838,19,30,51.8,37.97,266.6,76.78,0.014556296,28.75,76.78
83,217,69,127,727.56,8.835,19,30,51.8,37.97,266.3,76.03,0.0147316735,28.61,76.03
84,217,70,127,735.8,8.836,19,30,52.8,37.97,266.9,75.63,0.01490705,28.46,75.63
