time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,PercentageinZ2
0,0,,85,,,,,63.37182,36.91,0.0
1,223,70,85,0.0,8.837,,30,63.52,36.91,1.2253401E-4
2,223,70,86,4.4,8.837,,30,63.828,36.91,2.4506802E-4
3,223,70,86,9.39,8.837,,30,63.59909,36.91,3.67602E-4
4,223,70,86,18.86,8.837,,30,63.29778,36.91,4.9013604E-4
5,222,69,86,28.28,8.837,19,31,63.319,36.91,6.1267003E-4
6,223,67,87,35.42,8.835,19,32,63.554546,36.91,7.35204E-4
7,224,67,87,45.75,8.839,19,32,63.84111,36.91,8.57738E-4
8,224,67,88,55.17,8.838,19,32,64.043,36.91,9.802721E-4
9,223,67,88,62.32,8.835,19,32,64.28364,36.91,0.0011028061
10,223,67,89,72.66,8.839,19,32,64.596664,36.91,0.0012253401
11,224,67,90,82.1,8.837,19,32,64.987,36.91,0.0013478741
12,225,67,90,89.21,8.835,19,32,65.487274,36.91,0.001470408
13,225,67,91,99.59,8.839,19,32,66.043335,36.91,0.001592942
14,224,68,91,109.01,8.837,19,31,66.52,36.91,0.001715476
15,223,68,91,116.09,8.835,19,31,67.137276,36.91,0.00183801
16,223,67,91,126.44,8.839,20,32,67.77556,36.91,0.0019605441
17,225,67,92,135.9,8.838,20,32,68.402,36.91,0.002083078
18,224,67,93,143.04,8.835,20,32,69.00364,36.91,0.0022056121
19,224,68,94,152.94,8.838,20,31,69.35667,36.91,0.002328146
20,224,68,94,160.77,8.836,20,31,69.519,36.91,0.0024506801
21,224,68,95,167.87,8.835,20,31,69.49182,36.91,0.002573214
22,224,68,97,178.19,8.839,20,31,69.255554,36.91,0.0026957481
23,224,69,97,188.14,8.838,20,31,68.859,36.91,0.002818282
24,224,69,98,196.42,8.837,20,31,68.28727,36.91,0.002940816
25,224,69,99,204.7,8.837,20,31,67.45333,36.91,0.00306335
26,223,69,100,213.44,8.837,20,31,66.362,36.91,0.003185884
27,224,68,100,222.87,8.837,20,31,64.99273,36.91,0.003308418
28,225,68,101,230.0,8.835,20,32,63.47,36.91,0.003430952
29,225,68,101,240.36,8.839,20,32,61.951,36.91,0.0035534862
30,224,69,102,250.24,8.838,20,31,60.29,36.91,0.00367602
31,223,69,101,257.93,8.836,20,31,58.72333,36.91,0.0037985542
32,223,69,102,264.29,8.834,20,31,57.354,36.91,0.0039210883
