time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,skin_temperature,respiration,tidal_volume,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,225,71,95,0.0,8.834,,30,65.81,,,,121.4,0.0,1.2202562E-4,20.98,34.82
1,225,71,95,5.32,8.836,21,30,65.23333,37.11,32.3,,124.8,0.0,2.4405125E-4,21.24,35.36
2,225,71,94,10.75,8.839,21,30,63.863636,37.11,32.3,,128.2,0.0,3.6607689E-4,21.5,35.9
3,224,72,94,18.3,8.837,21,30,62.355,37.11,32.3,,130.1,0.0,4.881025E-4,21.64,36.19
4,224,72,95,29.39,8.839,21,30,61.724,37.11,32.3,,131.3,0.0,6.101281E-4,21.74,36.39
5,223,71,95,37.72,8.837,21,30,62.003,37.11,32.3,,132.6,0.0,7.3215377E-4,21.84,36.59
6,222,70,95,45.99,8.837,21,30,63.098,37.11,32.3,25.98,133.8,0.0,8.541794E-4,21.93,36.78
7,223,69,96,54.33,8.837,21,31,64.531,37.11,32.3,25.98,135.1,0.0,9.76205E-4,22.03,36.98
8,225,69,96,64.51,8.838,21,31,66.022,37.11,32.3,25.98,136.3,0.0,0.0010982306,22.12,37.17
9,225,69,98,70.91,8.834,21,31,67.369,37.11,32.3,25.98,137.6,0.0,0.0012202562,22.22,37.38
10,224,70,98,80.31,8.838,21,31,68.567,37.11,32.3,25.98,140.5,0.0,0.0013422819,22.44,37.83
11,223,70,98,90.61,8.839,21,30,69.722,37.11,32.3,27.16,143.3,0.0,0.0014643075,22.66,38.28
12,224,70,98,99.7,8.837,21,31,70.68,37.11,32.3,27.16,146.3,0.0,0.0015863332,22.89,38.75
13,225,70,98,106.11,8.834,21,31,71.242,37.11,32.3,27.16,150.2,0.0,0.0017083588,23.18,39.35
14,224,70,98,116.43,8.839,21,31,71.724,37.11,32.3,27.16,154.0,0.0,0.0018303844,23.48,39.95
15,224,70,98,126.73,8.838,21,31,72.277,37.11,32.3,27.16,156.8,0.0,0.00195241,23.69,40.39
16,224,70,99,135.01,8.837,21,31,72.85,37.11,32.3,26.38,159.6,0.0,0.0020744356,23.9,40.83
17,224,70,99,143.29,8.837,21,31,73.345,37.11,32.3,26.38,162.3,0.0,0.0021964612,24.12,41.26
18,223,70,100,151.68,8.837,21,30,73.407,37.11,32.3,26.38,166.2,0.0,0.0023184868,24.41,41.87
19,223,70,100,161.77,8.838,21,30,72.929,37.11,32.3,26.38,170.1,0.0,0.0024405124,24.71,42.48
20,224,69,100,167.41,8.834,21,31,72.64,37.11,32.3,26.38,174.4,0.0,0.002562538,25.04,43.16
21,224,68,100,177.55,8.838,21,31,72.49545,37.11,32.3,26.38,178.8,0.0,0.0026845639,25.38,43.85
22,224,68,101,187.9,8.839,21,31,72.313,37.11,32.3,26.64,181.9,0.0,0.0028065895,25.57,44.35
23,224,68,102,193.76,8.834,21,31,72.089,37.11,32.3,26.64,185.0,0.0,0.002928615,25.74,44.84
24,225,68,102,204.4,8.838,21,32,71.923,37.11,32.3,26.64,188.2,0.0,0.0030506407,25.9,45.33
25,225,70,103,212.83,8.837,21,31,71.581,37.11,32.3,26.64,191.4,0.0,0.0031726663,26.01,45.84
26,223,71,104,223.09,8.839,21,30,71.293335,37.11,32.3,26.64,194.7,0.0,0.003294692,26.12,46.36
27,223,70,104,230.28,8.845,21,30,70.821815,37.11,32.3,25.24,199.0,0.0,0.0034167175,26.23,47.03
28,225,70,105,239.64,8.832,21,31,70.532,37.11,32.3,25.24,203.7,0.0,0.0035387431,26.32,47.77
29,225,70,107,250.0,8.838,21,31,70.082,37.11,32.3,25.24,208.4,0.0,0.0036607687,26.35,48.51
30,224,70,107,259.09,8.837,21,31,69.593,37.11,32.3,25.24,213.2,0.0,0.0037827943,26.36,49.27
31,224,71,107,265.53,8.834,21,30,69.027,37.11,32.3,25.24,218.6,0.0,0.00390482,26.26,50.12
32,224,71,107,275.88,8.839,21,30,68.473,37.11,32.3,26.27,223.0,0.0,0.0040268456,26.22,50.81
33,224,71,107,286.12,8.838,21,30,67.85,37.11,32.3,26.27,226.8,0.0,0.004148871,26.2,51.41
34,224,70,108,294.29,8.837,21,31,67.441,37.11,32.3,26.27,229.9,0.0,0.004270897,26.19,51.89
35,223,70,108,300.72,8.834,21,30,67.223,37.11,32.3,26.27,232.2,0.0,0.0043929224,26.17,52.26
36,223,70,108,311.07,8.839,21,30,67.035,37.11,32.3,26.27,234.5,0.0,0.004514948,26.16,52.63
37,224,69,108,321.16,8.838,21,31,66.517,37.11,32.3,25.78,236.9,0.0,0.0046369736,26.14,52.99
38,225,69,108,327.63,8.834,21,31,65.949,37.11,32.3,25.78,241.2,0.0,0.004758999,25.99,53.6
39,226,71,109,337.87,8.838,21,30,65.51778,37.11,32.3,25.78,245.6,0.0,0.004881025,25.83,54.22
40,224,71,109,346.26,8.837,21,30,64.80091,37.11,32.3,25.78,249.0,0.0,0.0050030504,25.64,54.81
41,223,71,109,356.37,8.839,21,30,64.071,37.11,32.3,25.78,251.1,0.0,0.005125076,25.39,55.36
42,224,71,110,363.32,8.837,21,30,63.478,37.11,32.3,25.78,252.5,0.0,0.005247102,25.15,55.75
43,224,71,111,371.11,8.834,21,30,62.804,37.11,32.3,26.64,251.5,0.0,0.0053691277,24.95,55.5
44,224,70,111,381.46,8.838,21,31,62.099,37.11,32.3,26.64,250.4,0.0,0.0054911533,24.75,55.26
45,223,70,112,391.75,8.831,21,30,61.468,37.11,32.3,26.64,251.6,0.0,0.005613179,24.54,55.67
46,223,70,114,401.92,8.838,21,30,60.849,37.11,32.3,26.64,253.4,0.0,0.0057352046,24.31,56.29
47,223,70,115,408.21,8.834,21,30,60.218887,37.11,32.3,26.64,255.3,0.0,0.00585723,24.09,56.91
48,223,69,116,415.74,8.837,21,31,59.74091,37.11,32.3,27.21,256.9,0.0,0.005979256,23.85,57.22
49,224,69,116,426.77,8.838,21,31,59.44,37.11,32.25,27.21,258.5,0.0,0.0061012814,23.6,57.49
50,225,69,115,433.15,8.834,21,31,59.419,37.11,32.3,27.21,260.1,0.0,0.006223307,23.34,57.75
51,224,69,115,443.53,8.839,21,31,59.899,37.11,32.3,27.21,262.5,0.0,0.0063453326,22.99,58.23
52,223,69,115,453.68,8.838,21,31,60.455,37.11,32.3,27.21,264.9,0.0,0.006467358,22.64,58.75
53,223,68,116,460.13,8.834,21,31,60.817,37.11,32.3,26.8,266.5,0.0,0.006589384,22.52,59.23
54,225,67,116,470.47,8.838,21,32,61.076,37.11,32.3,26.8,268.0,0.0,0.0067114094,22.41,59.7
55,225,68,116,480.56,8.831,21,32,61.544,37.11,32.3,26.8,269.6,0.0,0.006833435,22.29,60.17
56,224,68,117,486.2,8.833,21,31,62.05,37.11,32.3,26.8,271.1,0.0,0.0069554606,22.17,60.64
57,223,69,116,497.23,8.839,21,31,62.619,37.11,32.3,26.8,272.6,0.0,0.0070774863,22.06,61.11
58,225,69,115,505.5,8.837,21,31,63.135,37.11,32.25,26.8,277.2,0.0,0.007199512,21.86,61.91
59,225,69,116,513.78,8.837,21,31,63.444,37.11,32.3,26.8,281.8,0.0,0.0073215375,21.65,62.72
60,224,70,116,521.32,8.837,21,31,63.613335,37.11,32.3,26.8,286.4,0.0,0.007443563,21.45,63.51
61,223,70,116,532.57,8.839,21,30,63.598183,37.11,32.3,26.8,287.7,0.0,0.0075655887,21.32,63.76
62,223,69,117,542.69,8.838,21,31,63.321,37.11,32.3,28.49,289.1,0.0,0.0076876143,21.2,64.01
63,224,69,117,549.01,8.834,21,31,62.803333,37.11,32.3,28.49,290.4,0.0,0.00780964,21.07,64.27
64,226,69,117,557.41,8.837,21,31,62.064545,37.11,32.3,28.49,291.7,0.0,0.0079316655,20.95,64.52
65,225,70,118,567.76,8.839,21,31,61.776,37.11,32.3,28.49,294.1,0.0,0.008053691,20.89,64.88
66,224,71,118,577.95,8.839,21,30,61.746,37.11,32.25,28.49,296.5,0.0,0.008175717,20.84,65.26
67,224,72,118,585.48,8.837,21,30,61.745,37.11,32.25,28.49,298.8,0.0,0.008297742,20.79,65.63
68,224,72,118,592.61,8.834,21,30,61.502,37.11,32.25,28.05,301.2,0.0,0.008419768,20.75,66.01
69,224,72,118,602.8,8.839,21,30,61.243,37.11,32.25,28.05,303.7,0.0,0.008541794,20.72,66.39
70,224,72,119,610.33,8.837,21,30,61.285,37.11,32.25,28.05,306.1,0.0,0.008663819,20.69,66.77
71,223,72,119,621.35,8.838,21,30,61.403,37.11,32.25,28.05,308.3,0.0,0.008785845,20.68,67.26
72,223,70,120,627.8,8.834,21,30,61.208,37.11,32.25,28.05,310.5,0.0,0.00890787,20.68,67.77
73,225,70,120,638.03,8.838,21,31,60.959,37.11,32.25,28.15,312.7,0.0,0.009029896,20.67,68.27
74,225,71,120,646.43,8.836,21,30,60.865555,37.11,32.25,28.15,316.7,0.0,0.009151922,20.69,68.71
75,225,72,119,656.66,8.831,21,30,60.924545,37.11,32.25,28.15,321.0,0.0,0.009273947,20.72,69.13
76,226,73,120,665.05,8.837,21,30,60.749,37.11,32.3,28.15,324.0,0.0,0.009395973,20.74,69.28
77,224,74,120,675.17,8.838,21,29,60.475,37.11,32.25,28.15,323.1,0.0,0.009517998,20.73,68.68
78,222,73,119,681.62,8.834,21,29,60.537,37.11,32.25,27.82,322.3,0.0,0.009640024,20.74,68.39
79,222,71,120,691.85,8.838,21,30,60.51,37.11,32.25,27.82,321.7,0.0,0.00976205,20.76,68.53
80,223,71,120,700.25,8.837,21,30,60.197,37.11,32.25,27.82,321.2,0.0,0.009884075,20.78,68.67
81,224,71,120,710.36,8.839,21,30,59.925,37.11,32.25,27.82,320.6,0.0,0.010006101,20.8,68.81
82,225,70,119,716.69,8.846,21,31,59.651,37.11,32.25,27.82,320.4,0.0,0.0101281265,20.87,69.05
83,226,71,119,725.09,8.837,21,30,59.151,37.11,32.25,26.03,320.2,0.0,0.010250152,20.95,69.32
84,224,72,119,735.32,8.838,21,30,59.14,37.11,32.25,26.03,320.1,0.0,0.010372178,21.03,69.59
85,224,72,118,743.72,8.837,21,30,59.532,37.11,32.25,26.03,322.4,0.0,0.010494204,21.15,70.13
86,225,72,117,753.83,8.838,21,30,60.326,37.11,32.25,26.03,327.6,0.0,0.01061623,21.32,70.96
87,224,73,117,760.28,8.834,21,29,61.28,37.11,32.25,26.03,331.4,0.0,0.010738255,21.46,71.59
88,223,72,117,770.51,8.838,21,30,62.08,37.11,32.25,26.03,334.3,0.0,0.010860281,21.58,72.1
89,224,72,117,778.9,8.837,21,30,62.494446,37.11,32.25,26.01,337.0,0.0,0.010982307,21.7,72.52
90,225,72,116,789.14,8.838,21,30,63.061817,37.11,32.25,26.01,338.6,0.0,0.011104332,21.82,72.43
91,225,73,116,797.38,8.837,21,29,63.64,37.11,32.25,26.01,340.2,0.0,0.011226358,21.93,72.34
92,225,74,116,804.91,8.837,21,29,64.006,37.11,32.25,26.01,340.8,0.0,0.0113483835,22.03,72.2
93,224,74,116,815.93,8.838,21,29,64.372,37.11,32.25,26.01,340.6,0.0,0.011470409,22.11,72.01
94,223,73,117,822.23,8.834,21,29,64.847,37.11,32.25,26.79,340.4,0.0,0.011592435,22.18,71.82
95,224,73,117,829.75,8.837,21,29,65.072,37.11,32.25,26.79,340.3,0.0,0.01171446,22.2,71.87
96,225,73,116,840.88,8.838,21,29,64.852,37.11,32.25,26.79,340.3,0.0,0.011836486,22.22,71.96
97,225,74,116,849.17,8.837,21,29,64.846,37.11,32.25,26.79,340.5,0.0,0.011958512,22.22,72.08
98,225,75,116,857.47,8.837,21,29,65.07,37.12,32.25,26.79,342.2,0.0,0.012080537,22.19,72.42
99,224,75,117,866.1,8.838,21,29,65.324,37.12,32.25,26.79,343.5,0.0,0.012202563,22.18,72.68
100,223,75,118,876.16,8.837,21,28,65.443,37.12,32.25,26.79,343.6,0.0,0.012324588,22.21,72.72
101,223,74,117,885.56,8.839,21,29,65.472,37.12,32.25,26.79,343.6,0.0,0.012446614,22.23,72.77
102,224,73,116,894.83,8.837,21,29,65.515,37.12,32.25,26.79,343.7,0.0,0.01256864,22.26,72.81
103,225,74,115,905.06,8.838,21,29,65.64,37.12,32.25,26.79,342.6,0.0,0.012690665,22.33,72.87
104,225,74,115,913.19,8.837,21,29,65.71,37.12,32.25,26.52,340.9,0.0,0.012812691,22.43,72.93
105,224,75,114,919.55,8.846,21,29,65.662,37.12,32.25,26.52,339.9,0.0,0.012934716,22.48,72.97
106,223,75,115,927.91,8.837,21,28,65.721,37.12,32.25,26.52,340.1,0.0,0.013056742,22.46,72.98
