time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,hrv,core_temperature,skin_temperature,respiration,tidal_volume,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,224,69,99,0.0,8.839,,31,76.6,,37.1,,,120.6,0.0,2.3769907E-4,24.3,20.9
1,223,69,99,4.73,8.835,,31,77.6,612:57:0,37.1,32.8,,124.6,0.0,4.7539815E-4,24.09,22.09
2,224,69,100,13.32,8.837,,31,79.7,598,37.1,32.75,,127.8,0.0,7.130972E-4,23.92,23.06
3,224,69,100,23.65,8.839,22,31,80.4,600,37.1,32.8,,130.9,0.0,9.507963E-4,23.76,23.98
4,224,69,101,34.02,8.839,22,31,80.0,606:2:56,37.1,32.75,,133.2,0.0,0.0011884953,23.63,24.68
5,223,68,101,41.54,8.835,22,31,79.9,592,37.1,32.75,,135.4,0.0,0.0014261944,23.52,25.32
6,224,68,102,49.94,8.837,22,31,79.2,596:44:0,37.1,32.75,27.16,137.5,0.0,0.0016638935,23.4,25.97
7,225,68,102,59.23,8.837,22,32,79.3,596:51:0,37.1,32.75,27.16,139.6,0.0,0.0019015926,23.29,26.57
8,225,69,102,67.8,8.837,22,31,77.7,586,37.1,32.75,27.16,141.6,0.0,0.0021392917,23.19,27.18
9,224,69,103,76.08,8.837,22,31,77.7,589:51:0,37.1,32.75,27.16,143.6,0.0,0.0023769906,23.08,27.78
10,223,69,103,85.79,8.838,22,31,76.1,582,37.1,32.75,27.16,146.7,0.0,0.0026146898,22.91,28.71
11,223,68,104,94.2,8.837,22,31,76.2,588:37:0,37.1,32.75,27.75,149.8,0.0,0.002852389,22.75,29.63
12,224,68,104,102.69,8.837,22,31,76.1,577,37.1,32.75,27.75,152.0,0.0,0.003090088,22.63,30.3
13,225,68,104,112.68,8.838,22,32,75.1,587:44:32,37.1,32.75,27.75,154.3,0.0,0.003327787,22.51,30.96
14,225,68,105,120.2,8.835,22,32,74.2,569,37.1,32.75,27.75,156.7,0.0,0.003565486,22.38,31.7
15,224,69,105,129.26,8.837,22,31,73.9,1148:25:0,37.1,32.75,27.56,159.7,0.0,0.0038031852,22.22,32.6
16,223,69,107,136.76,8.835,22,31,72.4,561,37.1,32.75,27.56,162.5,0.0,0.0040408843,22.08,33.43
17,223,68,107,145.83,8.837,22,31,71.5,569:19:0,37.1,32.75,27.56,164.7,0.0,0.0042785835,21.99,34.08
18,223,67,108,156.18,8.839,22,32,70.8,565:15:0,37.1,32.75,27.56,166.9,0.0,0.0045162826,21.9,34.74
19,225,67,108,163.67,8.835,22,32,69.6,563:11:0,37.1,32.75,27.56,169.1,0.0,0.0047539813,21.87,35.39
20,226,68,109,172.74,8.837,22,32,67.6,559:2:0,37.1,32.75,26.24,171.2,0.0,0.0049916804,21.89,36.04
