time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,hrv,core_temperature,skin_temperature,tidal_volume,HeatStrainIndex,PercentageinZ2,THb,TymeBreathRate,TymeVentilation
0,215,72,99,0.0,9.161,22,29,70.679,587,37.15,31.4,157.5,0.0,0.0,65.001,15.81,30.91
1,222,72,102,9.53,9.163,22,29,71.51,583:582,37.15,31.4,158.5,0.0,1.1036309E-4,64.099,16.18,31.25
2,224,72,102,16.98,9.162,22,30,72.46455,583:583,37.15,31.4,159.3,0.0,2.2072619E-4,63.642727,16.45,31.51
3,225,73,103,28.35,9.163,22,29,73.11444,574:574,37.15,31.4,160.1,0.0,3.3108928E-4,63.531113,16.73,31.77
4,224,72,103,35.67,9.159,22,30,73.348,579:573,37.15,31.4,160.9,0.0,4.4145237E-4,63.051,17.01,32.03
5,223,72,103,45.77,9.162,22,30,73.608185,568,37.15,31.4,161.7,0.0,5.518155E-4,61.131817,17.32,32.31
6,223,72,103,54.64,9.161,23,30,74.181114,563:560,37.15,31.4,162.6,0.0,6.6217856E-4,60.963333,17.62,32.59
7,224,72,103,64.3,9.163,23,30,74.939,555:570,37.15,31.4,163.4,0.0,7.725417E-4,62.011,17.92,32.88
8,224,72,104,73.9,9.161,23,30,75.365,578:577,37.15,31.4,164.7,0.0,8.8290474E-4,61.512,18.36,33.29
9,224,72,104,80.73,9.158,23,30,75.476,580,37.15,31.4,165.9,0.0,9.932679E-4,61.727,18.81,33.7
10,224,71,105,90.06,9.162,23,30,75.646,578:572,37.15,31.4,167.1,0.0,0.001103631,62.203,19.24,34.1
11,222,70,107,101.49,9.163,23,30,75.918,569:565,37.15,31.4,168.3,0.0,0.001213994,62.178,19.67,34.5
12,222,70,106,108.63,9.159,23,30,76.173,566:561,37.15,31.4,169.6,0.0,0.0013243571,62.158,20.14,34.93
13,223,70,104,118.82,9.162,23,30,76.333,560,37.15,31.4,171.0,0.0,0.0014347202,61.977,20.63,35.39
14,224,70,104,127.64,9.161,23,31,76.351,561:556,37.15,31.4,171.8,0.0,0.0015450834,61.735,20.92,35.66
15,225,70,104,138.13,9.163,23,31,76.266,554:555,37.15,31.4,172.3,0.0,0.0016554464,61.704,21.1,35.83
16,225,70,105,144.61,9.159,23,31,76.236,551:546,37.15,31.4,172.8,0.0,0.0017658095,61.328,21.29,36.0
17,224,71,107,155.16,9.162,23,30,76.162,545,37.15,31.4,173.4,0.0,0.0018761726,61.202,21.47,36.17
18,224,71,107,164.16,9.161,23,30,76.016,546:546,37.15,31.4,173.9,0.0,0.0019865357,61.185,21.66,36.34
19,224,71,107,174.62,9.163,23,30,75.888,546:542,37.15,31.4,174.6,0.0,0.0020968989,61.36,21.87,36.59
20,223,70,108,181.6,9.159,23,30,75.607,538:537,37.15,31.4,175.7,0.0,0.002207262,60.193,22.11,36.93
21,223,70,109,191.79,9.162,23,30,75.223,536:540,37.15,31.4,176.7,0.0,0.002317625,60.555,22.35,37.27
22,223,69,110,202.52,9.163,23,31,74.821,544:546,37.15,31.4,178.0,0.0,0.002427988,59.996,22.75,37.7
23,224,69,110,211.37,9.161,23,31,74.438,546,37.15,31.4,179.3,0.0,0.002538351,60.091,23.18,38.13
24,224,70,111,218.08,9.158,23,31,74.161,541:542:542,37.15,31.4,180.7,0.0,0.0026487142,59.304,23.62,38.62
